cycle,elapsed_s,bicrystal_loading_coordinate,stress_MPa,root_rate_per_s,rate_amplification,raw_hazard,Lambda,survival
1,0.0,0.0,55.706588635632286,0.07644881047135851,1.0,0.0,0.0,1.0
1,0.003894985792389802,0.010528453210105648,53.81671327117995,0.07308239177631469,0.9559650611397669,0.00029121095413682654,0.00023296876330946122,0.9997670583718056
1,0.007789971584779606,0.013360023629529483,53.03094371419419,0.07176320737225847,0.9387092739545568,0.0005732967295237672,0.00045863738361901375,0.9995414677744288
1,0.011684957377169411,0.01528666115259858,52.55048607938324,0.07095569339966666,0.9281464677105755,0.0008512407749298367,0.0006809926199438694,0.9993192392029041
1,0.015579943169559216,0.016789705892739648,52.22339462654043,0.07040182213991636,0.9209014725780769,0.0011265335322669353,0.0009012268258135482,0.9990991791571122
1,0.019474928961949006,0.018039879338495268,51.98609243080588,0.06999573581891753,0.9155896002481475,0.0013999567790348752,0.0011199654232279,0.9988806615039793
1,0.023369914754338795,0.019119523342564615,51.806563148828324,0.06968459533744302,0.9115196810491943,0.0016719832317000378,0.0013375865853600302,0.9986633075848556
1,0.02726490054672858,0.02007528460756558,51.66669746443939,0.06943865383034091,0.9083026067011997,0.0019429247711498492,0.0015543398169198795,0.9984468675435828
1,0.03115988633911837,0.02093639471902653,51.55535604953408,0.06923966475903748,0.9056997006510398,0.002212999811458916,0.0017703998491671326,0.998231166384223
1,0.03505487213150816,0.021722496267450153,51.4652712301625,0.06907574073822248,0.903555468192689,0.002482368081099146,0.0019858944648793167,0.9980160761188606
1,0.03894985792389795,0.02244748389625928,51.391477431239316,0.06893876461431464,0.9017637316952433,0.0027511503498450643,0.0022009202798760515,0.9978014999692457
1,0.04284484371628774,0.02312158175798873,51.330454997868266,0.06882298271720322,0.9002492294237553,0.0030194403741405913,0.002415552299312473,0.9975873627994792
1,0.04673982950867753,0.023752552247625403,51.27963340670581,0.06872419087629904,0.898956968101505,0.003287312517605623,0.0026298500140844983,0.9973736050120666
1,0.05063481530106731,0.024346440617709075,51.2370930716592,0.0686392461833685,0.8978458364513616,0.00355482683547624,0.002843861468380992,0.9971601784750574
1,0.0545298010934571,0.024908055266456453,51.20136298284958,0.06856573779834421,0.8968842991223822,0.0038220325671031595,0.0030576260536825275,0.996947043724169
1,0.05842478688584689,0.025441289485462093,51.17129483911881,0.06850178154410545,0.8960477098563828,0.004088970587321637,0.003271176469857309,0.9967341679987363
1,0.06231977267823668,0.025949343953521664,51.1459740599293,0.06844587524924886,0.8953164192776034,0.004355675176077231,0.0034845401408617844,0.9965215238237141
1,0.06621475847062652,0.026434884809588555,51.12467242350977,0.06839682000954464,0.8946747449415116,0.004622175352989898,0.003697740282391918,0.996309087940282
1,0.07010974426301639,0.026900158604055147,51.1068085536417,0.06835365540605219,0.894110123945759,0.004888495932413052,0.003910796745930442,0.9960968404605657
1,0.07400473005540624,0.0273470776054362,51.091900229481794,0.06831558394972287,0.8936121246166053,0.0051546583051867885,0.004123726644149431,0.9958847642411953
1,0.0778997158477961,0.0277772842469709,51.079548403633154,0.06828194418610443,0.8931720947010184,0.005420681020869099,0.0043365448166952794,0.995672844416598
1,0.08179470164018596,0.028192200589911898,51.06942001940219,0.06825218270518993,0.892782795237351,0.005686580263078072,0.004549264210462457,0.9954610680180154
1,0.08568968743257582,0.02859306682643481,51.061234939628626,0.0682258328409517,0.8924381219314387,0.005952370228840964,0.004761896183072771,0.995249423669441
1,0.08958467322496567,0.02898097163302349,51.054755877129196,0.06820249825431156,0.8921328904112062,0.006218063434488719,0.004974450747590975,0.9950379013424204
1,0.09347965901735553,0.029356876374669105,51.04978054818877,0.06818184013303748,0.8918626687930187,0.006483670964650326,0.005186936771720261,0.9948264921564504
1,0.09737464480974539,0.029721634607170033,51.04613308750102,0.06816356350064873,0.8916235985932855,0.006749202669655761,0.005399362135724608,0.9946151882206852
1,0.10126963060213524,0.030076007940462723,51.043661298517,0.06814741243453845,0.8914123321784035,0.0070146673269629355,0.005611733861570349,0.9944039825044654
1,0.10516461639452511,0.03042067905438728,51.04223939845727,0.06813317363496235,0.8912260794494428,0.00728007280022257,0.005824058240178056,0.9941928687098909
1,0.10905960218691496,0.03075626246349572,51.04175475649052,0.06812065611641416,0.891062342192172,0.007545426165742729,0.006036340932594183,0.9939818411704798
1,0.11295458797930483,0.031083313485879893,51.04210891982225,0.0681096923831244,0.8909189294533452,0.007810733801691739,0.006248587041353391,0.9937708947795812
1,0.11684957377169468,0.03140233576664475,51.043215487509265,0.0681001349425598,0.8907939119350126,0.008076001472800447,0.006460801178240358,0.993560024922456
1,0.12074455956408453,0.03171378762889887,51.04499835504422,0.06809185342380027,0.8906855843010248,0.008341234402662595,0.006672987522130076,0.9933492274182995
1,0.1246395453564744,0.03201808746656354,51.04739025625473,0.06808473218127582,0.8905924338323579,0.008606437335756561,0.006885149868605249,0.9931384984705055
1,0.12853453114886426,0.032315618348698116,51.05033154529135,0.06807866829070781,0.8905131142127245,0.008871614590897494,0.007097291672717995,0.9929278346238005
1,0.1324295169412541,0.032606731970819314,51.05376917375815,0.06807356986406107,0.8904464234870572,0.009136770107504947,0.007309416086003957,0.9927172327271372
1,0.13632450273364397,0.03289175206213024,51.05765582743372,0.06806935462559909,0.8903912854353857,0.009401907485815762,0.00752152598865261,0.9925066899014443
1,0.14021948852603383,0.03317097733685237,51.06194919425978,0.06806594870286903,0.8903467337581384,0.009667030021969296,0.007733624017575437,0.9922962035114867
1,0.14411447431842367,0.033444684061515684,51.06661134088925,0.06806328559559197,0.8903118985885571,0.009932140738730003,0.007945712590984002,0.9920857711412246
1,0.14800946011081353,0.03371312829713302,51.071607928068474,0.06806130491662285,0.8902859900236376,0.010197242411749985,0.008157793929399988,0.9918753905727424
1,0.1519044459032034,0.03397654786481319,51.076908066393806,0.0680599521016656,0.8902682943270152,0.010462337592814227,0.00836987007425138,0.9916650597675982
1,0.15579943169559327,0.03423516407510918,51.082484178911045,0.06805917813834579,0.8902581703850593,0.01072742863199288,0.008581942905594305,0.9914547768490646
1,0.1596944174879831,0.03448918325462802,51.08831124252239,0.06805893837440388,0.8902550341172687,0.010992517696944894,0.008794014157555916,0.9912445400866495
1,0.16358940328037297,0.03473879809800462,51.09436658682221,0.0680591921663436,0.8902583538803645,0.011257606789216335,0.009006085431373068,0.991034347883021
1,0.16748438907276283,0.034984188868875776,51.1006296244161,0.06805990243148162,0.8902676446088092,0.011522697758982084,0.009218158207185667,0.9908241987621811
1,0.17137937486515267,0.03522552446979488,51.107076056738975,0.06806102694740868,0.8902823540061188,0.011787792301970924,0.009430233841576739,0.9906140913717751
1,0.17527436065754254,0.03546296339803923,51.113693993988896,0.06806254241268266,0.8903021772743244,0.012052891986304399,0.009642313589043518,0.990404024461696
1,0.1791693464499324,0.0356966546017069,51.1204679236204,0.06806442045037295,0.8903267432247782,0.01231799827946079,0.009854398623568631,0.9901939968626168
1,0.18306433224232227,0.03592673824845305,51.127383679933885,0.06806663500905484,0.8903557110879567,0.012583112542919543,0.010066490034335634,0.9899840074901475
1,0.1869593180347121,0.03615334641741397,51.13442830969943,0.06806916213664206,0.8903887675550441,0.012848236040778623,0.010278588832622898,0.9897740553379218
1,0.19085430382710197,0.03637660372343876,51.14158995325254,0.06807197977990695,0.8904256241555264,0.013113369947540967,0.010490695958032774,0.9895641394713514
1,0.19474928961949184,0.0365966278814811,51.148857739028294,0.06807506760633136,0.8904660149268854,0.013378515355163581,0.010702812284130865,0.9893542590219702
1,0.19864427541188168,0.03681353021796141,51.15622168981253,0.06807840684546129,0.8905096943394144,0.013643673279450706,0.010914938623560565,0.9891444131823064
1,0.20253926120427154,0.037027416135022806,51.16367263922764,0.06808198014731077,0.8905564354440496,0.013908844665862282,0.011127075732689826,0.9889346012012229
