design_id,interval_start_x,interval_end_x,d_sigma_dx_MPa,interval_Delta_sigma_MPa,minimum_minus_dF_dx_fJ,end_rTJ_over_W
Ro120_q0.85_L8W_r1.00_th140_km-30,0.0,0.01,90.64976627823214,0.9064976627823214,5.26589138458061,24.952241883245684
Ro120_q0.85_L8W_r1.20_th170_km-20,0.02,0.05,75.74660494914718,2.272398148474416,15.503133318010272,28.25211275285443
Ro120_q0.75_L8W_r1.20_th160_km-30,0.01,0.02,73.30985138234496,0.7330985138234496,2.5002347159615605,26.28747325248283
Ro80_q0.85_L8W_r1.20_th170_km-30,0.02,0.05,71.59905406502389,2.147971621950717,3.7542036235708194,19.370553253155503
Ro120_q0.75_L8W_r1.20_th160_km-30,0.0,0.01,70.63962202008867,0.7063962202008867,8.323280725856804,26.646118385235777
Ro120_q0.85_L8W_r1.20_th170_km-20,0.01,0.02,68.87074744468009,0.6887074744468009,51.522605846945275,29.68313915339818
Ro100_q0.85_L8W_r1.20_th170_km-20,0.02,0.05,68.13150997551034,2.04394529926531,4.269634923553767,23.880657597555107
Ro80_q0.85_L8W_r1.20_th170_km-30,0.01,0.02,67.32820267337587,0.6732820267337587,11.093979025978138,19.994582599627662
Ro120_q0.85_L8W_r1.20_th170_km-20,0.0,0.01,65.8524400697516,0.6585244006975159,63.14929855276425,30.145055564719065
Ro80_q0.85_L8W_r1.20_th170_km-30,0.0,0.01,65.36593895998948,0.6536593895998948,13.490165169583673,20.19830851003783
Ro150_q0.75_L8W_r1.20_th160_km-20,0.0,0.01,64.91255280897761,0.6491255280897761,13.461342852776957,33.196138970942464
Ro100_q0.85_L8W_r1.20_th170_km-20,0.01,0.02,63.012429449292995,0.63012429449293,22.03687887480326,24.864921534496474
Ro150_q0.85_L8W_r1.20_th160_km-10,0.02,0.05,61.506971897665956,1.8452091569299789,23.067470005635915,34.542486152698615
Ro100_q0.85_L8W_r1.20_th170_km-20,0.0,0.01,60.712902056882,0.60712902056882,27.810421742437768,25.18446269941714
Ro150_q0.65_L8W_r1.40_th170_km-30,0.02,0.05,59.008582398785585,1.7702574719635678,4.764430430049706,32.308370595665686
Ro150_q0.85_L8W_r1.20_th170_km-10,0.01,0.02,58.3098492834452,0.583098492834452,76.0847232890823,36.81183016156288
Ro80_q0.85_L8W_r1.20_th170_km-20,0.01,0.02,57.28250192273023,0.5728250192273023,6.457168882440175,19.994582599627662
Ro80_q0.85_L8W_r1.20_th160_km-20,0.02,0.05,57.18093247939511,1.7154279743818535,4.362678050720455,19.370553253155503
Ro150_q0.75_L12W_r1.20_th170_km-30,0.0,0.01,56.43004455905327,0.5643004455905327,2.638192669966017,33.38178038569468
Ro80_q0.85_L8W_r1.20_th170_km-20,0.0,0.01,55.61130601741766,0.5561130601741766,8.914440691122556,20.19830851003783
