design_id,target_center_loss,baseline_Lambda,required_surface_mobility_multiplier,equivalent_root_rate_reduction_factor,remaining_site_count_fraction,effective_site_count_reduction_percent,equivalent_barrier_increase_eV,stress_MPa,A_sigma_MPa,A_Gamma,rTJ_over_W,baseline_elapsed_s,elapsed_s_at_required_mobility
Ro100_q0.65_L8W_r1.60_th140_km+5,0.01,1.9531779659415198,2.817840165437423,2.817840165437423,0.35488173256440414,64.51182674355958,0.16338306713124778,22.20544017225527,0.09892226496946321,0.9983089050023245,25.862101757043394,21.172902470160807,7.513876312027819
Ro100_q0.65_L8W_r1.60_th140_km+5,0.02,3.9710094356277565,5.728955620103446,5.728955620103446,0.17455188455133178,82.54481154486683,0.2752882663410205,22.305698826250865,0.19918091896505885,0.9966026743672015,25.723464280367324,43.08392214319451,7.520379803957455
Ro100_q0.65_L8W_r1.60_th140_km+5,0.05,10.485948722166324,15.128026220485319,15.128026220485319,0.06610247664998556,93.38975233500145,0.4284272917234593,22.614800704298,0.5082827970121926,0.9913893229108526,25.30299461443909,114.07653427881986,7.540741443476967
Ro100_q0.65_L8W_r1.60_th140_km+5,0.1,23.527682202955702,33.94327043781571,33.94327043781571,0.029460920739267194,97.05390792607328,0.5558793963406979,23.159723845653005,1.0532059383671992,0.9823594438020483,24.586237469703796,257.2344534944176,7.5783638458077505
Ro100_q0.65_L8W_r1.60_th160_km-10,0.01,3.287814277327905,4.7433133532649,4.7433133532649,0.21082309464368063,78.91769053563193,0.24551301467314435,38.60017825730138,0.19226230502616204,0.9997180558300154,25.862101757043394,21.584648963556052,4.5505424912944
Ro100_q0.65_L8W_r1.60_th160_km-10,0.02,6.6962284765953655,9.660615615843593,9.660615615843593,0.1035130720199633,89.64869279800367,0.3576956113593115,38.795353847501694,0.3874378952264763,0.9994395232442471,25.723464280367324,43.96731643081737,4.551191992227714
Ro100_q0.65_L8W_r1.60_th160_km-10,0.05,17.78696685258918,25.661168870686787,25.661168870686787,0.03896938619745876,96.10306138025413,0.5117660285985018,39.39911616671388,0.9912002144386634,0.9986253926295637,25.30299461443909,116.83951265193623,4.553164091656171
Ro100_q0.65_L8W_r1.60_th160_km-10,0.1,40.42678238233548,58.323518462092714,58.323518462092714,0.01714574199857213,98.28542580014279,0.641250221202404,40.47113920641293,2.0632232541377107,0.9973464857690004,24.586237469703796,265.75555624481564,4.556576202060633
Ro100_q0.65_L8W_r1.60_th160_km-5,0.01,3.155294472883737,4.552127688573724,4.552127688573724,0.21967749334231018,78.03225066576897,0.23902463662223256,33.575948026768025,0.16803207449280677,0.9994772699790712,25.862101757043394,23.754783912851607,5.218391384863476
Ro100_q0.65_L8W_r1.60_th160_km-5,0.02,6.4475169486555854,9.301800727872955,9.301800727872955,0.1075060656807545,89.24939343192455,0.3517263830531364,33.74653929831302,0.3386233460377994,0.998955670788089,25.723464280367324,48.553392310569606,5.219784182763537
Ro100_q0.65_L8W_r1.60_th160_km-5,0.05,17.324597140105745,24.994110379429678,24.994110379429678,0.04000942561344399,95.9990574386556,0.5076121492356526,34.27433600814156,0.8664200558663424,0.9973982040399918,25.30299461443909,130.5716871120905,5.224098202733068
Ro100_q0.65_L8W_r1.60_th160_km-5,0.1,40.51916966208753,58.456805132432216,58.456805132432216,0.017106648194928353,98.28933518050717,0.6416102247694494,35.21179746507716,1.8038815128019436,0.9948303783871522,24.586237469703796,305.84204123147845,5.231932202565673
Ro100_q0.65_L8W_r1.60_th170_km-20,0.01,4.152848107580776,5.991293370371902,5.991293370371902,0.16690886895059961,83.30911310494004,0.282349589172177,48.991846161416944,0.25546063953967035,1.0004526449325943,25.862101757043394,21.200402462601435,3.538535196330312
Ro100_q0.65_L8W_r1.60_th170_km-20,0.02,8.45565104754154,12.198925833775748,12.198925833775748,0.08197443066923583,91.80255693307642,0.3944878894487952,49.25136613891895,0.5149806170416724,1.0009207772028186,25.723464280367324,43.156220326719385,3.5377065911189245
Ro100_q0.65_L8W_r1.60_th170_km-20,0.05,22.439563127037626,32.37344644309203,32.37344644309203,0.03088951316190136,96.91104868380987,0.5484114935833733,50.05538935439893,1.319003832521659,1.002422852209685,25.30299461443909,114.44123417911136,3.5350340094398964
Ro100_q0.65_L8W_r1.60_th170_km-20,0.1,50.87758297306175,73.40083664765295,73.40083664765295,0.013623822910906504,98.63761770890935,0.6775124972199448,51.487617714697535,2.751232192820261,1.005283437256605,24.586237469703796,259.0897399460309,3.5297927350575433
Ro100_q0.75_L12W_r1.40_th140_km+5,0.01,2.73142173599478,3.9406085930959924,3.9406085930959924,0.2537679082748831,74.62320917251168,0.2162734417085482,21.946640289302593,0.09827969541949955,0.9982856323889966,26.110118369130383,29.607774126015695,7.513502908634209
Ro100_q0.75_L12W_r1.40_th140_km+5,0.02,5.572222595876949,8.039017905801101,8.039017905801101,0.12439330422169875,87.56066957783013,0.32871630500315124,22.046254790326504,0.19789419644341066,0.9965558996737708,25.969483292895912,60.45436303933008,7.520117973080408
Ro100_q0.75_L12W_r1.40_th140_km+5,0.05,14.893225039314995,21.48638190706308,21.48638190706308,0.04654110702887937,95.34588929711207,0.48376308578656346,22.353416049229963,0.50505545534687,0.9912706021518604,25.542932608649306,162.02770424015029,7.540948724684446
Ro100_q0.75_L12W_r1.40_th140_km+5,0.1,34.42998206152955,49.67196437806465,49.67196437806465,0.020132080792874867,97.9867919207125,0.6159275361542312,22.89508725628474,1.046726662401646,0.9821155904818186,24.815727120114776,376.51890021581346,7.580108919189147
Ro100_q0.75_L12W_r1.40_th160_km-10,0.01,4.606578339082104,6.645887725260269,6.645887725260269,0.15046898794259086,84.95310120574091,0.2987027043170461,38.32916294539667,0.19179857361930175,0.9997026500394134,26.110118369130383,30.168433294955328,4.53941362570549
Ro100_q0.75_L12W_r1.40_th160_km-10,0.02,9.415678562346624,13.583952768502,13.583952768502,0.07361627480910898,92.6383725190891,0.4114482335725485,38.523881456434665,0.3865170846572994,0.9994085836459118,25.969483292895912,61.67250000946601,4.540099708861626
