target_center_loss,design_id,thermodynamic_test,eligible_geometry_count,sigma0_MPa,stress_MPa,maximum_Delta_sigma_MPa,mean_Delta_sigma_per_x_MPa,minimum_minus_dF_dx_fJ,rTJ_over_W,fully_20pct_thermodynamic_design_id,fully_20pct_thermodynamic_sigma0_MPa,fully_20pct_thermodynamic_stress_MPa,fully_20pct_thermodynamic_maximum_Delta_sigma_MPa
0.01,Ro120_q0.85_L8W_r1.00_th140_km-30,dF/dx<0 at every saved search knot through target,355,57.63801825840905,58.54451592119137,0.9064976627823214,90.64976627823214,5.26589138458061,24.952241883245684,Ro100_q0.65_L8W_r1.60_th170_km-20,48.736385521877274,48.991846161416944,0.25546063953967035
0.02,Ro120_q0.75_L8W_r1.20_th160_km-30,dF/dx<0 at every saved search knot through target,322,57.35577091700577,58.79526565103011,1.4394947340243363,71.97473670121681,2.5002347159615605,26.28747325248283,Ro100_q0.65_L8W_r1.60_th170_km-20,48.736385521877274,49.25136613891895,0.5149806170416724
0.05,Ro120_q0.85_L8W_r1.20_th170_km-20,dF/dx<0 at every saved search knot through target,212,44.41653671793493,48.036166741553664,3.6196300236187327,72.39260047237465,15.503133318010272,28.25211275285443,Ro100_q0.65_L8W_r1.60_th170_km-20,48.736385521877274,50.05538935439893,1.319003832521659
0.1,Ro80_q0.75_L8W_r1.40_th170_km-20,dF/dx<0 at every saved search knot through target,87,55.578382074705196,59.4317623174071,3.8533802427019026,38.533802427019026,4.302904049286188,19.615045245933032,Ro100_q0.65_L8W_r1.60_th170_km-20,48.736385521877274,51.487617714697535,2.751232192820261
