design_id,event_probability,x,Lambda,survival,stress_MPa,A_sigma_MPa,A_Gamma,rTJ_over_W,elapsed_s
Ro100_q0.65_L8W_r1.60_th140_km+5,0.1,0.0005474189300081139,0.10536051565782631,0.9,22.111899160205922,0.005381252920116708,0.9999078101121289,25.99247003923228,1.1412191913691332
Ro100_q0.65_L8W_r1.60_th140_km+5,0.5,0.00358478890700625,0.6931471805599453,0.5,22.141827882816987,0.03530997553118098,0.999395492745609,25.950650520663412,7.509776570395343
Ro100_q0.65_L8W_r1.60_th140_km+5,0.9,0.011755593931275161,2.302585092994046,0.09999999999999998,22.2229443801606,0.1164264728747959,0.9980104613098182,25.837816248575304,24.964330586013357
Ro100_q0.65_L8W_r1.60_th160_km-10,0.1,0.00032576212001028844,0.10536051565782631,0.9,38.414134778109684,0.006218825834466202,0.9999907635062486,25.99551911778333,0.6916031651874409
Ro100_q0.65_L8W_r1.60_th160_km-10,0.5,0.002137127545472051,0.6931471805599453,0.5,38.44876442011355,0.040848467838330293,0.9999394639502625,25.97059072522226,4.550035419603231
Ro100_q0.65_L8W_r1.60_th160_km-10,0.9,0.007039903075460929,2.302585092994046,0.09999999999999998,38.54296674477297,0.13505079249775065,0.9998011632381564,25.902997397043617,15.115938819701364
Ro100_q0.65_L8W_r1.60_th160_km-5,0.1,0.00034044020187161346,0.10536051565782631,0.9,33.413595726557126,0.005679774281908578,0.9999821864356964,25.995317219674412,0.7930131834024633
Ro100_q0.65_L8W_r1.60_th160_km-5,0.5,0.0022318664715274077,0.6931471805599453,0.5,33.44520068308576,0.03728473081054062,0.9998832386572575,25.969286203034095,5.217326459915447
Ro100_q0.65_L8W_r1.60_th160_km-5,0.9,0.007337837234235276,2.302585092994046,0.09999999999999998,33.53096853576924,0.12305258349402237,0.9996163212556538,25.898884027173448,17.333903590996652
Ro100_q0.65_L8W_r1.60_th170_km-20,0.1,0.000257838043564756,0.10536051565782631,0.9,48.74292339472462,0.006537872847346193,1.0000114848361874,25.9964534185124,0.5379840396142255
Ro100_q0.65_L8W_r1.60_th170_km-20,0.5,0.00169282018167942,0.6931471805599453,0.5,48.77935070878427,0.04296518690699713,1.000075559623522,25.97670756275076,3.5391995764795885
Ro100_q0.65_L8W_r1.60_th170_km-20,0.9,0.005586871864779536,2.302585092994046,0.09999999999999998,48.878614692357054,0.14222917047978,1.0002510073801663,25.92304831789967,11.755942817407357
Ro100_q0.75_L12W_r1.40_th140_km+5,0.1,0.00039267238283353473,0.10536051565782631,0.9,21.852195229517505,0.003834635634412109,0.9999329635855732,26.244521141610324,1.1411404190423216
Ro100_q0.75_L12W_r1.40_th140_km+5,0.5,0.002573460960426648,0.6931471805599453,0.5,21.873526793646803,0.02516619976371004,0.9995602593624334,26.214073219967123,7.508690424914921
Ro100_q0.75_L12W_r1.40_th140_km+5,0.9,0.008454982433115717,2.302585092994046,0.09999999999999998,21.93136960769325,0.08300901381015535,0.9985514977642731,26.131779156643372,24.955969606387495
Ro100_q0.75_L12W_r1.40_th160_km-10,0.1,0.00023322945971813514,0.10536051565782631,0.9,38.14180585579377,0.004441484016403763,0.9999930292233289,26.246745808368605,0.6899065839255931
Ro100_q0.75_L12W_r1.40_th160_km-10,0.5,0.0015311881445577824,0.6931471805599453,0.5,38.166546141689494,0.029181769912128175,0.9999542612208594,26.22862980517972,4.538837393540489
Ro100_q0.75_L12W_r1.40_th160_km-10,0.9,0.005050260496635048,2.302585092994046,0.09999999999999998,38.233867572988146,0.09650320121077982,0.9998494263603613,26.179449465444165,15.07848521155338
Ro120_q0.55_L8W_r1.60_th120_km-10,0.1,0.00018167070762893943,0.10536051565782631,0.9,34.60463899776093,0.0016445720666595776,0.9999483997036847,26.39742362014201,0.7550936580509645
Ro120_q0.55_L8W_r1.60_th120_km-10,0.5,0.00119353927705292,0.6931471805599453,0.5,34.613801157862774,0.01080673216850414,0.9996608206380224,26.38307033157738,4.9681457595998735
Ro120_q0.55_L8W_r1.60_th120_km-10,0.9,0.003944798993006075,2.302585092994046,0.09999999999999998,34.63873890359599,0.03574447790172286,0.9988768440573941,26.344004504766783,16.510208216171453
Ro150_q0.65_L12W_r1.60_th140_km+5,0.1,0.00010049122120946821,0.10536051565782631,0.9,13.0716129510505,0.0006010128599633902,0.9999769411832249,38.99792660365468,1.116959254037371
Ro150_q0.65_L12W_r1.60_th140_km+5,0.5,0.0006608485264481693,0.6931471805599453,0.5,13.0749649681991,0.003953030008561953,0.999848346825064,38.986364090632755,7.348472128872942
Ro150_q0.65_L12W_r1.60_th140_km+5,0.9,0.0021899216671743852,2.302585092994046,0.09999999999999998,13.084124759636618,0.013112821446080503,0.9994971660042099,38.954795652686514,24.41523328606346
Ro150_q0.65_L12W_r1.60_th160_km-5,0.1,6.346154177673046e-05,0.10536051565782631,0.9,23.939367386252258,0.0007567514021111776,0.9999928946486182,38.998690622651374,0.7124672095120259
