avalanche_id,root_contact,root_time_s,root_center_loss_fraction,root_selected_stress_MPa,root_opposite_stress_MPa,event_count,extinction_time_s,avalanche_duration_s,extinction_selected_stress_MPa,extinction_opposite_stress_MPa,selected_stress_change_MPa,opposite_stress_change_MPa,production_strain_increment,geometric_strain_increment,root_hazard,root_threshold,opposite_root_hazard,opposite_root_threshold,delta_ln_Gamma_barrier,delta_ln_Gamma_sites,root_curvature_contribution_MPa,root_TJ_contribution_MPa,minimum_transport_affinity_MPa,minimum_all_recorded_transport_affinity_MPa,quota_strain_increment,center_volume_change_m3,stress_after_repinning_selected_MPa,stress_after_repinning_opposite_MPa,maximum_reload_stress_before_next_root_selected_MPa,maximum_reload_stress_before_next_root_opposite_MPa,transport_pause_count,transport_recovery_count,transport_recovery_durations_s,transport_recovery_duration_s
1,RIGHT,2.772296142578125,0.008401550352926668,53.795958676605494,53.79595864588849,6,3.801948704495834,1.0296525619177088,29.153440083290505,53.80919913322609,-24.642518593314986,0.013240487337596715,0.0028846261359687844,1.3665502331505763e-05,0.21427822656948292,0.21427822656948292,0.21427827948260178,0.6499375422597082,0.24206030594928438,-0.01939109935631806,4.884988209389615,48.91097046721588,0.7069613951919973,0.7069613951919973,0.0028846261359687844,4.32789282529591e-25,29.153440083290505,53.80919913322609,55.817434294482815,55.799299954314066,0,0,[],0.0
2,LEFT,9.160351719632551,0.019443389947971568,55.799299954314066,55.817434294482815,6,19.0491372167423,9.888785497109748,32.4137219011367,55.824625255959255,-23.385578053177372,0.0071909614764451985,0.0028846261359687844,1.0069201940132722e-05,0.6499375422597082,0.6499375422597082,0.4254552107193726,1.7330091303185444,0.2841709408202708,-0.031589838254332994,6.367411161826859,49.431888792487214,0.0010364849673360585,0.0010364849673360585,0.0028846261359687844,5.6901840512121355e-25,32.4137219011367,55.824625255959255,55.20941185974503,56.20156250242961,5,5,"[0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415]",0.0019474928961926707
3,LEFT,20.47034693353917,0.02189959162933075,55.20941185974503,56.20156250242961,8,216.29299737908067,195.8226504455415,30.939698893881342,56.21172969096649,-24.26971296586369,0.0101671885368824,0.0038461681812917113,9.744433647096429e-06,0.10881188049003523,0.10881188049003523,0.542680770949617,1.7330091303185444,0.27187184291535327,-0.03124854749340836,5.836473283272717,49.372938576472315,1.8657939180731772e-05,-4.714820576912761,0.0038461681812917113,8.516354107517408e-25,30.939698893881342,56.21172969096649,57.54659761660532,57.536692521200735,72,72,"[0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857924208686, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415, 0.00038949857923853415]",0.02804389770517801
