event_number,avalanche_id,contact,start_time_s,end_time_s,duration_s,selected_stress_start_MPa,selected_stress_end_MPa,selected_stress_change_MPa,opposite_stress_start_MPa,opposite_stress_end_MPa,opposite_stress_change_MPa,center_volume_change_m3,quota_strain_change,geometric_strain_change,minimum_selected_transport_affinity_MPa
1,1,RIGHT,2.772296142578125,2.795217027252081,0.02292088467395592,53.795958676605494,52.19771266668844,-1.5982460099170506,53.79595864588849,53.79607817580287,0.00011952991437911988,7.869789690385566e-26,0.000480771022661464,2.4475364862608373e-06,104.295617329943
2,1,RIGHT,2.795218281075239,2.827121288748217,0.031903007672978045,52.16763990608351,44.61052823328772,-7.557111672795795,53.796078957039896,53.7964848285078,0.000405871467910707,8.155024633978606e-26,0.000480771022661464,2.4365953139593444e-06,66.76698709090499
3,1,RIGHT,2.8271285481682824,2.8824084780242507,0.0552799298559683,44.54216616146851,37.42050802168315,-7.121658139785357,53.796489390808915,53.79729705776961,0.0008076669606938958,8.280743207112722e-26,0.00048077102266146413,2.3941828636298013e-06,37.10762996904667
4,1,RIGHT,2.8824649296724503,2.996697219191428,0.11423228951897757,37.1760357268638,31.36729026406345,-5.808745462800354,53.79733258277916,53.798518546175345,0.0011859633961841464,8.484781610727481e-26,0.0004807710226614639,2.2934082976044934e-06,15.944613812839284
5,1,RIGHT,2.9976844730866135,3.4717844350330873,0.47409996194647386,31.014261355562805,26.611632815421597,-4.40262854014121,53.79913824419349,53.80027933745216,0.001141093258664012,9.221842853875214e-26,0.0004807710226614639,2.1571492168082074e-06,1.2039746902979613
6,1,RIGHT,3.4769800528150685,3.792948704495834,0.3159686516807656,29.599572454495377,25.17499817035248,-4.4245742841428966,53.80349538910485,53.80385242309837,0.0003570339935198426,1.0467989253215743e-25,0.00048077102266146435,2.1229256195187673e-06,0.7069613951919973
7,2,LEFT,9.160351719632551,9.183507722991603,0.02315600335905188,55.799299954314066,54.30478111889904,-1.494518835415028,55.817434294482815,55.81749323365529,5.8939172476530073e-05,1.0071067776371246e-25,0.0004807710226614639,1.8713209853915558e-06,100.6401765195346
8,2,LEFT,9.18351151850868,9.216061873175049,0.03255035466636791,54.217382098858195,46.88525309493294,-7.332129003925249,55.817494396315354,55.817681566589656,0.0001871702743023634,1.0370401178098952e-25,0.0004807710226614639,1.8690644855157146e-06,63.210899207116874
9,2,LEFT,9.216068092199578,9.274814925262481,0.05874683306290329,46.82469144169026,39.59948665919799,-7.2252047824922725,55.81768347627407,55.81806272667,0.0003792503959238529,1.0534062289616197e-25,0.00048077102266146435,1.8304124297374713e-06,33.037992686038535
10,2,LEFT,9.275171693784753,9.413286997616188,0.13811530383143555,38.683276191808915,33.56012692393781,-5.123149267871112,55.81817230713238,55.81864636402337,0.0004740568909943104,1.10604990080866e-25,0.0004807710226614635,1.7131217500132578e-06,10.95280332235922
11,2,LEFT,9.413470658127828,18.89902622139157,9.485555563263741,33.2445886785462,29.21706102539598,-4.027527653150216,55.818702672425374,55.81973825334226,0.0010355809168815613,1.059000151241002e-25,0.00048077102266146435,1.5397565210628628e-06,0.008405362308457493
12,2,LEFT,18.906961915015987,19.0401372167423,0.1331753017263111,33.78062604377085,30.85059429662102,-2.9300317471498327,55.822091593110514,55.822172656060324,8.10629498064518e-05,1.318607660885147e-25,0.00048077102266146435,1.5060993668880585e-06,9.329720395174279
13,3,LEFT,20.47034693353917,20.495643174609413,0.025296241070243752,55.20941185974503,53.768725363049256,-1.4406864966957793,56.20156250242961,56.20161065097508,4.814854546636343e-05,1.123124945832518e-25,0.0004807710226614635,1.6300063538920995e-06,91.83276924101767
14,3,LEFT,20.49564658389476,20.531556851045526,0.03591026715076495,53.69111980563162,46.72941368244025,-6.961706123191371,56.20161150391768,56.201745098919154,0.00013359500147402286,1.1658844541788926e-25,0.00048077102266146435,1.6060209966362038e-06,56.08047423691694
15,3,LEFT,20.531576211079894,20.602826301276906,0.07125009019701167,46.525603623386175,39.31874526383604,-7.206858359550133,56.201749951105285,56.20202474067481,0.00027478956952691077,1.1920800375027592e-25,0.00048077102266146435,1.5559223376371278e-06,24.925911476535127
16,3,LEFT,20.603216837237238,20.987443217263383,0.3842263800261456,38.17094575837825,33.07006719281089,-5.100878565567367,56.20212262657581,56.20244790560527,0.0003252790294662118,1.259239096906474e-25,0.0004807710226614635,1.4284443047296591e-06,0.9371475116924047
17,3,LEFT,20.987502992697035,40.23420426894233,19.246701276245293,32.89036820461741,29.665108223603493,-3.2252599810139166,56.20246286087335,56.20378749789752,0.0013246370241716504,1.0725571149538819e-25,0.00048077102266146435,1.2861677420872297e-06,0.0024140058469325305
18,3,LEFT,40.23423110259559,68.63612510674326,28.401894004147678,29.610542745926093,28.247871642557197,-1.362671103368897,56.203794071069254,56.20571227297269,0.0019182019034326076,1.0667468598851572e-25,0.00048077102266146435,9.83368653617589e-07,0.008278398420140148
19,3,LEFT,68.63746804334468,197.13978284009374,128.50231479674906,28.92510941483546,27.70846538746725,-1.2166440273682102,56.206017133543625,56.20790079831732,0.0018836647736951708,1.1364455157506564e-25,0.00048077102266146435,7.926118279488747e-07,0.006828937146320939
20,3,LEFT,197.14672648339123,216.2839973790807,19.137270895689454,30.65018253570552,27.48823009036168,-3.161952445343845,56.20921694176223,56.21038258792679,0.001165646164558828,1.2607155350203442e-25,0.0004807710226614626,7.999781225231928e-07,0.0025143656558096407
21,4,LEFT,224.00349237419744,224.041470092389,0.03797771819156992,57.54659761660532,56.142835638602456,-1.4037619780028612,57.536692521200735,57.53671450731812,2.1986117392778396e-05,1.3070234555728692e-25,0.0004807710226614661,1.0802118443065112e-06,53.82540579730958
22,4,LEFT,224.04147109733674,224.1245782735341,0.08310717619735897,56.11997204334963,49.40430242993641,-6.715669613413215,57.53671462204201,57.53677349950032,5.887745830416679e-05,1.3465519328857274e-25,0.0004807710226614626,1.0591368629908615e-06,14.517248431544006
23,4,LEFT,224.1246266479472,242.8454859915311,18.720859343583896,48.924051978367466,42.00012345683185,-6.923928521535613,57.53677902375039,57.53741111955231,0.0006320958019122481,1.0911885059142986e-25,0.00048077102266146435,1.261472718283585e-06,0.00043637098958343267
24,4,LEFT,242.84610181389007,291.7609502364398,48.91484842254971,42.01811250905253,40.803721005300744,-1.2143915037517845,57.53748073722217,57.53877302494563,0.0012922877234593034,9.40790742927859e-26,0.00048077102266146435,1.2518226055746595e-06,0.009918077005073429
