x,sigma_GB_MPa,r_TJ_nm,two_contact_characteristic_wait_s
0.009856407166988546,18.017586172252564,137.60156229319193,9.599582538025953
0.009860466034842919,18.01782821123336,137.6012840130009,9.599505621668651
0.00986857515312678,18.01831093201489,137.60072805186786,9.599352291551988
0.009884758677398908,18.01927418306182,137.59961826422926,9.599046371108466
0.009890675258247938,18.01962650939158,137.59921245524245,9.598934472786523
0.009902489429466699,18.0203295269338,137.59840191865266,9.598711260405587
0.009905070272934635,18.02048342095959,137.5982248006404,9.598662377910845
0.009910227909155411,18.020790339783538,137.59787078545304,9.598564945122718
0.00991618051783194,18.021144254026964,137.59746194335415,9.598452639520298
0.009922425277301139,18.021517974199696,137.5970326641956,9.598333881916163
0.00992897844027818,18.0219167464219,137.59658196948024,9.59820665376428
0.00993594799012798,18.02234765929739,137.59610318813588,9.598068600792296
0.009945331052965911,18.022916307750158,137.59546160166408,9.597887109400771
0.009959396725779834,18.023704510075113,137.59450533840652,9.597640228402977
0.00998187550178331,18.024897889378174,137.5929742403002,9.597272274101302
0.009986570354955648,18.025149129725826,137.59265317861227,9.59719472440731
0.00999592874476718,18.02565458697925,137.5920115214857,9.597038412998717
0.010005710751294639,18.02619415053594,137.59133838069837,9.596870737091225
0.010015941981671328,18.026773025025843,137.59063251320757,9.59668971456882
0.010029262665816607,18.027540881408594,137.5897135739696,9.596448395651702
0.010043215760205837,18.028344301364733,137.58875286248423,9.596195860161371
0.010057819210563923,18.029178405507338,137.58774861376378,9.595934173772664
0.010080391414785894,18.030450259019066,137.58619672471949,9.595536619475936
0.01011820693405463,18.03259306790819,137.5835898538057,9.594866371287308
0.010156018369256392,18.03479377644939,137.58097667859977,9.594173655153039
0.010163540757760825,18.035236995526986,137.58045658504616,9.594033725356729
0.010178548497371431,18.036125306116656,137.5794188703464,9.593752963296335
0.010197219330743912,18.037241566118322,137.57812761798212,9.593399292857928
0.010201132777146626,18.037476846897096,137.5778569982597,9.593324643729444
0.010208952453511944,18.037946944593365,137.57731636110742,9.59317549187584
