target_stress_MPa,theta_negative_deg,theta_positive_deg,mean_curvature_per_um,required_r_TJ_nm
20.0,130.0,130.0,-5.0,181.26155740732997
20.0,130.0,130.0,0.0,135.94616805549748
20.0,130.0,130.0,3.36,116.39226717080264
20.0,130.0,130.0,5.0,108.75693444439798
20.0,130.0,130.0,10.0,90.63077870366499
20.0,145.0,145.0,-5.0,190.7433901496454
20.0,145.0,145.0,0.0,143.05754261223404
20.0,145.0,145.0,3.36,122.48077278444694
20.0,145.0,145.0,5.0,114.44603408978723
20.0,145.0,145.0,10.0,95.3716950748227
20.0,160.0,160.0,-5.0,196.9615506024416
20.0,160.0,160.0,0.0,147.72116295183122
20.0,160.0,160.0,3.36,126.47359841766368
20.0,160.0,160.0,5.0,118.17693036146495
20.0,160.0,160.0,10.0,98.4807753012208
20.0,170.0,170.0,-5.0,199.23893961834912
20.0,170.0,170.0,0.0,149.42920471376186
20.0,170.0,170.0,3.36,127.9359629398646
20.0,170.0,170.0,5.0,119.54336377100948
20.0,170.0,170.0,10.0,99.61946980917456
25.0,130.0,130.0,-5.0,135.94616805549748
25.0,130.0,130.0,0.0,108.75693444439798
25.0,130.0,130.0,3.36,95.87176872743123
25.0,130.0,130.0,5.0,90.63077870366499
25.0,130.0,130.0,10.0,77.68352460314142
25.0,145.0,145.0,-5.0,143.05754261223404
25.0,145.0,145.0,0.0,114.44603408978723
25.0,145.0,145.0,3.36,100.88684246278848
25.0,145.0,145.0,5.0,95.3716950748227
25.0,145.0,145.0,10.0,81.74716720699088
25.0,160.0,160.0,-5.0,147.72116295183122
25.0,160.0,160.0,0.0,118.17693036146495
25.0,160.0,160.0,3.36,104.17571435249026
25.0,160.0,160.0,5.0,98.4807753012208
25.0,160.0,160.0,10.0,84.41209311533211
25.0,170.0,170.0,-5.0,149.42920471376186
25.0,170.0,170.0,0.0,119.54336377100948
25.0,170.0,170.0,3.36,105.38025720293501
25.0,170.0,170.0,5.0,99.61946980917456
25.0,170.0,170.0,10.0,85.38811697929248
30.0,130.0,130.0,-5.0,108.75693444439798
30.0,130.0,130.0,0.0,90.63077870366499
30.0,130.0,130.0,3.36,81.5024988342311
30.0,130.0,130.0,5.0,77.68352460314142
30.0,130.0,130.0,10.0,67.97308402774874
30.0,145.0,145.0,-5.0,114.44603408978723
30.0,145.0,145.0,0.0,95.3716950748227
30.0,145.0,145.0,3.36,85.76591283707077
30.0,145.0,145.0,5.0,81.74716720699088
30.0,145.0,145.0,10.0,71.52877130611702
30.0,160.0,160.0,-5.0,118.17693036146495
30.0,160.0,160.0,0.0,98.4807753012208
30.0,160.0,160.0,3.36,88.56184829246475
30.0,160.0,160.0,5.0,84.41209311533211
30.0,160.0,160.0,10.0,73.86058147591561
30.0,170.0,170.0,-5.0,119.54336377100948
30.0,170.0,170.0,0.0,99.61946980917456
30.0,170.0,170.0,3.36,89.58585414494115
30.0,170.0,170.0,5.0,85.38811697929248
30.0,170.0,170.0,10.0,74.71460235688093
