design_id,x,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,r_TJ_nm,neck_radius_nm,center_curvature_per_um,outer_curvature_per_um,center_theta_deg,outer_theta_deg,center_side_stress_MPa,outer_side_stress_MPa,sigma_kappa_MPa,sigma_TJ_MPa,sigma_GB_MPa,root_rate_per_contact_s,two_contact_characteristic_wait_s,G_fit_eV,G_root_eV,Vc_m3,Vo_each_m3,dsigma_dx_curvature_MPa,dsigma_dx_angle_MPa,dsigma_dx_radius_MPa,dsigma_dx_total_MPa
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.0,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,36.00000000000001,1.209823513102399e-15,1.209823513102399e-15,119.99999999999999,119.99999999999999,72.16878364870321,72.16878364870321,-1.209823513102399e-15,72.16878364870321,72.16878364870321,0.06750534982309413,9.258525459654495,4.8760980325877235,5.856448760866739,1.9543219579451394e-22,2.1446605848506323e-21,-9.016642760531541,-13.527449190393758,54.12345533624283,31.57936338531753
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.01,80.0,0.45,36.00000000000001,32.0,8.0,1.0,35.72897983430258,35.72897983430258,0.0917549819031847,0.0917549819031847,119.62432707223414,119.62432707223414,72.48643570351541,72.48643570351541,-0.0917549819031847,72.57819068541859,72.48643570351541,0.06737304982859309,9.276706362411849,4.87521563634812,5.855566364627135,1.934778738365688e-22,2.145637745829605e-21,-9.334353620105158,-13.97498110013261,55.26418386114481,31.95484914090704
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.02,80.0,0.45,36.00000000000001,32.0,8.0,1.0,35.45588808646598,35.45588808646598,0.18668707240210436,0.18668707240210436,119.24145074337343,119.24145074337343,72.80795823682082,72.80795823682082,-0.18668707240210436,72.99464530922293,72.80795823682082,0.06723671716900949,9.29551629400599,4.874325017969014,5.854675746248029,1.9152355187862366e-22,2.1466149068085776e-21,-9.663981551124104,-14.441553795582797,56.444321579304244,32.33878623259734
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.05,80.0,0.45,36.00000000000001,32.0,8.0,1.0,34.62369131100843,34.62369131100843,0.4919760440467199,0.4919760440467199,118.04719376264262,118.04719376264262,73.79640660700775,73.79640660700775,-0.4919760440467199,74.28838265105446,73.79640660700775,0.06680176015913669,9.356040896394205,4.871602765824527,5.851953494103542,1.8566058600478823e-22,2.149546389745495e-21,-10.762594743999086,-15.997884493619173,60.26419268502214,33.503713447403875
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.1,80.0,0.45,36.00000000000001,32.0,8.0,1.0,33.1903600462544,33.1903600462544,1.0789637553448883,1.0789637553448883,115.88840393175931,115.88840393175931,75.52746287414205,75.52746287414205,-1.0789637553448883,76.60642662948693,75.52746287414205,0.06597820622171754,9.472824979504725,4.866891374112187,5.847242102391203,1.7588897621506256e-22,2.154432194640358e-21,-12.934964752990599,-19.133963468887735,67.65991220978754,35.5909839879092
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.15,80.0,0.45,36.00000000000001,32.0,8.0,1.0,31.692270350986224,31.692270350986224,1.7854725193457799,1.7854725193457799,113.48420482111574,113.48420482111574,77.37047583831715,77.37047583831715,-1.7854725193457799,79.15594835766292,77.37047583831715,0.06500485350187435,9.614666695341121,4.861951243603773,5.842301971882788,1.6611736642533684e-22,2.159317999535221e-21,-15.654952599129874,-23.169752629619314,76.69257531400223,37.867870085253045
Ro80_q0.45_L8W_r1.00_th120_k0.00,0.2,80.0,0.45,36.00000000000001,32.0,8.0,1.0,30.119760955226727,30.119760955226727,2.6444590152578753,2.6444590152578753,110.78355959584567,110.78355959584567,79.33377045773622,79.33377045773622,-2.6444590152578753,81.9782294729941,79.33377045773622,0.06384209912750069,9.789778352240525,4.856771689134937,5.837122417413952,1.5634575663561115e-22,2.1642038044300836e-21,-18.704507237353933,-28.034071590736783,87.62482141360114,40.88624258551042
Ro80_q0.45_L8W_r1.00_th120_k0.25,0.0,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,36.00000000000001,6.944444444444444,3.1250000000000004,119.99999999999999,119.99999999999999,65.22433920425877,69.04378364870321,-5.034722222222221,72.16878364870321,67.134061426481,0.06164134703512911,10.139298215592458,4.890429780551187,5.870780508830203,1.9543219579451394e-22,2.1446605848506323e-21,-9.961124015819996,-13.527449190393758,54.12345533624283,30.634882130029073
Ro80_q0.45_L8W_r1.00_th120_k0.25,0.01,80.0,0.45,36.00000000000001,32.0,8.0,1.0,35.72897983430258,35.72897983430258,7.049107255072941,3.2225635048295755,119.62432707223414,119.62432707223414,65.52908343034565,69.35562718058901,-5.135835379951258,72.57819068541859,67.44235530546733,0.061526240065225925,10.158267421142876,4.889532771575415,5.8698834998544305,1.934778738365688e-22,2.145637745829605e-21,-10.261507529987306,-13.97498110013261,55.26418386114481,31.027695231024893
Ro80_q0.45_L8W_r1.00_th120_k0.25,0.02,80.0,0.45,36.00000000000001,32.0,8.0,1.0,35.45588808646598,35.45588808646598,7.156708176429502,3.3231965692144336,119.24145074337343,119.24145074337343,65.83793713279343,69.6714487400085,-5.239952372821968,72.99464530922293,67.75469293640096,0.061407767672473926,10.177865499581687,4.888626668592629,5.868977396871644,1.9152355187862366e-22,2.1466149068085776e-21,-10.572527846645743,-14.441553795582797,56.444321579304244,31.430239937075708
