design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro80_q0.45_L8W_r1.00_th150_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,150.0,150.0,20.833333333333332,9.375,0.75,0.75,65.38965219075568,76.67162440116641,76.67162440116641,11.281972210410729,-3.0809837076244313,-1.2442065223327825,15.607303907875163,44.57912045692227,10.47425271092536,10.236927432263293,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th165_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,165.0,165.0,0.0,0.0,0.0,0.0,82.62040511448419,98.15397958001161,98.15397958001161,15.533574465527423,-0.2377850609611604,-0.33013166100301844,16.101962313905872,60.205171858050214,7.761543349345493,7.3188180398218945,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th165_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,165.0,165.0,6.944444444444443,3.125,0.25,0.25,77.58568289226196,92.20164680463866,92.20164680463866,14.6159639123767,-1.1554542626630155,-0.33013166100301844,16.101962313905872,56.62235864663722,8.433547108113249,7.9898329555828935,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th165_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,165.0,165.0,13.888888888888886,6.25,0.5,0.5,72.55096067003974,86.24931402926572,86.24931402926572,13.698353359225976,-2.0731234643648673,-0.33013166100301844,16.101962313905872,53.03954543522425,9.196427993612732,8.755534952724235,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th165_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,165.0,165.0,20.833333333333332,9.375,0.75,0.75,67.51623844781751,80.29698125389275,80.29698125389275,12.780742806075239,-2.99079266606672,-0.33013166100301844,16.101962313905872,49.45673222381087,10.068084628892716,9.635154502035201,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th170_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,170.0,170.0,0.0,0.0,0.0,0.0,83.01622484097878,98.95510071145453,98.95510071145453,15.938875870475755,-0.10717191281632343,-0.14835792377559154,16.194933499943303,61.47314977665531,7.712125649582695,7.234869142644889,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th170_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,170.0,170.0,6.944444444444443,3.125,0.25,0.25,77.98150261875656,92.96672303725077,92.96672303725077,14.985220418494208,-1.0608932743028563,-0.14835792377559154,16.194933499943303,57.783410361071326,8.377629793512387,7.89863738796751,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th170_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,170.0,170.0,13.888888888888886,6.25,0.5,0.5,72.94678039653434,86.978345363047,86.978345363047,14.031564966512661,-2.014614635789392,-0.14835792377559154,16.194933499943303,54.093670945487474,9.132772010245478,8.656062200945694,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.00_th170_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.0,36.00000000000001,170.0,170.0,20.833333333333332,9.375,0.75,0.75,67.91205817431211,80.98996768884324,80.98996768884324,13.077909514531129,-2.968335997275918,-0.14835792377559154,16.194933499943303,50.40393152990482,9.99512463329432,9.526150477719181,0.0,0.0,0.0,nan,1.0,7.529940238806681,30.119760955226727,0.6666666666666665,0.3703703703703703,0.17037037037037028
Ro80_q0.45_L8W_r1.20_th165_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,165.0,165.0,0.0,0.0,0.0,0.0,68.85033759540349,77.09334218179636,77.09334218179636,8.243004586392871,-0.11488114311390751,-0.16353986703922618,8.521531816136108,34.84114167928119,8.187782440550437,7.964615278593124,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th165_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,165.0,165.0,6.944444444444443,3.125,0.25,0.25,63.81561537318127,71.47264535896625,71.47264535896625,7.65702998578498,-0.7008716822638864,-0.16353986703922618,8.521531816136108,32.352993738337986,8.992619250478423,8.778871817634817,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th165_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,165.0,165.0,13.888888888888886,6.25,0.5,0.5,58.780893150959045,65.85194853613613,65.85194853613613,7.07105538517709,-1.2868622214138634,-0.16353986703922618,8.521531816136108,29.86484579739439,9.924501297076,9.725382202217572,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th165_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,165.0,165.0,20.833333333333332,9.375,0.75,0.75,53.746170928736824,60.23125171330602,60.23125171330602,6.485080784569199,-1.8728527605638439,-0.16353986703922618,8.521531816136108,27.376697856450672,11.0134482211454,10.836030024545853,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th170_k0.00,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,170.0,170.0,0.0,0.0,0.0,0.0,69.18018736748233,77.62256932376967,77.62256932376967,8.442381956287335,-0.05165771151969696,-0.07340385173080774,8.567561448906732,35.57497007775,8.138905126581966,7.89383803227149,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th170_k0.25,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,170.0,170.0,6.944444444444443,3.125,0.25,0.25,64.1454651452601,71.98095470749195,71.98095470749195,7.835489562231842,-0.6585678377207127,-0.07340385173080774,8.567561448906732,33.0125597843849,8.936282629622955,8.700204211661177,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th170_k0.50,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,170.0,170.0,13.888888888888886,6.25,0.5,0.5,59.11074292303788,66.33934009121423,66.33934009121423,7.228597168176343,-1.2654779639217335,-0.07340385173080774,8.567561448906732,30.45014949101918,9.85901274215004,9.637328132244715,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L8W_r1.20_th170_k0.75,80.0,0.45,36.00000000000001,32.0,8.0,1.2,43.2,170.0,170.0,20.833333333333332,9.375,0.75,0.75,54.07602070081567,60.697725474936504,60.697725474936504,6.621704774120836,-1.8723880901227534,-0.07340385173080774,8.567561448906732,27.8877391976537,10.936570946140804,10.736657076328965,0.0,0.0,0.0,nan,1.0,9.609370426828178,38.43748170731272,0.9599999999999997,0.6637037037037034,0.46370370370370334
Ro80_q0.45_L10W_r1.00_th120_k0.00,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,120.0,120.0,0.0,0.0,0.0,0.0,72.16878364870321,77.75325769065098,77.75325769065098,5.584474041947772,-1.9439573770981189,-2.8892416272340444,10.41758243615884,25.25976224165639,9.258525459654495,9.646709055593071,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th120_k0.25,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,120.0,120.0,6.944444444444443,3.125,0.25,0.25,67.134061426481,72.60016056436031,72.60016056436031,5.466099137879311,-2.0623175605993866,-2.8892416272340444,10.41758243615884,24.504495415529533,10.139298215592458,10.539908696730894,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th120_k0.50,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,120.0,120.0,13.888888888888886,6.25,0.5,0.5,62.09933920425877,67.4470634380696,67.4470634380696,5.347724233810837,-2.180677744100652,-2.8892416272340444,10.41758243615884,23.749228589403376,11.153614525687837,11.563606215969326,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th120_k0.75,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,120.0,120.0,20.833333333333332,9.375,0.75,0.75,57.06461698203654,62.293966311778924,62.293966311778924,5.229349329742384,-2.2990379276019173,-2.8892416272340444,10.41758243615884,22.99396176327704,12.331556651361332,12.745860176315624,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th135_k0.00,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,135.0,135.0,0.0,0.0,0.0,0.0,76.98996104260722,85.0675286771381,85.0675286771381,8.07756763453088,-1.2722418841531722,-1.8489126473391262,11.198708485481227,34.919481943015576,8.518762339550012,8.561057638187686,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th135_k0.25,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,135.0,135.0,6.944444444444443,3.125,0.25,0.25,71.95523882038499,79.67095864862505,79.67095864862505,7.715719828240054,-1.6340862372877258,-1.8489126473391262,11.198708485481227,33.22581808668793,9.293498191022989,9.343046320147264,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th135_k0.50,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,135.0,135.0,13.888888888888886,6.25,0.5,0.5,66.92051659816276,74.27438862011196,74.27438862011196,7.353872021949201,-1.9959305904222813,-1.8489126473391262,11.198708485481227,31.53215423035998,10.179422409415357,10.236567265651669,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th135_k0.75,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,135.0,135.0,20.833333333333332,9.375,0.75,0.75,61.88579437594054,68.87781859159891,68.87781859159891,6.992024215658368,-2.3577749435568274,-1.8489126473391262,11.198708485481227,29.838490374033753,11.200011237453493,11.264808120962948,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th150_k0.00,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,150.0,150.0,0.0,0.0,0.0,0.0,80.49381885742235,90.74043091591292,90.74043091591292,10.24661205849057,-0.6310064646472258,-0.9008883168979349,11.77860899714687,42.90426060709444,8.035286688644735,7.839306032458347,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th150_k0.25,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,150.0,150.0,6.944444444444443,3.125,0.25,0.25,75.45909663520013,85.14373220161251,85.14373220161251,9.684635566412382,-1.1929951768367468,-0.9008883168979349,11.77860899714687,40.49056320540231,8.743749612321443,8.550721336733863,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th150_k0.50,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,150.0,150.0,13.888888888888886,6.25,0.5,0.5,70.4243744129779,79.54703348731212,79.54703348731212,9.122659074334223,-1.7549838890262666,-0.9008883168979349,11.77860899714687,38.076865803709566,9.550142562040156,9.362235407808907,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th150_k0.75,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,150.0,150.0,20.833333333333332,9.375,0.75,0.75,65.38965219075568,73.95033477301173,73.95033477301173,8.56068258225605,-2.31697260121579,-0.9008883168979349,11.77860899714687,35.66316840201777,10.47425271092536,10.294247800282017,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th165_k0.00,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,165.0,165.0,0.0,0.0,0.0,0.0,82.62040511448419,94.34958553844466,94.34958553844466,11.729180423960472,-0.1686198481931387,-0.23800881864951248,12.136018176160404,48.164316148315706,7.761543349345493,7.425932880359035,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th165_k0.25,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,165.0,165.0,6.944444444444443,3.125,0.25,0.25,77.58568289226196,88.6206587804698,88.6206587804698,11.034975888207839,-0.8628504945865271,-0.23800881864951248,12.136018176160404,45.29799883779528,8.433547108113249,8.09808678157232,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th165_k0.50,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,165.0,165.0,13.888888888888886,6.25,0.5,0.5,72.55096067003974,82.89173202249492,82.89173202249492,10.340771352455178,-1.557081140979917,-0.23800881864951248,12.136018176160404,42.4316815272751,9.196427993612732,8.864185683149378,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
Ro80_q0.45_L10W_r1.00_th165_k0.75,80.0,0.45,36.00000000000001,40.0,10.0,1.0,36.00000000000001,165.0,165.0,20.833333333333332,9.375,0.75,0.75,67.51623844781751,77.16280526452005,77.16280526452005,9.646566816702531,-2.2513117873733055,-0.23800881864951248,12.136018176160404,39.56536421675422,10.068084628892716,9.743177978892776,0.0,0.0,0.0,nan,1.25,7.846018098373212,31.38407239349285,0.8333333333333331,0.46296296296296285,0.26296296296296284
