discussion_role,design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
largest reserve,Ro150_q0.75_L24W_r0.60_th170_k0.75,150.00000000000003,0.75,112.50000000000001,96.00000000000001,24.0,0.6,67.5,170.0,170.0,6.666666666666666,4.999999999999999,0.75,0.75,38.44198658185535,102.13981347930368,102.13981347930368,63.69782689744833,-11.04776944817679,-2.16318855317747,77.05024350975751,82.49369697878046,10.104562402118182,8.494268406342966,0.0,0.0,0.0,nan,1.0216169398923451,6.129701639354071,24.518806557416287,0.2304,0.2012728888888889,0.001272888888888879
largest resolution margin,Ro120_q0.75_L24W_r1.00_th170_k0.50,120.00000000000001,0.75,90.00000000000001,96.00000000000001,24.0,1.0,90.00000000000001,170.0,170.0,5.5555555555555545,4.166666666666666,0.5,0.5,28.345378825280406,32.67098422753983,32.67098422753983,4.325605402259427,-0.7630416257087973,-0.0452856674724835,5.134007929424525,17.52231005148974,10.124946291527268,10.258089009172323,0.0,0.0,0.08675476118689514,nan,3.0,19.48557158514987,77.94228634059948,0.7999999999999998,0.7431111111111111,0.5431111111111111
slowest admissible initial clock,Ro80_q0.65_L8W_r1.40_th120_k0.75,80.0,0.65,52.0,32.0,8.0,1.4,72.8,120.0,120.0,14.423076923076922,9.375,0.75,0.75,23.788821584523564,26.046286789865576,26.046286789865576,2.2574652053420117,-1.1288568178661151,-1.2829431004330352,4.66925777042835,9.862447801100547,14.566264136723193,15.279606479048374,0.0,0.11402586058747567,nan,nan,1.0,16.06258592713722,64.25034370854888,0.9046153846153847,0.8062994993172509,0.6062994993172508
greatest kinetic acceleration,Ro150_q0.55_L10W_r0.80_th170_k0.75,150.00000000000003,0.55,82.50000000000001,40.0,10.0,0.8,66.00000000000003,170.0,170.0,9.09090909090909,4.999999999999999,0.75,0.75,38.23612264053387,98.74497951951038,98.74497951951038,60.50885687897651,-12.316421200331844,-2.003899713767054,74.94606480037098,81.2597617361941,10.39023455050876,8.831175519775508,0.0,0.0,0.0,nan,1.03125,6.1875,24.750000000000004,0.23272727272727275,0.20195341848234413,0.0019534184823441214
least loss to cross 30 MPa from below,Ro100_q0.75_L8W_r1.00_th150_k0.75,100.00000000000001,0.75,75.00000000000001,32.0,8.0,1.0,75.00000000000001,150.0,150.0,9.999999999999998,7.499999999999999,0.75,0.75,29.887033051562724,45.647385734797396,45.647385734797396,15.760352683234672,-5.44792690415664,-2.658956073071388,23.868251854192067,42.70825216036348,11.581450389043363,12.417330309779132,0.0,0.0,0.0026168575701720352,nan,1.0,11.481983169296146,45.927932677184586,0.31999999999999995,0.28723199999999993,0.08723199999999992
