total_volume_m3,mirror_error,energy_J,topology_stop,V_left_m3,R_left_m,mu_left_Pa,centroid_left_m,V_center_m3,R_center_m,mu_center_Pa,centroid_center_m,V_right_m3,R_right_m,mu_right_Pa,centroid_right_m,LEFT_gb_z_m,LEFT_tj_z_m,LEFT_tj_r_m,LEFT_neck_r_m,LEFT_psi_deg,LEFT_kappa_per_m,LEFT_CC_force_N,LEFT_CC_stress_Pa,LEFT_PF_geometric_stress_Pa,RIGHT_gb_z_m,RIGHT_tj_z_m,RIGHT_tj_r_m,RIGHT_neck_r_m,RIGHT_psi_deg,RIGHT_kappa_per_m,RIGHT_CC_force_N,RIGHT_CC_stress_Pa,RIGHT_PF_geometric_stress_Pa,t_model,t_s,step,mu_projected_left_Pa,mu_projected_center_Pa,mu_projected_right_Pa,delta_mu_projected_Pa,center_GB_separation_over_W,center_solid_core_f
1.0117533979883671e-20,6.661338147750939e-16,2.59344049211232e-13,False,4.199292574086397e-21,1.0008350544840469e-07,20274904.41577,-7.337739616363396e-08,1.7189488317108772e-21,7.431185685178847e-08,18781192.733536396,0.0,4.199292574086397e-21,1.0008350544840469e-07,20274904.415769998,7.337739616363396e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1502997589170207e-07,1.1502997589170207e-07,160.3432108817516,16595587.54800023,2.228137502745258e-08,536006.5024284478,17667600.55285708,2.0266448305180202e-08,2.0266448305180202e-08,1.1502997589170206e-07,1.1502997589170206e-07,160.34321088175383,16595587.547997978,2.228137502754866e-08,536006.5024307594,17667600.552859448,0.0,0.0,0,17089274.60391112,17089521.978931062,17089274.603911117,247.37501994520426,10.1332241525901,1.0
1.0117533979883671e-20,2.3314683517128287e-15,2.593437077464397e-13,False,4.199292574086836e-21,1.0008350544840818e-07,20274862.816781398,-7.33773957382686e-08,1.7189488317100004e-21,7.431185685177585e-08,18781218.136869345,-7.297617600319146e-25,4.199292574086836e-21,1.0008350544840818e-07,20274862.816781394,7.33773957382686e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1503349398893498e-07,1.1503349398893498e-07,160.29475899824575,16684022.936882742,1.85323114155653e-08,445790.7928596437,17575604.52260201,2.0266448305180202e-08,2.0266448305180202e-08,1.1503349398893498e-07,1.15033493988935e-07,160.29475899825016,16684022.936877511,1.8532311415787384e-08,445790.79286498576,17575604.522607464,8.07346330020993e-05,1.2578409939879265e-06,1,17089638.58174454,17092905.38973067,17089638.581744537,3266.8079861328006,10.1332241525901,1.0
1.0117533979883671e-20,2.886579864025407e-15,2.593434487371624e-13,False,4.1992925740879386e-21,1.0008350544841693e-07,20274827.14934164,-7.337739536451311e-08,1.718948831707795e-21,7.431185685174407e-08,18781278.303940605,0.0,4.1992925740879386e-21,1.0008350544841693e-07,20274827.14934163,7.337739536451311e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1503626144479204e-07,1.1503626144479204e-07,160.143234359041,16901662.97651256,9.303788654547318e-09,223789.88100052625,17349242.738513604,2.0266448305180202e-08,2.0266448305180202e-08,1.1503626144479205e-07,1.1503626144479205e-07,160.14323435904737,16901662.976503626,9.303788654925523e-09,223789.8810096234,17349242.738522865,0.00016037806727228456,2.498681173745937e-06,2,17089932.14284179,17095632.84829359,17089932.14284178,5700.705451805145,10.1332241525901,1.0
1.0117533979883671e-20,4.773959005888173e-15,2.593431979325509e-13,False,4.199292574089885e-21,1.000835054484324e-07,20274787.445211418,-7.337739495795204e-08,1.718948831703902e-21,7.431185685168797e-08,18781371.897726856,0.0,4.199292574089885e-21,1.000835054484324e-07,20274787.445211403,7.337739495795204e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1503899673921082e-07,1.1503899673921082e-07,159.90076708237999,17231934.9255376,-4.70929169493351e-09,-113270.1688243188,17005394.58788896,2.0266448305180202e-08,2.0266448305180202e-08,1.1503899673921082e-07,1.1503899673921082e-07,159.90076708239064,17231934.925521128,-4.709291694237007e-09,-113270.16880756617,17005394.58790599,0.00025643564148449883,3.995252720977951e-06,3,17090038.46983358,17096613.67179437,17090038.469833665,6575.201960749924,10.1332241525901,1.0
1.0117533979883671e-20,7.771561172376096e-16,2.5934294835936523e-13,False,4.199292574092884e-21,1.0008350544845622e-07,20274740.957110196,-7.337739450858015e-08,1.7189488316979028e-21,7.431185685160152e-08,18781499.087724075,7.297617600370506e-25,4.199292574092884e-21,1.0008350544845622e-07,20274740.957110196,7.337739450858015e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1504175052276196e-07,1.1504175052276196e-07,159.58769856792998,17642636.095010005,-2.2149838781821923e-08,-532733.1643672176,16577169.76627557,2.0266448305180202e-08,2.0266448305180202e-08,1.1504175052276195e-07,1.1504175052276195e-07,159.5876985679494,17642636.0949805,-2.214983878057336e-08,-532733.164337188,16577169.766306126,0.0003740565689093656,5.827780085808224e-06,4,17089796.21281815,17094343.526979037,17089796.21281814,4547.314160890877,10.1332241525901,1.0
1.0117533979883671e-20,1.2212453270876722e-15,2.593426975248877e-13,False,4.199292574097166e-21,1.0008350544849025e-07,20274685.09549898,-7.337739401166999e-08,1.71894883168934e-21,7.431185685147811e-08,18781659.53543706,7.297617600406858e-25,4.199292574097166e-21,1.0008350544849025e-07,20274685.09549897,7.337739401166999e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1504452730881792e-07,1.1504452730881792e-07,159.23645853658223,18086408.291935537,-4.101594296609788e-08,-986440.5116797537,16113527.26857603,2.0266448305180202e-08,2.0266448305180202e-08,1.1504452730881792e-07,1.1504452730881792e-07,159.23645853659642,18086408.29191379,-4.101594296517748e-08,-986440.511657618,16113527.268598553,0.000518072528714569,8.071540555082817e-06,5,17089125.76535715,17088079.995939452,17089125.76535715,-1045.7694176994264,10.1332241525901,1.0
1.0117533979883671e-20,1.6653345369377348e-15,2.593424630159418e-13,False,4.199292574102476e-21,1.0008350544853243e-07,20274622.622982726,-7.337739350654547e-08,1.7189488316787206e-21,7.431185685132509e-08,18781836.7703769,0.0,4.199292574102476e-21,1.0008350544853243e-07,20274622.62298273,7.337739350654548e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.150471129225695e-07,1.150471129225695e-07,158.9098552553762,18481864.959819235,-5.785165302720783e-08,-1391279.7076967508,15699305.544425733,2.0266448305180202e-08,2.0266448305180202e-08,1.150471129225695e-07,1.150471129225695e-07,158.9098552553867,18481864.959801663,-5.7851653026464915e-08,-1391279.7076788843,15699305.54444389,0.0006793266819276504,1.0583871097998018e-05,6,17088171.42024974,17079168.872608993,17088171.420249715,-9002.547640737146,10.1332241525901,1.0
1.0117533979883671e-20,6.661338147750939e-16,2.5934224700655905e-13,False,4.199292574108598e-21,1.0008350544858107e-07,20274554.73249743,-7.337739300744079e-08,1.718948831666476e-21,7.431185685114865e-08,18782021.102602262,0.0,4.199292574108598e-21,1.0008350544858107e-07,20274554.73249744,7.337739300744079e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.150494710685595e-07,1.150494710685595e-07,158.6356903653594,18797326.391458586,-7.130507398306925e-08,-1714751.96570459,15367822.460049406,2.0266448305180202e-08,2.0266448305180202e-08,1.150494710685595e-07,1.150494710685595e-07,158.6356903653646,18797326.391449366,-7.130507398267964e-08,-1714751.965695221,15367822.46005892,0.0008532093994347304,1.3292953954926843e-05,7,17087146.16396851,17069595.6913801,17087146.163968515,-17550.472588412464,10.1332241525901,1.0
1.0117533979883671e-20,3.0531133177191805e-15,2.59342035168847e-13,False,4.1992925741158375e-21,1.0008350544863857e-07,20274477.170707047,-7.337739248748321e-08,1.7189488316519976e-21,7.431185685094e-08,18782219.43669082,0.0,4.1992925741158375e-21,1.0008350544863857e-07,20274477.170707054,7.337739248748323e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1505175018749844e-07,1.1505175018749844e-07,158.40821492528434,19041771.600566298,-8.175461037778332e-08,-1965965.6308984533,15109840.338769387,2.0266448305180202e-08,2.0266448305180202e-08,1.1505175018749844e-07,1.1505175018749844e-07,158.40821492528636,19041771.60056103,-8.17546103775618e-08,-1965965.6308931261,15109840.338774774,0.001049575323254459,1.6352323888476208e-05,8,17086162.380574316,17060406.893979285,17086162.380574293,-25755.486595019698,10.1332241525901,1.0
1.0117533979883671e-20,7.771561172376096e-16,2.5934181764278707e-13,False,4.1992925741246125e-21,1.000835054487083e-07,20274384.936291642,-7.337739192324238e-08,1.718948831634447e-21,7.431185685068709e-08,18782438.994342625,0.0,4.1992925741246125e-21,1.000835054487083e-07,20274384.936291646,7.337739192324239e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1505404705650941e-07,1.1505404705650941e-07,158.22714558515187,19216134.13099334,-8.923804891443305e-08,-2145835.3440988436,14924463.442795651,2.0266448305180202e-08,2.0266448305180202e-08,1.1505404705650941e-07,1.1505404705650941e-07,158.2271455851622,19216134.130976602,-8.923804891372459e-08,-2145835.344081808,14924463.442812987,0.001279979372202546,1.9942005877123742e-05,9,17085334.973515965,17052672.26296918,17085334.97351595,-32662.710546776652,10.1332241525901,1.0
