design_id,Ro_nm,Rc_nm,Rc_over_Ro,Lc_over_W,Lc_over_Rc,rTJ_nm,rTJ_over_W,rTJ_over_Ro,theta_center_negative_deg,theta_center_positive_deg,theta_outer_negative_deg,theta_outer_positive_deg,center_curvature_per_um,outer_curvature_per_um,sigma0_MPa,root_rate_per_contact_s,two_contact_characteristic_wait_s,surface_area_m2,GB_area_m2,total_interfacial_energy_J,center_volume_m3,outer_volume_each_m3,center_min_radius_over_W,resolution_margin,topology_margin_over_W,accessible_loading_direction_count,best_loading_coordinate,best_directional_dsigma_dq_MPa,best_directional_minus_dE_dq_fJ,best_directional_dlnGamma_dq,rank_score
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,180.0,99.00000000000003,0.55,34.65,1.3999999999999997,74.25000000000001,18.562500000000004,0.41250000000000003,160.0,160.0,160.0,160.0,0.0,0.0,39.790212242917484,0.07046022100111408,8.870253188534816,9.118390097883557e-13,3.463959329756278e-14,9.238692142908464e-13,4.064378946914033e-21,2.442902447431424e-20,18.562500000000007,2.8197080253484206,12.562500000000004,2,center_curvature,125.0,15.999788960040233,3.2083703193057644,15.174050637706964
Ro180_q0.55_L45W_r0.75_th160_kc+0_ko+0,180.0,99.00000000000003,0.55,44.550000000000004,1.7999999999999998,74.25000000000001,18.562500000000004,0.41250000000000003,160.0,160.0,160.0,160.0,0.0,0.0,39.790212242917484,0.07046022100111408,8.870253188534816,9.102921297965859e-13,3.463959329756278e-14,9.223223342990766e-13,4.064378946914033e-21,2.442902447431424e-20,18.562500000000004,2.8828583724895918,12.562500000000004,2,center_curvature,125.0,7.819949319668415,3.2083703193057644,15.174050637706964
Ro180_q0.55_L35W_r0.75_th160_kc+10_ko+10,180.0,99.00000000000003,0.55,34.65,1.3999999999999997,74.25000000000001,18.562500000000004,0.41250000000000003,160.0,160.0,160.0,160.0,10.0,10.0,29.790212242917484,0.053267796423127255,11.733167916978898,9.228873529971276e-13,3.463959329756278e-14,9.349175574996183e-13,4.064378946914033e-21,2.442902447431424e-20,18.562500000000004,2.8197080253484206,12.562500000000004,2,center_curvature,125.0,17.01756253136952,3.8313139289902765,15.104569485540072
Ro180_q0.55_L45W_r0.75_th160_kc+10_ko+10,180.0,99.00000000000003,0.55,44.550000000000004,1.7999999999999998,74.25000000000001,18.562500000000004,0.41250000000000003,160.0,160.0,160.0,160.0,10.0,10.0,29.790212242917484,0.053267796423127255,11.733167916978898,9.210696842606237e-13,3.463959329756278e-14,9.330998887631144e-13,4.064378946914033e-21,2.442902447431424e-20,18.562500000000004,2.8828583724895918,12.562500000000004,2,center_curvature,125.0,11.645851425695751,3.8313139289902765,15.104569485540072
Ro180_q0.55_L54W_r0.75_th160_kc+10_ko+10,180.0,99.00000000000003,0.55,54.45000000000001,2.2,74.25000000000001,18.562500000000004,0.41250000000000003,160.0,160.0,160.0,160.0,10.0,10.0,29.790212242917484,0.053267796423127255,11.733167916978898,9.286946751330335e-13,3.463959329756278e-14,9.407248796355242e-13,4.064378946914033e-21,2.442902447431424e-20,18.562500000000004,2.92233452268901,12.562500000000004,2,outer_curvature,125.0,281.4300547522806,3.8313139289902765,15.104569485540072
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,150.0,82.50000000000001,0.55,45.37500000000001,2.1999999999999997,61.875000000000014,15.468750000000004,0.41250000000000003,160.0,160.0,160.0,160.0,10.0,10.0,37.74825469150098,0.055671152247562264,11.226640275392676,6.436492925373465e-13,2.4055273123307485e-14,6.520036012196318e-13,2.3520711498345098e-21,1.4137166941154074e-20,15.468750000000004,2.435278768907508,9.468750000000004,2,outer_curvature,125.0,158.6765597716921,3.314397561539728,15.052034409737008
Ro150_q0.55_L37W_r0.75_th160_kc+10_ko+10,150.0,82.50000000000001,0.55,37.12500000000001,1.8,61.875000000000014,15.468750000000004,0.41250000000000003,160.0,160.0,160.0,160.0,10.0,10.0,37.74825469150098,0.055671152247562264,11.226640275392676,6.38293102813372e-13,2.4055273123307485e-14,6.466474114956572e-13,2.3520711498345098e-21,1.4137166941154074e-20,15.468750000000004,2.4023819770746595,9.468750000000004,2,center_curvature,125.0,6.37418642431694,3.314397561539728,14.986240826071311
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,180.0,81.00000000000001,0.45,44.550000000000004,2.2,60.750000000000014,15.187500000000002,0.3375,160.0,160.0,160.0,160.0,10.0,10.0,38.63248163023248,0.05594623039079951,11.171440785808203,9.046429762387463e-13,2.3188488075227973e-14,9.126962536329756e-13,2.2260948552218853e-21,2.442902447431424e-20,15.187500000000002,2.3910009731091897,9.187500000000002,2,outer_curvature,125.0,220.25672219645614,3.267412793607427,14.972281318723963
Ro150_q0.55_L37W_r0.75_th160_kc+0_ko+0,150.0,82.50000000000001,0.55,37.12500000000001,1.8,61.875000000000014,15.468750000000004,0.41250000000000003,160.0,160.0,160.0,160.0,0.0,0.0,47.74825469150098,0.07120227012163291,8.777810018308818,6.321473123601236e-13,2.4055273123307485e-14,6.405016210424089e-13,2.3520711498345098e-21,1.4137166941154074e-20,15.46875,2.4023819770746595,9.468750000000004,2,center_curvature,125.0,4.525439618916413,2.8646487321166703,14.960325957811083
Ro180_q0.45_L36W_r0.75_th160_kc+10_ko+10,180.0,81.00000000000001,0.45,36.45,1.8,60.750000000000014,15.187500000000002,0.3375,160.0,160.0,160.0,160.0,10.0,10.0,38.63248163023248,0.05594623039079951,11.171440785808203,8.994742710368363e-13,2.3188488075227973e-14,9.075275484310656e-13,2.2260948552218853e-21,2.442902447431424e-20,15.187500000000002,2.358702304764211,9.187500000000002,2,center_curvature,125.0,6.001282615792026,3.267412793607427,14.907683982034005
