design_id,dE_dlnLc_J,energy_conjugate_force_N,one_contact_area_m2,energy_conjugate_stress_MPa,exact_local_activation_stress_MPa
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,-3.9077694248514e-14,2.8194584594887444e-07,1.731979664878139e-14,16.278819645882617,39.790212242917484
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,3.5929183834037474e-14,-1.9795693572472433e-07,1.2027636561653741e-14,-16.45850659936354,37.74825469150098
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,3.466766350479842e-14,-1.9454356624466003e-07,1.1594244037613991e-14,-16.77932305146612,38.63248163023248
Ro150_q0.45_L30W_r0.75_th160_kc+0_ko+0,1.1040708258790069e-14,-9.087002682131742e-08,8.05155835945416e-15,-11.286017285662172,58.35897795627898
Ro120_q0.55_L30W_r0.75_th160_kc-10_ko-10,1.1380314083324441e-14,-9.579388959027305e-08,7.697687399458394e-15,-12.444502435499402,69.68531836437623
