design_id,coordinate,dE_dq_J,dsigma_dq_Pa,drTJ_dq_m,dlnGamma_dq,energy_lowering_direction,directional_minus_dE_dq_J,directional_dsigma_dq_Pa,directional_drTJ_dq_m,directional_dlnGamma_dq,accessible_loading
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,center_outer_exchange,3.63725528702899e-14,0.0,0.0,0.0,-1.0,3.63725528702899e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,tj_radius,-2.8249828691912865e-14,-82478664.86998275,3.150002100000411e-08,-0.23847342904959046,1.0,2.8249828691912865e-14,-82478664.86998275,3.150002100000411e-08,-0.23847342904959046,False
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,center_curvature,8.753343971787044e-16,-125000000.0,0.0,-1.8769638158966373,-1.0,8.753343971787044e-16,125000000.0,-0.0,1.8769638158966373,True
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,outer_curvature,4.5648906264497155e-14,-125000000.0,0.0,-1.8769638158966373,-1.0,4.5648906264497155e-14,125000000.0,-0.0,1.8769638158966373,True
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,center_angle,7.84368850619393e-16,11904759.920638055,0.0,0.1787582323810044,-1.0,7.84368850619393e-16,-11904759.920638055,-0.0,-0.1787582323810044,False
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,outer_angle,9.793328952319255e-15,11904759.920638055,0.0,0.1787582323810044,-1.0,9.793328952319255e-15,-11904759.920638055,-0.0,-0.1787582323810044,False
Ro120_q0.35_L15W_r0.75_th120_kc-10_ko-10,gb_spacing,-4.895250499040319e-15,0.0,0.0,0.0,1.0,4.895250499040319e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,center_outer_exchange,3.682870647048848e-14,0.0,0.0,0.0,-1.0,3.682870647048848e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,tj_radius,-2.6985005676031888e-14,-82478664.86998275,3.150002100000411e-08,-0.33451702573694675,1.0,2.6985005676031888e-14,-82478664.86998275,3.150002100000411e-08,-0.33451702573694675,False
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,center_curvature,9.586135854952589e-16,-125000000.0,0.0,-2.0225229452508486,-1.0,9.586135854952589e-16,125000000.0,-0.0,2.0225229452508486,True
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,outer_curvature,5.185133903649949e-14,-125000000.0,0.0,-2.0225229452508486,-1.0,5.185133903649949e-14,125000000.0,-0.0,2.0225229452508486,True
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,center_angle,8.155102714942718e-16,11904759.920638055,0.0,0.19262093372152123,-1.0,8.155102714942718e-16,-11904759.920638055,-0.0,-0.19262093372152123,False
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,outer_angle,9.169404358118296e-15,11904759.920638055,0.0,0.19262093372152123,-1.0,9.169404358118296e-15,-11904759.920638055,-0.0,-0.19262093372152123,False
Ro120_q0.35_L15W_r0.75_th120_kc+0_ko+0,gb_spacing,-5.09764623829671e-15,0.0,0.0,0.0,1.0,5.09764623829671e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,center_outer_exchange,3.725282542364419e-14,0.0,0.0,0.0,-1.0,3.725282542364419e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,tj_radius,-2.5092710127728497e-14,-82478664.86998275,3.150002100000411e-08,-0.4508108964195179,1.0,2.5092710127728497e-14,-82478664.86998275,3.150002100000411e-08,-0.4508108964195179,False
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,center_curvature,1.0406474761188088e-15,-125000000.0,0.0,-2.198772649035341,-1.0,1.0406474761188088e-15,125000000.0,-0.0,2.198772649035341,True
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,outer_curvature,5.790850239486462e-14,-125000000.0,0.0,-2.198772649035341,-1.0,5.790850239486462e-14,125000000.0,-0.0,2.198772649035341,True
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,center_angle,8.400240520031954e-16,11904759.920638055,0.0,0.20940650719047937,-1.0,8.400240520031954e-16,-11904759.920638055,-0.0,-0.20940650719047937,False
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,outer_angle,8.095802624609888e-15,11904759.920638055,0.0,0.20940650719047937,-1.0,8.095802624609888e-15,-11904759.920638055,-0.0,-0.20940650719047937,False
Ro120_q0.35_L15W_r0.75_th120_kc+10_ko+10,gb_spacing,-5.279253694627778e-15,0.0,0.0,0.0,1.0,5.279253694627778e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,center_outer_exchange,3.960793638447716e-14,0.0,0.0,0.0,-1.0,3.960793638447716e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,tj_radius,-2.7721297613011965e-14,-89494594.97597814,3.150002100000411e-08,-0.28072334194229054,1.0,2.7721297613011965e-14,-89494594.97597814,3.150002100000411e-08,-0.28072334194229054,False
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,center_curvature,1.0665319063885475e-15,-125000000.0,0.0,-1.7888308574098843,-1.0,1.0665319063885475e-15,125000000.0,-0.0,1.7888308574098843,True
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,outer_curvature,4.232275015584634e-14,-125000000.0,0.0,-1.7888308574098843,-1.0,4.232275015584634e-14,125000000.0,-0.0,1.7888308574098843,True
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,center_angle,9.911640441220848e-16,8143335.388630629,0.0,0.1165362873924991,-1.0,9.911640441220848e-16,-8143335.388630629,-0.0,-0.1165362873924991,False
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,outer_angle,8.11477505911169e-15,8143335.388630629,0.0,0.1165362873924991,-1.0,8.11477505911169e-15,-8143335.388630629,-0.0,-0.1165362873924991,False
Ro120_q0.35_L15W_r0.75_th140_kc-10_ko-10,gb_spacing,-6.2568956948452456e-15,0.0,0.0,0.0,1.0,6.2568956948452456e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,center_outer_exchange,3.9855898085096723e-14,0.0,0.0,0.0,-1.0,3.9855898085096723e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,tj_radius,-2.6116715373140988e-14,-89494594.97597814,3.150002100000411e-08,-0.37299682193692174,1.0,2.6116715373140988e-14,-89494594.97597814,3.150002100000411e-08,-0.37299682193692174,False
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,center_curvature,1.1134949354671293e-15,-125000000.0,0.0,-1.9177128982638125,-1.0,1.1134949354671293e-15,125000000.0,-0.0,1.9177128982638125,True
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,outer_curvature,4.600658390005885e-14,-125000000.0,0.0,-1.9177128982638125,-1.0,4.600658390005885e-14,125000000.0,-0.0,1.9177128982638125,True
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,center_angle,1.0047580955530528e-15,8143335.388630629,0.0,0.12493248848421956,-1.0,1.0047580955530528e-15,-8143335.388630629,-0.0,-0.12493248848421956,False
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,outer_angle,7.720093185474016e-15,8143335.388630629,0.0,0.12493248848421956,-1.0,7.720093185474016e-15,-8143335.388630629,-0.0,-0.12493248848421956,False
Ro120_q0.35_L15W_r0.75_th140_kc+0_ko+0,gb_spacing,-6.336812529075246e-15,0.0,0.0,0.0,1.0,6.336812529075246e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,center_outer_exchange,4.0086088918826036e-14,0.0,0.0,0.0,-1.0,4.0086088918826036e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,tj_radius,-2.4131687276980297e-14,-89494594.97597814,3.150002100000411e-08,-0.4830714083036147,1.0,2.4131687276980297e-14,-89494594.97597814,3.150002100000411e-08,-0.4830714083036147,False
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,center_curvature,1.1599723754221078e-15,-125000000.0,0.0,-2.071458595025999,-1.0,1.1599723754221078e-15,125000000.0,-0.0,2.071458595025999,True
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,outer_curvature,4.964039230979152e-14,-125000000.0,0.0,-2.071458595025999,-1.0,4.964039230979152e-14,125000000.0,-0.0,2.071458595025999,True
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,center_angle,1.0159490982958006e-15,8143335.388630629,0.0,0.13494845592987303,-1.0,1.0159490982958006e-15,-8143335.388630629,-0.0,-0.13494845592987303,False
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,outer_angle,7.157970076838476e-15,8143335.388630629,0.0,0.13494845592987303,-1.0,7.157970076838476e-15,-8143335.388630629,-0.0,-0.13494845592987303,False
Ro120_q0.35_L15W_r0.75_th140_kc+10_ko+10,gb_spacing,-6.40513430199312e-15,0.0,0.0,0.0,1.0,6.40513430199312e-15,0.0,0.0,0.0,False
Ro120_q0.35_L15W_r0.75_th160_kc-10_ko-10,center_outer_exchange,4.1734118657020355e-14,0.0,0.0,0.0,-1.0,4.1734118657020355e-14,-0.0,-0.0,-0.0,False
Ro120_q0.35_L15W_r0.75_th160_kc-10_ko-10,tj_radius,-2.611799068701668e-14,-93791277.10007876,3.150002100000411e-08,-0.30522800172450015,1.0,2.611799068701668e-14,-93791277.10007876,3.150002100000411e-08,-0.30522800172450015,False
Ro120_q0.35_L15W_r0.75_th160_kc-10_ko-10,center_curvature,1.1882899613764213e-15,-125000000.0,0.0,-1.7395409513127902,-1.0,1.1882899613764213e-15,125000000.0,-0.0,1.7395409513127902,True
