total_volume_m3,mirror_error,energy_J,V_left_m3,R_left_m,mu_left_Pa,centroid_left_m,V_center_m3,R_center_m,mu_center_Pa,centroid_center_m,V_right_m3,R_right_m,mu_right_Pa,centroid_right_m,LEFT_gb_z_m,LEFT_tj_z_m,LEFT_tj_r_m,LEFT_neck_r_m,LEFT_psi_deg,LEFT_kappa_per_m,LEFT_CC_force_N,LEFT_CC_stress_Pa,LEFT_PF_geometric_stress_Pa,RIGHT_gb_z_m,RIGHT_tj_z_m,RIGHT_tj_r_m,RIGHT_neck_r_m,RIGHT_psi_deg,RIGHT_kappa_per_m,RIGHT_CC_force_N,RIGHT_CC_stress_Pa,RIGHT_PF_geometric_stress_Pa,t_model,t_s,step,mu_projected_left_Pa,mu_projected_center_Pa,mu_projected_right_Pa,delta_mu_projected_Pa,center_GB_separation_over_W,center_solid_core_f
1.01176382511748e-20,1.1102230246251565e-15,2.5933979420541065e-13,4.1992925741590626e-21,1.0008350544898198e-07,20269848.589646187,-7.337858251864499e-08,1.7190531028566743e-21,7.431335940296911e-08,18786721.196071018,0.0,4.1992925741590626e-21,1.0008350544898198e-07,20269848.589646194,7.337858251864497e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1508554321056538e-07,1.1508554321056538e-07,159.86210047337246,16544162.266968057,2.357399426300621e-08,566554.5828640275,17677271.432696037,2.0267653015264237e-08,2.0267653015264237e-08,1.1508554321056536e-07,1.1508554321056536e-07,159.86210047337013,16544162.26697084,2.357399426288793e-08,566554.5828611851,17677271.43269313,0.01194286191092109,0.00018606910985404388,0.0,17109309.619134292,17274655.23720852,17109309.619134296,165345.61807422712,10.133826507632119,1.0
1.01176382511748e-20,1.1657341758564144e-15,2.593395881735902e-13,4.1992925741535925e-21,1.0008350544893852e-07,20269408.832451805,-7.337858151519688e-08,1.7190531028676152e-21,7.431335940312677e-08,18786982.954544593,0.0,4.1992925741535925e-21,1.0008350544893852e-07,20269408.83245181,7.337858151519688e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1508687935458133e-07,1.1508687935458133e-07,159.9895793366658,16390978.221317979,3.0080520734452596e-08,722909.3624246735,17836796.946167264,2.0267653015264237e-08,2.0267653015264237e-08,1.1508687935458132e-07,1.1508687935458132e-07,159.98957933665503,16390978.221332863,3.0080520733821616e-08,722909.3624095097,17836796.946151823,0.012998291444346574,0.0002025126420042873,1.0,17110415.638021823,17284876.25520335,17110415.638021834,174460.61718152463,10.133826507632119,1.0
1.0117638251174796e-20,3.0531133177191805e-15,2.593393495148597e-13,4.199292574146974e-21,1.0008350544888595e-07,20268871.16755104,-7.337858032051216e-08,1.71905310288085e-21,7.431335940331748e-08,18787282.207345333,0.0,4.199292574146974e-21,1.0008350544888595e-07,20268871.167551056,7.337858032051216e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1508839078960233e-07,1.1508839078960233e-07,160.13054188830273,16225403.061524877,3.7115788685410873e-08,891960.8351657707,18009324.73185639,2.0267653015264237e-08,2.0267653015264237e-08,1.1508839078960233e-07,1.1508839078960234e-07,160.13054188829932,16225403.061529426,3.711578868521789e-08,891960.8351611327,18009324.73185166,0.014298368249582664,0.0002227677647459277,2.0,17111505.544980787,17294926.725421205,17111505.544980787,183421.18044041842,10.133826507632119,1.0
1.0117638251174798e-20,4.3298697960381105e-15,2.5933910315423826e-13,4.199292574139329e-21,1.0008350544882521e-07,20268283.83735692,-7.337857905019033e-08,1.7190531028961393e-21,7.431335940353779e-08,18787586.23152674,7.297608724894272e-25,4.199292574139329e-21,1.0008350544882521e-07,20268283.837356936,7.337857905019033e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1508991260725476e-07,1.1508991260725476e-07,160.26844712481534,16067451.175305737,4.382975886749267e-08,1053282.0623197872,18174015.29994531,2.0267653015264237e-08,2.0267653015264237e-08,1.1508991260725476e-07,1.1508991260725476e-07,160.2684471248197,16067451.175296135,4.3829758867897035e-08,1053282.0623295046,18174015.29995514,0.015730950814625486,0.00024508731969499623,3.0,17112419.249353558,17303324.06017563,17112419.24935356,190904.81082207337,10.133826507632119,1.0
1.01176382511748e-20,5.717648576819556e-15,2.5933885037551205e-13,4.199292574130174e-21,1.0008350544875247e-07,20267646.510219574,-7.33785777069029e-08,1.7190531029144526e-21,7.431335940380168e-08,18787892.54339064,0.0,4.199292574130174e-21,1.0008350544875247e-07,20267646.510219585,7.33785777069029e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509143559337027e-07,1.1509143559337027e-07,160.40192742040995,15918598.537842017,5.015963741974872e-08,1205364.7905007303,18329328.118843473,2.0267653015264237e-08,2.0267653015264237e-08,1.1509143559337028e-07,1.1509143559337028e-07,160.4019274204096,15918598.537842905,5.0159637419711285e-08,1205364.7904998306,18329328.11884256,0.017300385705762072,0.00026953902610722755,4.0,17113139.80647072,17309910.94784373,17113139.806470722,196771.1413730085,10.133826507632119,1.0
1.0117638251174798e-20,3.4416913763379853e-15,2.5933859114136657e-13,4.1992925741193854e-21,1.0008350544866676e-07,20266955.79958425,-7.337857628656904e-08,1.7190531029360282e-21,7.431335940411258e-08,18788200.26171081,1.4595217449449878e-24,4.199292574119385e-21,1.0008350544866676e-07,20266955.79958427,7.337857628656907e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509295904303409e-07,1.1509295904303409e-07,160.5305194839854,15779218.752420353,5.608945230623496e-08,1347825.9532812927,18474870.658982925,2.0267653015264237e-08,2.0267653015264237e-08,1.150929590430341e-07,1.150929590430341e-07,160.53051948399582,15779218.752403913,5.6089452306930275e-08,1347825.9532980006,18474870.658999898,0.019018977751191827,0.0002963145925066797,5.0,17113659.95279438,17314620.558850355,17113659.952794395,200960.6060559675,10.133826507632119,1.0
1.0117638251174798e-20,9.992007221626409e-16,2.593383253444455e-13,4.199292574107703e-21,1.0008350544857395e-07,20266207.956084803,-7.337857478445009e-08,1.719053102959393e-21,7.431335940444926e-08,18788508.491943542,0.0,4.199292574107703e-21,1.0008350544857395e-07,20266207.956084814,7.337857478445009e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509448270241245e-07,1.1509448270241245e-07,160.65388966911752,15649512.708579853,6.16105616178884e-08,1480458.6586963981,18610430.025972646,2.0267653015264237e-08,2.0267653015264237e-08,1.1509448270241243e-07,1.1509448270241243e-07,160.65388966909504,15649512.708610509,6.161056161658892e-08,1480458.6586651728,18610430.025940854,0.02090061965514335,0.00032563046643570564,6.0,17113975.47175335,17317415.168079864,17113975.47175334,203439.6963265203,10.133826507632119,1.0
1.0117638251174798e-20,4.6629367034256575e-15,2.593380528764721e-13,4.1992925740970176e-21,1.0008350544848906e-07,20265399.02525373,-7.33785731954804e-08,1.719053102980763e-21,7.43133594047572e-08,18788816.209412854,7.297608724535036e-25,4.1992925740970176e-21,1.0008350544848906e-07,20265399.025253735,7.337857319548039e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509600633090354e-07,1.1509600633090354e-07,160.77178482476194,15529569.906958114,6.671904760084018e-08,1603169.554118134,18735909.015194345,2.0267653015264237e-08,2.0267653015264237e-08,1.1509600633090353e-07,1.1509600633090353e-07,160.77178482475907,15529569.906958899,6.671904760080457e-08,1603169.5541172791,18735909.015193418,0.022960516963613224,0.0003577235494367942,7.0,17114084.728231914,17318281.50565512,17114084.728231914,204196.77742320672,10.133826507632119,1.0
1.01176382511748e-20,3.497202527569243e-15,2.5933777363182985e-13,4.1992925740902e-21,1.000835054484349e-07,20264524.8543159,-7.337857151427447e-08,1.719053102994399e-21,7.431335940495368e-08,18789122.24292568,-7.297608724477148e-25,4.1992925740902e-21,1.000835054484349e-07,20264524.8543159,7.337857151427447e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509752967492456e-07,1.1509752967492456e-07,160.8840214557253,15419385.037879106,7.141501267507861e-08,1715961.8961636089,18851308.83020589,2.0267653015264237e-08,2.0267653015264237e-08,1.1509752967492456e-07,1.1509752967492456e-07,160.88402145571996,15419385.037884884,7.141501267483258e-08,1715961.8961576968,18851308.830199845,0.025215283128893904,0.00039285267815251213,8.0,17113988.46806905,17317228.313317865,17113988.468069043,203239.8452488184,10.133826507632119,1.0
1.0117638251174798e-20,2.9976021664879227e-15,2.5933748750695217e-13,4.199292574090185e-21,1.0008350544843478e-07,20263581.083038058,-7.337856973511935e-08,1.719053102994428e-21,7.431335940495411e-08,18789425.301410537,0.0,4.199292574090185e-21,1.0008350544843478e-07,20263581.083038066,7.337856973511935e-08,-2.0267653015264237e-08,-2.0267653015264237e-08,1.1509905246771053e-07,1.1509905246771053e-07,160.9904774781644,15318871.590507656,7.570200219820655e-08,1818921.6681353226,18956714.92677657,2.0267653015264237e-08,2.0267653015264237e-08,1.1509905246771052e-07,1.1509905246771052e-07,160.99047747815098,15318871.590526583,7.570200219740504e-08,1818921.6681160647,18956714.926756978,0.027683072814981922,0.00043130070121618784,9.0,17113689.612675615,17314283.70908495,17113689.61267562,200594.09640933573,10.133826507632119,1.0
