domain,delta_u_over_b,G_u_N,lambda_C_u_N,envelope_force_N
h8_t1e-3,0.1,-1.714011360275467e-07,-5.119361137296727e-08,2.2259474740051397e-07
h8_t1e-3,0.05,-1.714011360275467e-07,-5.119361137116873e-08,2.2259474739871545e-07
h8_t1e-3,0.025,-1.714011360295662e-07,-5.1193611361932976e-08,2.2259474739149916e-07
h8_t1e-3,0.0125,-1.714011360295662e-07,-5.119361143329254e-08,2.2259474746285872e-07
h8_t1e-3,0.00625,-1.714011360376441e-07,-5.119361115491118e-08,2.2259474719255528e-07
h12_t5e-4,0.1,-1.8987581752500626e-07,-5.6646912234443377e-08,2.4652272975944965e-07
h12_t5e-4,0.05,-1.89875817526016e-07,-5.6646912246383676e-08,2.4652272977239967e-07
h12_t5e-4,0.025,-1.8987581752399652e-07,-5.6646912237554496e-08,2.4652272976155103e-07
h12_t5e-4,0.0125,-1.8987581751995755e-07,-5.6646912291581466e-08,2.46522729811539e-07
h12_t5e-4,0.00625,-1.8987581751995755e-07,-5.6646912106843746e-08,2.4652272962680127e-07
h16_t1e-4,0.1,-2.357579546247468e-07,-6.805781038755521e-08,3.03815765012302e-07
h16_t1e-4,0.05,-2.357579546247468e-07,-6.805781038757264e-08,3.038157650123194e-07
h16_t1e-4,0.025,-2.357579546247468e-07,-6.805781036637583e-08,3.0381576499112264e-07
h16_t1e-4,0.0125,-2.3575795461666887e-07,-6.805781038927836e-08,3.038157650059472e-07
h16_t1e-4,0.00625,-2.3575795461666887e-07,-6.80578103102457e-08,3.038157649269146e-07
full_domain,0.1,-1.6491231048363178e-07,-1.476791865718399e-07,3.125914970554717e-07
full_domain,0.05,-1.6491231048262204e-07,-1.4767918657315437e-07,3.1259149705577643e-07
full_domain,0.025,-1.6491231048060255e-07,-1.4767918658792665e-07,3.125914970685292e-07
full_domain,0.0125,-1.6491231048464152e-07,-1.4767918647628914e-07,3.1259149696093066e-07
full_domain,0.00625,-1.649123105007974e-07,-1.476791866257083e-07,3.125914971265057e-07
