domain,active_cells,free_cells,stationary_energy_J,lambda_grain_0_J,lambda_grain_1_J,KKT_Linf,projected_KKT_Linf,G_u_N,lambda_C_u_N,envelope_force_N,cannon_carter_force_N,relative_CC_difference,state_sha256
h8_t1e-3,18931,18931,2.842978190727408e-13,-1.8931478089444312e-17,-1.1372356518582475e-17,9.315074105814558e-08,9.315074118998456e-08,-1.714011360295662e-07,-5.1193611361932976e-08,2.2259474739149916e-07,3.369999610270126e-07,0.3394813853593982,f9c72ab40c3542575a029c8c5dced5ad77a78b1afcd9fc7be498d3203adad775
h12_t5e-4,20988,20507,2.821721905893224e-13,-1.8668829760048617e-17,-1.1141520871505981e-17,3.853277584553764e-08,3.853277584598487e-08,-1.8987581752399652e-07,-5.6646912237554496e-08,2.4652272976155103e-07,3.556560799792382e-07,0.3068507931146796,731ce44339895bdf0d15ecbc16184a60848542ac514c0d3ce4c08413aeab75ff
h16_t1e-4,25242,23450,2.773792820940611e-13,-1.801863743404024e-17,-1.0763257883561353e-17,6.139335841434798e-09,6.139335842180187e-09,-2.357579546247468e-07,-6.805781036637583e-08,3.0381576499112264e-07,4.0522842461839656e-07,0.2502604789453607,d5795d4deff3f9e2550596f1eefdb20f61b1bed97f94fffef10af283e7d2a133
full_domain,76590,61030,2.5997878177652714e-13,-1.8504993074672606e-17,-9.164729670235329e-18,6.565357073967659e-08,6.565357074943441e-08,-1.6491231048060255e-07,-1.4767918658792665e-07,3.125914970685292e-07,4.0401775067942554e-07,0.22629266525331454,6a627a4b50f485edc6cd02701bda10d0345c27f7eab3232ef8bc73ebfb3edf9d
