q_over_b,energy_J,envelope_force_N,projected_KKT_residual
0.360000,6.163537506656006e-13,-3.3757253417784807e-09,8.436579370090652e-08
0.365000,6.163537533824896e-13,-9.869185045209818e-10,8.383495128574253e-08
0.367020,6.163537536261662e-13,-7.402660111215731e-12,7.111996998786230e-08
0.370000,6.163537530880082e-13,1.4528836972920067e-09,6.457296144578989e-08
