q_over_b,u_m,energy_J,envelope_force_N,configurational_force_N,PF_force_relative_difference,KKT_residual,left_pressure_Pa,center_pressure_Pa,right_pressure_Pa,right_KKT_pressure_difference_Pa,right_CMC_pressure_difference_Pa,right_neck_radius_m,left_neck_radius_m,right_dihedral_deg,reference_dihedral_deg,right_local_activation_stress_Pa,right_CC_KKT_force_N,right_CC_KKT_reference_force_N,right_CC_CMC_force_N,left_centroid_m,center_centroid_m,right_centroid_m,left_volume_m3,center_volume_m3,right_volume_m3,gb_left_m,gb_right_m,right_centroid_displacement_m,center_centroid_displacement_m,remote_neck_change_m,remote_pressure_change_Pa,minus_delta_energy_J,integrated_work_J,work_closure_residual_J
0.0,0.0,6.163493410999116e-13,-6.047356557133537e-08,-6.047356540689242e-08,2.7192534185236907e-09,2.596458884918454e-08,13306743.874639312,10064842.122887783,13306744.168631509,3241902.045743726,3247301.1935275365,8.333429764404608e-08,8.333431736247475e-08,160.30974957276007,160.0,37001746.60025792,4.4516502040562507e-07,4.449211327797192e-07,4.450472265474787e-07,-2.2023760410028156e-07,-1.3760068305267361e-14,2.2023761186160086e-07,1.4169445195444333e-20,2.3397790506639986e-21,1.4169445195677843e-20,-9.075000000000002e-08,9.075000000000002e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.2500000000000002e-11,6.163501213144648e-13,-6.38662836068136e-08,-6.386628357278474e-08,5.328141629653473e-10,5.904575777621046e-08,13306715.806998206,10064579.872704031,13306694.364690484,3242114.4919864535,3247466.998779049,8.33299615136678e-08,8.333639793973854e-08,160.30703617759494,160.0,37005448.85337269,4.451387827404106e-07,4.448970277784021e-07,4.4502201860650895e-07,-2.2023695900376845e-07,-6.433773931922095e-12,2.2023344015562043e-07,1.4169445195445046e-20,2.3397790506640513e-21,1.4169445195677485e-20,-9.075000000000002e-08,9.074375000000001e-08,4.171705980431168e-12,6.420013863616828e-12,2.0805772637942283e-12,234.18254264630377,-7.802145531883408e-19,-7.771240573634312e-19,3.0904958249095775e-21
0.1,2.5000000000000004e-11,6.163509252346853e-13,-6.421223322559204e-08,-6.421223313662161e-08,1.3855680958486128e-09,8.828649699244712e-08,13306686.85002936,10064309.619324923,13306645.887677597,3242336.2683526743,3247681.1111811977,8.332559979193737e-08,8.333863958712191e-08,160.30436122503522,160.0,37009203.19043601,4.4511225712990746e-07,4.4487260493426014e-07,4.449956723899307e-07,-2.2023624359832101e-07,-1.3134445005210612e-11,2.2022896081077392e-07,1.4169445195447225e-20,2.3397790506642446e-21,1.4169445195677596e-20,-9.075000000000002e-08,9.073750000000001e-08,8.651050826941443e-12,1.3120684936905345e-11,4.3222246471612785e-12,475.47895290888846,-1.5841347736091111e-18,-1.5776147875659664e-18,6.519986043144672e-21
0.15,3.75e-11,6.16351712589812e-13,-6.11624039660567e-08,-6.11624040150037e-08,-8.002792574867682e-10,9.997068251216615e-08,13306657.044970507,10064004.49088657,13306598.912293205,3242594.421406634,3248013.538803555,8.33211574340613e-08,8.334104540648543e-08,160.30172053712624,160.0,37013067.03224132,4.450846031747714e-07,4.4484702726051206e-07,4.4496641091925997e-07,-2.2023540883322227e-07,-2.018200729963236e-11,2.202241496020288e-07,1.4169445195445425e-20,2.339779050664254e-21,1.416944519567771e-20,-9.075000000000002e-08,9.073125000000001e-08,1.3462259572052123e-11,2.0168247231327093e-11,6.728044010681145e-12,750.8023324068636,-2.3714899003264435e-18,-2.3612062700137708e-18,1.0283630312672702e-20
0.2,5.000000000000001e-11,6.163524384876276e-13,-5.433172201470485e-08,-5.433172198525654e-08,5.420095353455272e-10,9.010532777417937e-08,13306645.632015869,10063601.486718988,13306595.873002272,3242994.386283284,3248671.6431559417,8.33166986511145e-08,8.334414542919033e-08,160.2990030384177,160.0,37016972.06350693,4.450537235177121e-07,4.4481828401601613e-07,4.4492991442997537e-07,-2.2023395582435373e-07,-2.800394824715502e-11,2.202183696520026e-07,1.4169445195444917e-20,2.339779050664174e-21,1.416944519567779e-20,-9.075000000000002e-08,9.072500000000001e-08,1.9242209598275754e-11,2.799018817884975e-11,9.828066715580159e-12,1142.3935453519225,-3.0973877159377237e-18,-3.0830445573935308e-18,1.4343158544192945e-20
0.25,6.25e-11,6.163530539249083e-13,-4.342334931536668e-08,-4.342334930636867e-08,2.0721596302944578e-10,9.115295708603949e-08,13306630.595107358,10063250.22424363,13306561.110328136,3243310.8860845063,3249082.6960876863,8.331252535548142e-08,8.334677811554202e-08,160.29645536027155,160.0,37020731.0287107,4.450260806237525e-07,4.4479264406479094e-07,4.4490022213951086e-07,-2.202327489182766e-07,-3.53645191927844e-11,2.2021275621314756e-07,1.4169445195444844e-20,2.339779050664124e-21,1.4169445195677223e-20,-9.075000000000002e-08,9.071875000000001e-08,2.4855648453304308e-11,3.535075912447913e-11,1.2460753067269264e-11,1478.6191121991724,-3.712824996680177e-18,-3.694013753206477e-18,1.881124347369956e-20
0.3,7.5e-11,6.163535057066318e-13,-2.8091239231014654e-08,-2.809123931335259e-08,-2.931089464966749e-09,9.086457361962702e-08,13306619.060073428,10062878.47807832,13306528.6177738,3243650.1396954786,3249545.3511909116,8.33084160088276e-08,8.334941242570231e-08,160.29396411038687,160.0,37024493.73548135,4.4499827399679447e-07,4.4476679615035004e-07,4.448697373348662e-07,-2.2023150265640265e-07,-4.2887437870157816e-11,2.2020689148141283e-07,1.4169445195445275e-20,2.3397790506641615e-21,1.4169445195677247e-20,-9.075000000000002e-08,9.071250000000001e-08,3.072038018803729e-11,4.287367780185255e-11,1.5095063227559485e-11,1838.8302435781807,-4.164606720149475e-18,-4.1409799316213606e-18,2.3626788528114573e-20
0.35,8.75e-11,6.163537364074961e-13,-7.995849101407713e-09,-7.995849068298962e-09,4.1407423565001005e-09,8.429450623669357e-08,13306613.081886886,10062472.002258157,13306500.882133627,3244028.87987547,3250089.7878215034,8.330450209864952e-08,8.33521828928173e-08,160.2915048003979,160.0,37028178.47329803,4.449705105377581e-07,4.447409659488083e-07,4.448383735182437e-07,-2.2023003880320094e-07,-5.060078571188536e-11,2.2020053176403594e-07,1.4169445195445142e-20,2.339779050664153e-21,1.4169445195677337e-20,-9.075000000000002e-08,9.070625000000001e-08,3.708009756492221e-11,5.0587025643580093e-11,1.7865530342555554e-11,2239.3278771992773,-4.39530758443759e-18,-4.3665242336990005e-18,2.878335073858943e-20
0.4,1.0000000000000002e-10,6.163536844242421e-13,1.7196949378638126e-08,1.7196949284086412e-08,-5.498167822333794e-09,9.758130589763298e-08,13306604.40394916,10062076.191059096,13306459.278218655,3244383.087159559,3250573.5651763286,8.330069748085867e-08,8.335472375417308e-08,160.28915988829877,160.0,37031835.70341927,4.449438634820825e-07,4.447161624746105e-07,4.448089139652476e-07,-2.2022874058352035e-07,-5.827309150723355e-11,2.201941838652667e-07,1.4169445195445073e-20,2.3397790506641502e-21,1.4169445195677436e-20,-9.075000000000002e-08,9.070000000000001e-08,4.342799633416042e-11,5.825933143892828e-11,2.040639169832937e-11,2626.461138535291,-4.343324330436735e-18,-4.3090173569663105e-18,3.430697347042473e-20
0.45,1.1250000000000001e-10,6.163532839813675e-13,4.7320111372482754e-08,4.732011128653995e-08,-1.8162003262371953e-09,9.589735360101756e-08,13306605.895419411,10061679.356974628,13306428.406839008,3244749.0498643797,3251056.59338337,8.32969739567522e-08,8.335720695953015e-08,160.28689068518898,160.0,37035460.82239053,4.449173847382955e-07,4.446914679488916e-07,4.447798955407293e-07,-2.2022745750556278e-07,-6.607908902517572e-11,2.2018771225362483e-07,1.4169445195444974e-20,2.3397790506641434e-21,1.4169445195677427e-20,-9.075000000000002e-08,9.069375000000001e-08,4.989960797603765e-11,6.606532895687045e-11,2.288959705539996e-11,3024.7866932544857,-3.942881455868138e-18,-3.905785727271805e-18,3.709572859633292e-20
