grain,side,KKT_pressure_Pa,global_CMC_gamma_kappa_Pa,relative_difference,CMC_kappa_meridional_per_m,CMC_kappa_azimuthal_per_m,CMC_kappa_total_per_m,CMC_standard_deviation_per_m
0,plus,18839195.91859326,18832682.186883055,-0.00034575423167493145,9411644.770248322,9421037.416634731,18832682.186883055,179938.62071414734
1,minus,9330246.009917118,9309997.630379826,-0.0021701871007227275,327101.1207368159,8982896.509643009,9309997.630379826,161388.16199914028
