metrology,psi_deg,pressure_curvature_per_m,contact_area_m2,line_force_N,pressure_force_N,total_force_N,relative_to_envelope
local_TJ_measured_angle,166.86259568794964,7107345.912160419,3.364114545277621e-14,6.459218140128148e-07,-2.390992576141831e-07,4.0682255639863175e-07,0.3014511277939347
local_TJ_reference_160deg,160.0,7023971.648845175,3.364114545277621e-14,6.403122025744025e-07,-2.362944518949769e-07,4.0401775067942565e-07,0.2924783766298452
global_CMC_measured_angle,166.86259568794964,9522684.556503229,3.364114545277621e-14,6.459218140128148e-07,-3.2035401626623086e-07,3.2556779774658397e-07,0.04151200784329071
global_CMC_reference_160deg,160.0,9522684.556503229,3.364114545277621e-14,6.403122025744025e-07,-3.2035401626623086e-07,3.1995818630817165e-07,0.023566505515111504
KKT_pressure_measured_angle,166.86259568794964,9508949.908676144,3.364114545277621e-14,6.459218140128148e-07,-3.1989196698093724e-07,3.260298470318776e-07,0.04299013277511614
KKT_pressure_reference_160deg,160.0,9508949.908676144,3.364114545277621e-14,6.403122025744025e-07,-3.1989196698093724e-07,3.204202355934653e-07,0.02504463044693693
