z_m,distance_from_GB_over_W,resultant_N,surface_bulk_N,surface_gradient_N,gb_bulk_N,gb_gradient_N,constraint_N
6.253262893898188e-10,-20.63576754986402,3.219922548887871e-07,3.889844957399512e-07,3.796401896559266e-07,0.0,-4.7874895059327775e-37,-4.466324305070907e-07
1.8759788681694564e-09,-20.510702291986057,3.219922789478762e-07,3.8897989222556155e-07,3.796326339664701e-07,0.0,0.0,-4.4662024724415545e-07
3.126631446949094e-09,-20.385637034108093,3.219923269791083e-07,3.8897068524524306e-07,3.796175241008532e-07,0.0,0.0,-4.465958823669879e-07
4.377284025728731e-09,-20.26057177623013,3.2199239900990023e-07,3.8895687489580103e-07,3.7959486328710535e-07,0.0,0.0,-4.4655933917300614e-07
5.62793660450837e-09,-20.135506518352166,3.2199249502113785e-07,3.8893846132240855e-07,3.795646563067546e-07,0.0,0.0,-4.465106226080253e-07
6.8785891832880065e-09,-20.010441260474202,3.219926149872849e-07,3.8891544471800427e-07,3.795269095352541e-07,0.0,0.0,-4.464497392659735e-07
8.129241762067645e-09,-19.88537600259624,3.219927588766584e-07,3.888878253236894e-07,3.794816309413966e-07,0.0,0.0,-4.4637669738842764e-07
9.379894340847282e-09,-19.760310744718275,3.219929266511552e-07,3.888556034281964e-07,3.794288300872778e-07,0.0,0.0,-4.4629150686431906e-07
1.063054691962692e-08,-19.63524548684031,3.21993118266409e-07,3.8881877936887885e-07,3.793685181270128e-07,0.0,0.0,-4.4619417922948274e-07
1.1881199498406557e-08,-19.510180228962348,3.2199333277748514e-07,3.8877735353142455e-07,3.793007078155136e-07,0.0,0.0,-4.4608472856945303e-07
1.3131852077186195e-08,-19.385114971084384,3.2199357191551405e-07,3.8873132635217677e-07,3.792254134750172e-07,0.0,0.0,-4.459631679116799e-07
1.4382504655965832e-08,-19.26004971320642,3.219938347174411e-07,3.8868069831934884e-07,3.791426510452403e-07,0.0,0.0,-4.458295146471481e-07
1.563315723474547e-08,-19.134984455328457,3.21994120754415e-07,3.8862546997810117e-07,3.790524382127807e-07,0.0,0.0,-4.4568378743646684e-07
1.6883809813525108e-08,-19.00991919745049,3.219944298005645e-07,3.885656419412768e-07,3.7895479345899986e-07,0.0,0.0,-4.455260055997121e-07
1.8134462392304746e-08,-18.88485393957253,3.2199476317059255e-07,3.88501214869817e-07,3.7884973761981555e-07,0.0,0.0,-4.4535618931903994e-07
1.9385114971084384e-08,-18.759788681694562,3.219951198891666e-07,3.8843218948642507e-07,3.787372929235711e-07,0.0,0.0,-4.451743625208296e-07
2.063576754986402e-08,-18.634723423816602,3.2199549861578874e-07,3.883585665884146e-07,3.786174833522311e-07,0.0,0.0,-4.449805513248569e-07
2.1886420128643658e-08,-18.509658165938635,3.219959013375485e-07,3.882803470712377e-07,3.7849033350739395e-07,0.0,0.0,-4.4477477924108316e-07
2.3137072707423296e-08,-18.38459290806067,3.219963275148748e-07,3.881975319148104e-07,3.783558704228114e-07,0.0,0.0,-4.4455707482274696e-07
2.4387725286202935e-08,-18.25952765018271,3.2199677495434206e-07,3.88110122214305e-07,3.78214122645879e-07,0.0,0.0,-4.4432746990584195e-07
2.563837786498257e-08,-18.134462392304744,3.219972464805558e-07,3.880181192201381e-07,3.7806511919930783e-07,0.0,0.0,-4.440859919388902e-07
2.688903044376221e-08,-18.009397134426784,3.2199774035368126e-07,3.879215243384119e-07,3.779088917204403e-07,0.0,0.0,-4.4383267570517096e-07
2.8139683022541847e-08,-17.884331876548817,3.219982555763734e-07,3.878203391956485e-07,3.7774547233593e-07,0.0,0.0,-4.435675559552051e-07
2.9390335601321485e-08,-17.759266618670853,3.219987940986965e-07,3.877145656680463e-07,3.775748946764403e-07,0.0,0.0,-4.432906662457901e-07
3.064098818010112e-08,-17.63420136079289,3.2199935410398916e-07,3.8760420593362545e-07,3.773971936536295e-07,0.0,0.0,-4.4300204548326574e-07
3.189164075888076e-08,-17.509136102914926,3.2199993641052005e-07,3.8748926254147937e-07,3.772124056829688e-07,0.0,0.0,-4.427017318139282e-07
3.31422933376604e-08,-17.384070845036963,3.2200054002933804e-07,3.8736973851028426e-07,3.770205673645309e-07,0.0,0.0,-4.423897658454771e-07
3.439294591644003e-08,-17.259005587159,3.220011658601467e-07,3.8724563740157036e-07,3.7682171657601415e-07,0.0,0.0,-4.420661881174378e-07
3.5643598495219674e-08,-17.133940329281035,3.2200181192582655e-07,3.8711696342895e-07,3.7661589244598436e-07,0.0,0.0,-4.417310439491078e-07
3.689425107399931e-08,-17.00887507140307,3.2200247985553556e-07,3.869837216187879e-07,3.764031331647375e-07,0.0,0.0,-4.4138437492798985e-07
3.8144903652778945e-08,-16.88380981352511,3.220031675553845e-07,3.8684591791073105e-07,3.7618347812651166e-07,0.0,0.0,-4.410262284818582e-07
3.9395556231558586e-08,-16.758744555647144,3.2200387585922135e-07,3.8670355931512514e-07,3.7595696632420286e-07,0.0,0.0,-4.406566497801066e-07
4.064620881033822e-08,-16.63367929776918,3.2200460556305565e-07,3.8655665407507907e-07,3.757236357180348e-07,0.0,0.0,-4.402756842300582e-07
4.1896861389117863e-08,-16.508614039891214,3.2200535394793483e-07,3.864052117790806e-07,3.7548352359144567e-07,0.0,0.0,-4.3988338142259144e-07
4.31475139678975e-08,-16.383548782013253,3.2200612163877716e-07,3.8624924348791926e-07,3.752366644163586e-07,0.0,0.0,-4.3947978626550066e-07
4.4398166546677134e-08,-16.25848352413529,3.2200690919904403e-07,3.8608876173322236e-07,3.749830889687398e-07,0.0,0.0,-4.390649415029182e-07
