case,u_over_b,energy_J,projected_KKT_residual,normalized_constraint_residual,active_cells,f_min,f_max,state_sha256
q0_branch_a,0.0,2.869067232028088e-13,9.145789257522519e-08,5.536486210376631e-15,45427,1.8801756438659478e-17,0.9999999999999987,8680f6525127be2b7f6ce6ae17c1f846b745fbb0c5d0281d9f18ddb337105709
q0_branch_b,0.0,2.8690535866814785e-13,9.292700767216111e-08,6.274684371760371e-15,45427,2.144618250148602e-17,0.9999999999999987,1b35d4d1ddccb0723bc202de611ea39bb2928c531ffa5dc3458414f018deb6ef
q04_common,0.4,2.869055626369779e-13,8.259397102361454e-08,4.061278267083344e-15,45436,2.155462975909889e-17,0.9999999999999987,61023e8e3016d9162b3fd11d02cd3973f38ad18c50e8076cbbba4f470f2002bb
q045_common,0.45,2.8690568278758186e-13,7.019561696193716e-08,3.3229856155367413e-15,45436,2.1898690306095418e-17,0.9999999999999987,c6aa116c8fcf3f557d79635b5ba640d6ce6a6b454cc913677964a1f9343a7f03
q0475_common,0.475,2.869057627652587e-13,8.230741306634697e-08,2.092288479293195e-15,45436,2.207071943714156e-17,0.9999999999999987,0af6d01a5fb181978cc84770e4dafca0fccd8c5cda8e2460f1216768723a6aff
q05_tj_gaussian,0.5,2.869058556446192e-13,9.672983807900392e-08,3.5692632923968625e-15,45436,2.224274820457619e-17,0.9999999999999987,9393bc0abacdd73fd74fb45bb8a0b931669bc07ba3a9e6a21522837d6fd1ef9c
q05_broad_tj,0.5,2.86905870621839e-13,7.17774214986297e-08,4.0615754706584985e-15,45436,2.22439776887859e-17,0.9999999999999987,669a211053b5ed515a6afb19d4bda248d8d63d66db6bfa3f383310fe86ea3a6f
q05_distributed_neck,0.5,2.8690586917793594e-13,9.66001643190606e-08,3.93849742609309e-15,45436,2.2246403052416635e-17,0.9999999999999987,343dfcc8ea6e675fa3f97db41f4b3f336db118ad59f61385b08c30967b148f48
q05_uniform_moving_surface,0.5,2.8690584088102766e-13,9.449944363831841e-08,6.2769802728358615e-15,45436,2.2250566395862077e-17,0.9999999999999987,cdbaa7aa783f926c20b50b66d93a4b0e117ab27aac4d86f7409d76b1030cbe11
q055_common,0.55,2.869052596032503e-13,8.686038777865404e-08,1.1077429332978133e-15,45436,2.2611437022807613e-17,0.9999999999999987,2e8f1ca82de9a8e05d934921d35f70ae314e8f52525a460353e34309b0f86735
q0525_common,0.525,2.8690542035499415e-13,9.220012200808828e-08,8.615620741952568e-16,45436,2.2427094296344797e-17,0.9999999999999987,23ad44e89c66f6d0be5ba7e54dc943d0b0a16508725530905d5bcb8c56ac7db2
q06_common,0.6,2.869046748721358e-13,9.625301351096072e-08,2.58482809310437e-15,45436,2.298011354947157e-17,0.9999999999999987,382df0fa6b8293baa6d2d58a6b17faf75ffd4f677aac536a41d7ca5818339347
q10_warm,1.0,2.868869732543591e-13,8.518625022263873e-08,5.663662378715106e-15,45436,2.4732692579392806e-17,0.9999999999999987,24278f8ab2ead6f3108119c82c40171d85b02b57b918a3fde44f760364628935
