q_over_b,u_m,left_GB_plane_m,right_GB_plane_m,left_GB_shift_m,right_GB_shift_m,measured_left_ownership_plane_m,measured_left_ownership_plane_shift_m,left_ownership_plane_error_m,measured_right_ownership_plane_m,measured_right_ownership_plane_shift_m,right_ownership_plane_error_m
0.0,0.0,-9.075000000000002e-08,9.075000000000002e-08,0.0,-0.0,-9.075000000000002e-08,0.0,0.0,9.075000000000002e-08,0.0,0.0
0.1,2.5000000000000004e-11,-9.075000000000002e-08,9.073750000000001e-08,0.0,-1.2500000000000002e-11,-9.075000000000002e-08,0.0,0.0,9.073795030660767e-08,-1.2049693392346935e-11,4.5030660765306693e-13
0.5,1.25e-10,-9.075000000000002e-08,9.068750000000001e-08,0.0,-6.25e-11,-9.075000000000002e-08,0.0,0.0,9.06892897644929e-08,-6.071023550711817e-11,1.7897644928818305e-12
1.0,2.5e-10,-9.075000000000002e-08,9.062500000000002e-08,0.0,-1.25e-10,-9.075000000000002e-08,0.0,0.0,9.062740500716036e-08,-1.2259499283965375e-10,2.4050071603462616e-12
