q_over_b,u_m,U_L_m,U_C_m,U_R_m,q_L_m,q_R_m,left_frame_tracer_shift_m,center_frame_tracer_shift_m,right_frame_tracer_shift_m,left_frame_tracer_error_m,center_frame_tracer_error_m,right_frame_tracer_error_m,left_GB_plane_m,right_GB_plane_m,left_GB_shift_m,right_GB_shift_m,measured_left_ownership_plane_m,measured_left_ownership_plane_shift_m,left_ownership_plane_error_m,measured_right_ownership_plane_m,measured_right_ownership_plane_shift_m,right_ownership_plane_error_m,left_material_centroid_shift_m,center_material_centroid_shift_m,right_material_centroid_shift_m,left_neck_radius_m,right_neck_radius_m,mass_relative_error,partition_residual,f_min,f_max
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.075000000000002e-08,9.075000000000002e-08,0.0,-0.0,-9.075000000000002e-08,0.0,0.0,9.075000000000002e-08,0.0,0.0,0.0,0.0,0.0,6.073758134302443e-08,6.073758133550176e-08,0.0,0.0,-2.185127487078322e-36,1.0
0.1,2.5000000000000004e-11,0.0,0.0,-2.5000000000000004e-11,0.0,2.5000000000000004e-11,0.0,0.0,-2.5000000000001878e-11,0.0,0.0,-1.8740810753154533e-24,-9.075000000000002e-08,9.073750000000001e-08,0.0,-1.2500000000000002e-11,-9.075000000000002e-08,0.0,0.0,9.073795030660767e-08,-1.2049693392346935e-11,4.5030660765306693e-13,0.0,-1.754656222337357e-13,-2.49657334076404e-11,6.073758134302443e-08,6.086719282843625e-08,0.0,2.220446049250313e-16,-2.185127487078321e-36,1.0
0.5,1.25e-10,0.0,0.0,-1.25e-10,0.0,1.25e-10,0.0,0.0,-1.2500000000006233e-10,0.0,0.0,-6.232288927704218e-23,-9.075000000000002e-08,9.068750000000001e-08,0.0,-6.25e-11,-9.075000000000002e-08,0.0,0.0,9.06892897644929e-08,-6.071023550711817e-11,1.7897644928818305e-12,0.0,-1.1581021934473718e-12,-1.2491530962714215e-10,6.073758134302443e-08,6.135206683119848e-08,0.0,2.220446049250313e-16,-2.185127487078321e-36,1.0
1.0,2.5e-10,0.0,0.0,-2.5e-10,0.0,2.5e-10,0.0,0.0,-2.500000000000717e-10,0.0,0.0,-7.170621935069059e-23,-9.075000000000002e-08,9.062500000000002e-08,0.0,-1.25e-10,-9.075000000000002e-08,0.0,0.0,9.062740500716036e-08,-1.2259499283965375e-10,2.4050071603462616e-12,0.0,-3.018165491132064e-12,-2.5004693739736057e-10,6.073758134302443e-08,6.183211654992993e-08,0.0,2.220446049250313e-16,-2.185127487078321e-36,1.0
