q_over_b,u_m,U_L_m,U_C_m,U_R_m,q_L_m,q_R_m,left_frame_tracer_shift_m,center_frame_tracer_shift_m,right_frame_tracer_shift_m,left_frame_tracer_error_m,center_frame_tracer_error_m,right_frame_tracer_error_m
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.5000000000000004e-11,0.0,0.0,-2.5000000000000004e-11,0.0,2.5000000000000004e-11,0.0,0.0,-2.5000000000001878e-11,0.0,0.0,-1.8740810753154533e-24
0.5,1.25e-10,0.0,0.0,-1.25e-10,0.0,1.25e-10,0.0,0.0,-1.2500000000006233e-10,0.0,0.0,-6.232288927704218e-23
1.0,2.5e-10,0.0,0.0,-2.5e-10,0.0,2.5e-10,0.0,0.0,-2.500000000000717e-10,0.0,0.0,-7.170621935069059e-23
