q_over_b,u_m,z_m,surface_radius_m
0.0,0.0,-3.901751373626374e-07,4.95374257734477e-09
0.0,0.0,-3.8967651098901105e-07,1.376657348620922e-08
0.0,0.0,-3.891778846153847e-07,1.8844359627305618e-08
0.0,0.0,-3.886792582417583e-07,2.283465310752468e-08
0.0,0.0,-3.8818063186813194e-07,2.623810514288631e-08
0.0,0.0,-3.876820054945055e-07,2.9259269709641954e-08
0.0,0.0,-3.8718337912087915e-07,3.200606783373262e-08
0.0,0.0,-3.866847527472528e-07,3.454542358599123e-08
0.0,0.0,-3.861861263736264e-07,3.691938356281044e-08
0.0,0.0,-3.8568750000000004e-07,3.915800427781486e-08
0.0,0.0,-3.851888736263737e-07,4.128316439949816e-08
0.0,0.0,-3.846902472527473e-07,4.331106987765124e-08
0.0,0.0,-3.8419162087912094e-07,4.5255293977676015e-08
0.0,0.0,-3.8369299450549457e-07,4.712523468193577e-08
0.0,0.0,-3.831943681318682e-07,4.8930165175227325e-08
0.0,0.0,-3.826957417582418e-07,5.067683327683561e-08
0.0,0.0,-3.821971153846154e-07,5.237052608570018e-08
0.0,0.0,-3.8169848901098904e-07,5.4016260084995464e-08
0.0,0.0,-3.811998626373627e-07,5.561845097188257e-08
0.0,0.0,-3.807012362637363e-07,5.718049531008027e-08
0.0,0.0,-3.8020260989010994e-07,5.870538891679302e-08
0.0,0.0,-3.7970398351648357e-07,6.019580637148778e-08
0.0,0.0,-3.792053571428572e-07,6.165415395866731e-08
0.0,0.0,-3.7870673076923083e-07,6.308260116703736e-08
0.0,0.0,-3.7820810439560446e-07,6.448309483839786e-08
0.0,0.0,-3.7770947802197804e-07,6.585735923750246e-08
0.0,0.0,-3.7721085164835167e-07,6.720668993276373e-08
0.0,0.0,-3.767122252747253e-07,6.8532261858341e-08
0.0,0.0,-3.7621359890109894e-07,6.983589493095221e-08
0.0,0.0,-3.7571497252747257e-07,7.111805591369853e-08
0.0,0.0,-3.752163461538462e-07,7.238022921540377e-08
0.0,0.0,-3.7471771978021983e-07,7.362300991450124e-08
0.0,0.0,-3.7421909340659346e-07,7.484753790809484e-08
0.0,0.0,-3.737204670329671e-07,7.605416784965734e-08
0.0,0.0,-3.732218406593407e-07,7.724423657700155e-08
0.0,0.0,-3.7272321428571435e-07,7.841758623806151e-08
0.0,0.0,-3.7222458791208793e-07,7.957535426117238e-08
0.0,0.0,-3.7172596153846156e-07,8.071820795762543e-08
0.0,0.0,-3.712273351648352e-07,8.184623440143618e-08
0.0,0.0,-3.7072870879120883e-07,8.296002567148438e-08
0.0,0.0,-3.7023008241758246e-07,8.406017173407279e-08
0.0,0.0,-3.697314560439561e-07,8.514709161871553e-08
0.0,0.0,-3.692328296703297e-07,8.622115575887881e-08
0.0,0.0,-3.6873420329670335e-07,8.728256912641182e-08
0.0,0.0,-3.68235576923077e-07,8.833165140767555e-08
0.0,0.0,-3.677369505494506e-07,8.936881036294177e-08
0.0,0.0,-3.672383241758242e-07,9.039433536825548e-08
0.0,0.0,-3.667396978021978e-07,9.140849490779541e-08
0.0,0.0,-3.6624107142857146e-07,9.24115399158811e-08
0.0,0.0,-3.657424450549451e-07,9.340370600385915e-08
0.0,0.0,-3.652438186813187e-07,9.438521461441647e-08
0.0,0.0,-3.6474519230769235e-07,9.535627313522784e-08
0.0,0.0,-3.64246565934066e-07,9.631707399407296e-08
0.0,0.0,-3.637479395604396e-07,9.72677927479754e-08
0.0,0.0,-3.6324931318681325e-07,9.820847579983805e-08
0.0,0.0,-3.627506868131869e-07,9.913940272200133e-08
0.0,0.0,-3.622520604395605e-07,1.0006080325820024e-07
0.0,0.0,-3.617534340659341e-07,1.0097282124427342e-07
0.0,0.0,-3.612548076923077e-07,1.0187556992596683e-07
0.0,0.0,-3.6075618131868135e-07,1.0276912424646897e-07
0.0,0.0,-3.60257554945055e-07,1.0365335226842914e-07
0.0,0.0,-3.597589285714286e-07,1.045287742575366e-07
0.0,0.0,-3.5926030219780224e-07,1.0539548633323907e-07
0.0,0.0,-3.587616758241759e-07,1.0625345146564306e-07
0.0,0.0,-3.582630494505495e-07,1.0710244952293301e-07
0.0,0.0,-3.5776442307692314e-07,1.0794318455970847e-07
0.0,0.0,-3.5726579670329677e-07,1.087755199975073e-07
0.0,0.0,-3.5676717032967035e-07,1.095991193221008e-07
0.0,0.0,-3.56268543956044e-07,1.1041473518916439e-07
0.0,0.0,-3.557699175824176e-07,1.1122205827735465e-07
0.0,0.0,-3.5527129120879124e-07,1.1202105482933121e-07
0.0,0.0,-3.5477266483516487e-07,1.1281227918425331e-07
0.0,0.0,-3.542740384615385e-07,1.1359509757231146e-07
0.0,0.0,-3.5377541208791214e-07,1.1437032192855928e-07
0.0,0.0,-3.5327678571428577e-07,1.1513735041062918e-07
0.0,0.0,-3.527781593406594e-07,1.1589680384496984e-07
0.0,0.0,-3.5227953296703303e-07,1.1664824842598486e-07
0.0,0.0,-3.5178090659340666e-07,1.1739219909931467e-07
0.0,0.0,-3.5128228021978024e-07,1.1812822521281171e-07
0.0,0.0,-3.5078365384615387e-07,1.1885693994936417e-07
0.0,0.0,-3.502850274725275e-07,1.19577731175313e-07
0.0,0.0,-3.4978640109890113e-07,1.2029141227919862e-07
0.0,0.0,-3.4928777472527477e-07,1.209972163473975e-07
0.0,0.0,-3.487891483516484e-07,1.2169581863537986e-07
0.0,0.0,-3.4829052197802203e-07,1.2238707393879814e-07
0.0,0.0,-3.4779189560439566e-07,1.2307075841099e-07
0.0,0.0,-3.472932692307693e-07,1.237475334176125e-07
0.0,0.0,-3.467946428571429e-07,1.2441676499742575e-07
0.0,0.0,-3.462960164835165e-07,1.2507873577520897e-07
0.0,0.0,-3.4579739010989013e-07,1.257338618307192e-07
0.0,0.0,-3.4529876373626376e-07,1.2638169822116868e-07
0.0,0.0,-3.448001373626374e-07,1.2702230437889825e-07
0.0,0.0,-3.44301510989011e-07,1.2765601708309364e-07
0.0,0.0,-3.4380288461538466e-07,1.2828295626252342e-07
0.0,0.0,-3.433042582417583e-07,1.2890265907437831e-07
0.0,0.0,-3.428056318681319e-07,1.2951539401604212e-07
0.0,0.0,-3.4230700549450555e-07,1.301213392870982e-07
0.0,0.0,-3.418083791208792e-07,1.307206313133974e-07
0.0,0.0,-3.413097527472528e-07,1.313131036788729e-07
0.0,0.0,-3.408111263736264e-07,1.3189865856083358e-07
0.0,0.0,-3.403125e-07,1.3247746823594e-07
