delta_u_over_b,delta_u_m,G_minus_J,G_root_J,G_plus_J,symmetric_quotient_N,approach_side_force_N,separation_side_force_N,one_sided_jump_N,plus_mass_relative_error,minus_mass_relative_error,plus_partition_residual,minus_partition_residual,plus_f_min,plus_f_max,minus_f_min,minus_f_max,plus_U_L_m,plus_U_C_m,plus_U_R_m,minus_U_L_m,minus_U_C_m,minus_U_R_m,plus_q_L_m,plus_q_R_m,minus_q_L_m,minus_q_R_m,plus_ownership_plane_translation_m,minus_ownership_plane_translation_m
0.01,2.5000000000000003e-12,6.505371409245039e-13,6.505322384298324e-13,6.505318352796681e-13,1.061128967165731e-06,1.6126006572599398e-07,1.960997868605468e-06,-1.799737802879474e-06,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-2.5000000000000003e-12,0.0,0.0,2.5000000000000003e-12,0.0,2.5000000000000003e-12,0.0,-2.5000000000000003e-12,-1.2500000000000001e-12,1.2500000000000001e-12
0.005,1.2500000000000001e-12,6.50533020086623e-13,6.505322384298324e-13,6.505320340001088e-13,3.9443460567918193e-07,1.635437789191079e-07,6.253254324392559e-07,-4.61781653520148e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-1.2500000000000001e-12,0.0,0.0,1.2500000000000001e-12,0.0,1.2500000000000001e-12,0.0,-1.2500000000000001e-12,-6.250000000000001e-13,6.250000000000001e-13
0.0025,6.250000000000001e-13,6.5053221177431e-13,6.505322384298324e-13,6.50532135501281e-13,6.101842318922406e-08,1.6468568228691238e-07,-4.264883590846427e-08,2.0733451819537664e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-6.250000000000001e-13,0.0,0.0,6.250000000000001e-13,0.0,6.250000000000001e-13,0.0,-6.250000000000001e-13,-3.1250000000000003e-13,3.1250000000000003e-13
0.00125,3.1250000000000003e-13,6.505321207202821e-13,6.505322384298324e-13,6.505321867871304e-13,-1.0570695724127339e-07,1.6525664661278397e-07,-3.766705610953307e-07,5.419272077081146e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-3.1250000000000003e-13,0.0,0.0,3.1250000000000003e-13,0.0,3.1250000000000003e-13,0.0,-3.1250000000000003e-13,-1.5625000000000002e-13,1.5625000000000002e-13
0.000625,1.5625000000000002e-13,6.505321534782572e-13,6.505322384298324e-13,6.505322125638743e-13,-1.8907397464510154e-07,1.6554213216845271e-07,-5.436900814586557e-07,7.092322136271085e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-1.5625000000000002e-13,0.0,0.0,1.5625000000000002e-13,0.0,1.5625000000000002e-13,0.0,-1.5625000000000002e-13,-7.812500000000001e-14,7.812500000000001e-14
0.0003125,7.812500000000001e-14,6.505321894296757e-13,6.505322384298324e-13,6.505322254857016e-13,-2.3075856579039531e-07,1.656848751078458e-07,-6.272020066886364e-07,7.928868817964822e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-7.812500000000001e-14,0.0,0.0,7.812500000000001e-14,0.0,7.812500000000001e-14,0.0,-7.812500000000001e-14,-3.9062500000000004e-14,3.9062500000000004e-14
0.00015625,3.9062500000000004e-14,6.505322122986405e-13,6.505322384298324e-13,6.505322319549789e-13,-2.516011319738871e-07,1.6575624916248177e-07,-6.68958513110256e-07,8.347147622727377e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-3.9062500000000004e-14,0.0,0.0,3.9062500000000004e-14,0.0,3.9062500000000004e-14,0.0,-3.9062500000000004e-14,-1.9531250000000002e-14,1.9531250000000002e-14
7.8125e-05,1.9531250000000002e-14,6.505322249564555e-13,6.505322384298324e-13,6.505322351917087e-13,-2.6202248195094034e-07,1.657919342510952e-07,-6.898368981529759e-07,8.556288324040711e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-1.9531250000000002e-14,0.0,0.0,1.9531250000000002e-14,0.0,1.9531250000000002e-14,0.0,-1.9531250000000002e-14,-9.765625000000001e-15,9.765625000000001e-15
3.90625e-05,9.765625000000001e-15,6.505322315911983e-13,6.505322384298324e-13,6.505322368105963e-13,-2.6723317697274743e-07,1.6580978067281102e-07,-7.002761346183059e-07,8.66085915291117e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-9.765625000000001e-15,0.0,0.0,9.765625000000001e-15,0.0,9.765625000000001e-15,0.0,-9.765625000000001e-15,-4.8828125000000005e-15,4.8828125000000005e-15
1.953125e-05,4.8828125000000005e-15,6.505322349850289e-13,6.505322384298324e-13,6.505322376201707e-13,-2.698385270685904e-07,1.658187142234266e-07,-7.054957683606074e-07,8.71314482584034e-07,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,-2.185127487078321e-36,1.0,-2.185127487078321e-36,1.0,0.0,0.0,-4.8828125000000005e-15,0.0,0.0,4.8828125000000005e-15,0.0,4.8828125000000005e-15,0.0,-4.8828125000000005e-15,-2.4414062500000002e-15,2.4414062500000002e-15
