design_id,stage,rTJ_nm,kappa_negative_per_um,kappa_positive_per_um,theta_negative_deg,theta_positive_deg,curvature_term_MPa,TJ_term_MPa,total_MPa
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,sharp_analytic,74.25000000000001,-0.0,-0.0,160.0,160.0,0.0,39.790212242917484,39.790212242917484
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,mapped_before_cleanup,74.29413092209253,-3.5273060557839098,-25.94988739677759,161.2010490004268,166.07533607945496,14.73859672628075,39.96008210857089,54.698678834851734
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,mapped_after_cleanup,74.30218682123945,-3.6510088713207964,-26.081446751029535,161.3003001908024,166.17490024883628,14.866227811175165,39.96071640850229,54.82694421967757
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,qualified_source,74.3557219218542,-10.224468115295753,-26.37174171416099,166.13522716040367,164.99686750955695,18.298104914728373,40.02645360036251,58.324558515090736
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,sharp_analytic,61.875000000000014,10.0,10.0,160.0,160.0,-10.0,47.74825469150098,37.74825469150098
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,mapped_before_cleanup,61.91881195305163,2.742902805663593,6.845734294479699,162.14829468225105,161.10509026347415,-4.794318550071646,47.828594694400046,43.03427614432843
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,mapped_after_cleanup,61.926843091514954,2.6222524830608074,6.727307041687994,162.24706694475017,161.20368686751053,-4.674779762374401,47.82903451104631,43.154254748672116
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,sharp_analytic,60.75000000000002,10.0,10.0,160.0,160.0,-10.0,48.632481630232476,38.632481630232476
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,mapped_before_cleanup,60.793724369389004,3.169386501538192,6.870147621441475,162.04758726991503,161.09599213343765,-5.019767061489834,48.710045823386224,43.69027876189641
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,mapped_after_cleanup,60.801807347391644,3.047432882537969,6.750248543955841,162.14743306109355,161.19566678447467,-4.898840713246906,48.7104297226591,43.811589009412145
Ro150_q0.45_L30W_r0.75_th160_kc+0_ko+0,sharp_analytic,50.62500000000002,-1.111896901513992e-16,-1.111896901513992e-16,160.0,160.0,1.111896901513992e-16,58.35897795627897,58.35897795627897
Ro150_q0.45_L30W_r0.75_th160_kc+0_ko+0,mapped_before_cleanup,50.668673188004085,-6.324879110398108,-5.90115659004733,161.8741991521402,161.59178727481145,6.11301785022272,58.45744584343653,64.57046369365926
Ro150_q0.45_L30W_r0.75_th160_kc+0_ko+0,mapped_after_cleanup,50.67673449885074,-6.449569035389388,-6.02549414674591,161.9730812769896,161.69054207314542,6.237531591067649,58.456228537306345,64.69376012837404
Ro120_q0.55_L30W_r0.75_th160_kc-10_ko-10,sharp_analytic,49.500000000000014,-10.0,-10.0,160.0,160.0,10.0,59.68531836437622,69.68531836437622
Ro120_q0.55_L30W_r0.75_th160_kc-10_ko-10,mapped_before_cleanup,49.54423730106844,-13.59547647377304,-8.220608352771173,161.15168967886348,159.7946799278363,10.908042413272105,59.673890318795706,70.5819327320678
Ro120_q0.55_L30W_r0.75_th160_kc-10_ko-10,mapped_after_cleanup,49.552276961444704,-13.722106035365547,-8.34462311779843,161.2499093083783,159.8926420344238,11.033364576581988,59.67297442957933,70.70633900616133
