design_id,grid_nz,grid_nr,sigma_sharp_MPa,sigma_mapped_MPa,sigma_after_cleanup_MPa,sigma_max_MPa,delta_sigma_PF_MPa,t_sigma_max_s,end_time_s,center_volume_change_at_max,rTJ_change_at_max,curvature_term_change_at_max_MPa,TJ_term_change_at_max_MPa,delta_ln_Gamma_sites,delta_ln_Gamma_barrier,delta_ln_Gamma,survival_to_max,accepted_steps,rejected_steps,wall_s,topology_healthy,mass_error,reused_completed_pre_root_trajectory,screen_window_censored_at_end
Ro180_q0.55_L35W_r0.75_th160_kc+0_ko+0,1884,469,39.790212242917484,54.698678834851734,54.82694421967757,59.6041791884032,4.7772349687256295,1.01,10.540964660644528,0.0025739561167807956,0.004755616983744826,5.219738274680758,-0.4425033059541903,0.004744344760753144,0.09773962540374001,0.10248397016449315,0.8374143216010714,61,9,10.030238791019656,True,7.771561172376096e-16,True,
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1728,409,37.74825469150098,43.03427614432843,43.154254748672116,48.126164291270115,4.971909542597999,0.05,0.05,-0.00025690666547062424,-9.434497708948886e-05,4.770355314226749,0.2015542283712506,-9.434942785678043e-05,0.11725493844180271,0.11716058901394592,0.9943129332550105,64,9,392.98180625005625,True,4.440892098500626e-16,,True
Ro180_q0.45_L45W_r0.75_th160_kc+10_ko+10,1966,483,38.632481630232476,43.69027876189641,43.811589009412145,48.769074656920964,4.957485647508818,0.05,0.05,-0.00024586434786322275,-3.31865014215893e-05,4.751220698090498,0.2062649494183404,-3.318705210571116e-05,0.11588638434882488,0.11585319729671917,0.994331026483948,64,9,489.83659474994056,True,3.3306690738754696e-16,,True
Ro150_q0.45_L30W_r0.75_th160_kc+0_ko+0,1610,411,58.35897795627897,64.57046369365926,64.69376012837404,69.64257608979393,4.948815961419896,0.05,0.05,-0.00015365449244708618,0.0009575524584333195,4.786093578871656,0.16272238254813232,0.0009570942975300667,0.09142560566971741,0.09238269996724748,0.9927912363469947,64,9,364.6709843749413,True,4.440892098500626e-16,,True
Ro120_q0.55_L30W_r0.75_th160_kc-10_ko-10,1360,337,69.68531836437622,70.5819327320678,70.70633900616133,75.52478072088707,4.818441714725736,0.001449806064581717,0.05,-1.561192843280157e-05,0.0025008978071838772,4.655013479091597,0.16342823563408615,0.0024977757664493973,0.08429662325692303,0.08679439902337242,0.999772810867255,66,9,287.4951237089699,True,3.3306690738754696e-16,,False
