design_id,time_s,energy_J,surface_area_m2,GB_area_m2,center_volume_m3,total_volume_m3,f_min,f_max,mirror_error,topology_stop,LEFT_sigma_MPa,LEFT_curvature_term_MPa,LEFT_TJ_term_MPa,LEFT_rTJ_nm,LEFT_kappa_negative_per_um,LEFT_kappa_positive_per_um,LEFT_theta_negative_deg,LEFT_theta_positive_deg,LEFT_root_rate_per_s,LEFT_G_root_eV,LEFT_gb_position_nm,LEFT_neck_radius_nm,RIGHT_sigma_MPa,RIGHT_curvature_term_MPa,RIGHT_TJ_term_MPa,RIGHT_rTJ_nm,RIGHT_kappa_negative_per_um,RIGHT_kappa_positive_per_um,RIGHT_theta_negative_deg,RIGHT_theta_positive_deg,RIGHT_root_rate_per_s,RIGHT_G_root_eV,RIGHT_gb_position_nm,RIGHT_neck_radius_nm,mean_sigma_MPa,delta_ln_Gamma_sites,delta_ln_Gamma_barrier,delta_ln_Gamma_total,LEFT_integrated_hazard,RIGHT_integrated_hazard,survival_probability
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,0.0,6.518382448736418e-13,6.43503026911205e-13,2.4095600304835272e-14,2.3596033772512878e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,2.2926105458509483e-14,False,43.15425474867192,-4.674779762374401,47.82903451104631,61.926843091514954,2.6222524830608074,6.727307041687994,162.24706694475017,161.20368686751053,0.0639273021779258,5.950585164180481,-90.75000000000001,61.926843091514954,43.15425474867232,-4.674779762374015,47.82903451104632,61.926843091514954,6.7273070416879355,2.6222524830600933,161.20368686751056,162.2470669447508,0.06392730217792651,5.950585164180479,90.75000000000001,61.926843091514954,43.154254748672116,0.0,0.0,0.0,0.0,0.0,1.0
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,6.31560511086849e-08,6.518378899161005e-13,6.43502399390941e-13,2.4098047681355952e-14,2.359603376390109e-21,3.067866944179008e-20,-2.185127487078322e-36,1.0,2.2426505097428162e-14,False,43.2039652896164,-4.6253588697810315,47.82932415939743,61.92998794890878,2.5723307051521678,6.678387034409894,162.2876839292935,161.24415387378798,0.06400813719089729,5.9503938771784695,-90.75000000000001,61.92998794890878,43.20396528961651,-4.625358869780921,47.82932415939744,61.92998794890878,6.678387034409788,2.572330705152054,161.24415387378806,162.2876839292936,0.06400813719089775,5.950393877178469,90.75000000000001,61.92998794890878,43.203965289616455,5.078213883061652e-05,0.0012129024840914525,0.0012636846229220691,4.0399485736947246e-09,4.039948573694762e-09,0.9999999935360823
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1.2642046946325529e-07,6.51837632088237e-13,6.435019071450611e-13,2.409998823805505e-14,2.3596033755275466e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,2.19824158875781e-14,False,43.24458166416199,-4.585023718946967,47.82960538310896,61.93248143375976,2.531594968957429,6.638452468936506,162.32071934753588,161.27707831201175,0.06407413990351228,5.950237686142238,-90.75000000000001,61.93248143375976,43.24458166416213,-4.585023718946827,47.829605383108955,61.932481433759776,6.638452468936397,2.5315949689572568,161.27707831201184,162.32071934753597,0.0640741399035123,5.950237686142238,90.75000000000001,61.932481433759776,43.24458166416206,9.10442919063862e-05,0.002203270328456648,0.0022943146203630344,8.091473954648092e-09,8.091473954648145e-09,0.9999999870536418
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,2.0497389989494835e-07,6.518373910491341e-13,6.435014162323777e-13,2.410193022732542e-14,2.3596033744562304e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,2.1538326677728037e-14,False,43.28649732673578,-4.543444422273812,47.82994174900959,61.934976658870305,2.4896079256510535,6.597280918896573,162.35465937337997,161.31091031275514,0.06414220559320671,5.950076594186882,-90.75000000000001,61.934976658870305,43.28649732673588,-4.543444422273712,47.82994174900959,61.934976658870305,6.597280918896498,2.489607925650927,161.3109103127552,162.3546593733801,0.06414220559320694,5.950076594186881,90.75000000000001,61.934976658870305,43.28649732673583,0.00013133292217789135,0.0032247136610580106,0.003356046583235902,1.3127390842739312e-08,1.3127390842739373e-08,0.9999999789961749
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,3.0231523636378043e-07,6.518371654831524e-13,6.435009311774392e-13,2.4103867140157893e-14,2.35960337312821e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,2.0872192862952943e-14,False,43.329748374343,-4.500591639367404,47.830340013710405,61.93746526123293,2.446338790746955,6.554844487987853,162.38951480705575,161.3456583826117,0.0642123848386569,5.949910471579543,-90.75000000000001,61.93746526123293,43.32974837434311,-4.500591639367303,47.83034001371041,61.93746526123293,6.554844487987722,2.4463387907468843,161.34565838261184,162.38951480705578,0.06421238483865736,5.949910471579542,90.75000000000001,61.93746526123293,43.329748374343055,0.00017151300298340756,0.004278055085132785,0.004449568088116192,1.9374494530012898e-08,1.937449453001299e-08,0.9999999690008092
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,4.2331288685057385e-07,6.518369531604137e-13,6.435004536535344e-13,2.4105805808809224e-14,2.3596033714769545e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,2.042810365310288e-14,False,43.37467034795515,-4.4561393944202665,47.830809742375415,61.93995601940086,2.401457870632441,6.5108209182080925,162.42553792834966,161.38157277233347,0.06428521452727598,5.949738040155144,-90.75000000000001,61.93995601940086,43.37467034795464,-4.456139394420755,47.830809742375386,61.93995601940085,6.510820918208217,2.4014578706332923,161.38157277233336,162.42553792834892,0.06428521452727529,5.949738040155146,90.75000000000001,61.93995601940085,43.3746703479549,0.00021172627417526252,0.0053713991220405224,0.0055831253962157846,2.7148448338248476e-08,2.714844833824855e-08,0.9999999565624836
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,5.739564776301444e-07,6.518367525909654e-13,6.43499985803493e-13,2.410775115528808e-14,2.3596033694207493e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.9872992140790302e-14,False,43.42158388575531,-4.409777435692848,47.83136132144816,61.942455256418825,2.354651805851664,6.464903065534034,162.4629666390449,161.41889009809879,0.06436120685872154,5.949558082581982,-90.75000000000001,61.942455256418825,43.421583885755744,-4.409777435692436,47.83136132144818,61.942455256418825,6.46490306553325,2.3546518058516224,161.41889009809938,162.46296663904496,0.06436120685872222,5.94955808258198,90.75000000000001,61.942455256418825,43.421583885755524,0.00025207481102688055,0.006512464564158459,0.006764539375185339,3.683832776751267e-08,3.6838327767512743e-08,0.9999999410586773
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,7.615599947295789e-07,6.518365627464177e-13,6.434995302868131e-13,2.4109705959957553e-14,2.3596033668599256e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.9206858326015208e-14,False,43.47078802178297,-4.361217820964956,47.832005842747925,61.94496654304831,2.3056300965055914,6.416805545424323,162.5020193866275,161.45782805874182,0.06444083856838183,5.949369468161347,-90.75000000000001,61.94496654304831,43.47078802178304,-4.361217820964892,47.83200584274793,61.94496654304831,6.416805545424355,2.305630096505429,161.4578280587418,162.5020193866276,0.06444083856838183,5.949369468161347,90.75000000000001,61.94496654304831,43.47078802178301,0.00029261624119541053,0.007708420885898758,0.008001037127094168,4.892018613337554e-08,4.892018613337568e-08,0.9999999217277052
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,9.950804860571622e-07,6.518363827902223e-13,6.434990899551607e-13,2.4111671779018613e-14,2.3596033636725033e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.865174681370263e-14,False,43.522579298033726,-4.310175917322672,47.8327552153564,61.94749187691271,2.2541059163116937,6.366245918333649,162.54291066778183,161.4986008679757,0.06452458209809847,5.949171079697297,-90.75000000000001,61.94749187691271,43.52257929803371,-4.310175917322687,47.8327552153564,61.94749187691271,6.366245918333682,2.2541059163116937,161.49860086797568,162.54291066778183,0.06452458209809847,5.949171079697297,90.75000000000001,61.94749187691271,43.52257929803372,0.0003333827881983588,0.008966351944101161,0.00929973473229952,6.397822033252802e-08,6.397822033252816e-08,0.9999998976348528
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1.2855092860813194e-06,6.518362119320846e-13,6.434986671054468e-13,2.4113649573577205e-14,2.359603359708845e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.8207657603852567e-14,False,43.577265861735754,-4.256356409468083,47.833622271203836,61.950032490875955,2.1997819754046044,6.31293084353156,162.58586229937836,161.54143047469347,0.06461292863396603,5.948961759898648,-90.75000000000001,61.950032490875955,43.577265861735846,-4.256356409467993,47.833622271203836,61.950032490875955,6.31293084353156,2.1997819754044254,161.54143047469347,162.5858622993786,0.06461292863396603,5.948961759898648,90.75000000000001,61.950032490875955,43.577265861735796,0.0003743943253791176,0.010293595829372622,0.01066799015475174,8.273084647253813e-08,8.273084647253827e-08,0.9999998676306544
