particle_window,contact,side,lo_widths,hi_widths,cells,mean_total_curvature_per_m,std_total_curvature_per_m,relative_std
left,0,-1,3,5,16,10937519.999472715,1026226.1236202689,0.09382621688186554
left,0,-1,5,8,24,7898797.377983791,1130111.4630361916,0.14307386415381862
left,0,-1,8,12,32,4719726.656845653,748459.1807722205,0.15858104402860485
center_from_left,0,1,3,5,16,18392206.549304184,441378.054031275,0.023998102285773495
center_from_left,0,1,5,8,24,18663514.89715335,203985.9440002802,0.010929663845441735
center_from_left,0,1,8,12,32,18017720.164965753,331033.80477714527,0.0183726798810439
center_from_right,1,-1,3,5,16,18392206.414026357,441378.04368426313,0.023998101899707757
center_from_right,1,-1,5,8,24,18663514.895073935,203985.951240147,0.01092966423457498
center_from_right,1,-1,8,12,32,18017720.24131616,331033.82423191157,0.01837268088294672
right,1,1,3,5,16,10937520.514473408,1026226.2093969701,0.09382622030641999
right,1,1,5,8,24,7898797.314348415,1130111.6371544867,0.14307388735011636
right,1,1,8,12,32,4719726.466448868,748459.1003285914,0.15858103338173613
