support,delta_u_over_b,delta_u_m,finite_difference_force_N,exact_directional_force_N,finite_difference_relative_error,F_f_N,F_phi_N,F_swept_N,F_deposit_N,swept_volume_rate_m2,mu_source_Pa,mu_swept_contact_Pa,delta_mu_swept_minus_source_Pa,F_deposit_identity_error_N,F_f_identity_error_N,mass_relative_error,partition_residual
TJ_Gaussian_1W,0.00015625,3.9062500000000004e-14,1.6575624916248177e-07,1.6582761934140657e-07,-0.0004303877677810755,2.02057828597914e-07,-3.6230209256507416e-08,3.7280089204185704e-07,-1.7074306344394304e-07,1.155162329198229e-14,14780871.841834713,32272597.76559796,17491725.92376325,0.0,0.0,0.0,2.220446049250313e-16
TJ_Gaussian_2W,0.00015625,3.9062500000000004e-14,1.6555720107276796e-07,1.6557255439869327e-07,-9.272868913007226e-05,2.0180276365521234e-07,-3.623020925651908e-08,3.7280089204185704e-07,-1.709981283866447e-07,1.155162329198229e-14,14802952.283367002,32272597.76559796,17469645.48223096,0.0,-2.6469779601696886e-23,0.0,2.220446049250313e-16
TJ_Gaussian_3W,0.00015625,3.9062500000000004e-14,1.6740930240824423e-07,1.6741709237531997e-07,-4.653029726662934e-05,2.0364730163191708e-07,-3.62302092565971e-08,3.7280089204185704e-07,-1.6915359040993997e-07,1.155162329198229e-14,14643274.467524013,32272597.76559796,17629323.298073947,0.0,0.0,0.0,2.220446049250313e-16
distributed_nearby_free_surface,0.00015625,3.9062500000000004e-14,1.7834193401438621e-07,1.783446185383467e-07,-1.5052452843803364e-05,2.14574827794787e-07,-3.62302092564403e-08,3.7280089204185704e-07,-1.5822606424707003e-07,1.155162329198229e-14,13697301.25781465,32272597.76559796,18575296.507783312,0.0,0.0,0.0,2.220446049250313e-16
chemical_low_mu_nearby_free_surface,0.00015625,3.9062500000000004e-14,1.7931445284550422e-07,1.7931717585187225e-07,-1.5185418547267255e-05,2.1554738510833052e-07,-3.6230209256458274e-08,3.7280089204185704e-07,-1.5725350693352652e-07,1.155162329198229e-14,13613108.994185472,32272597.76559796,18659488.77141249,0.0,-2.6469779601696886e-23,0.0,2.220446049250313e-16
