span_widths,z_left_m,z_right_m,left_resultant_N,right_resultant_N,surface_difference_N,bulk_residual_integral_N,balance_error_N,relative_balance_error
2,8.252266483516484e-08,9.897733516483518e-08,3.838499085845199e-07,3.816000295346071e-07,-2.2498790499127877e-09,-2.2928306556273958e-09,4.295160571460811e-11,0.01873300394391975
3,7.853365384615385e-08,1.0296634615384617e-07,3.8727557573272617e-07,3.8617314014086214e-07,-1.102435591864029e-09,-1.1490185894694639e-09,4.6582997605434946e-11,0.04054155261921716
5,7.055563186813187e-08,1.1094436813186814e-07,3.9355706092207976e-07,3.949181369146346e-07,1.3610759925548376e-09,1.304609388428921e-09,5.646660412591658e-11,0.04148673875286324
8,5.858859890109891e-08,1.229114010989011e-07,4.0065468400099217e-07,4.070765236851561e-07,6.4218396841639445e-09,6.335571117514069e-09,8.62685666498755e-11,0.01343362196702155
12,4.263255494505495e-08,1.3886744505494506e-07,4.0539586238107905e-07,4.217678775182303e-07,1.637201513715124e-08,1.6206967265926513e-08,1.6504787122472794e-10,0.010081096910923487
