z_m,distance_from_right_GB_over_W,resultant_N,bulk_force_per_length_N_per_m
-4.1759958791208795e-07,-127.08739697802199,4.378773293225699e-21,6.24762377061177e-11
-4.171009615384616e-07,-126.9627403846154,7.658789177779301e-21,1.0302543919420463e-10
-4.166023351648352e-07,-126.8380837912088,1.3177666024011492e-20,1.6926807199783454e-10
-4.1610370879120885e-07,-126.71342719780222,2.249988926032365e-20,2.7888946727991636e-10
-4.156050824175825e-07,-126.58877060439562,3.838140325826813e-20,4.592983034187987e-10
-4.151064560439561e-07,-126.46411401098904,6.517405364555432e-20,7.556824106536485e-10
-4.1460782967032974e-07,-126.33945741758244,1.108557100440468e-19,1.246085861827481e-09
-4.141092032967033e-07,-126.21480082417582,1.8852997109059225e-19,2.0514769111024863e-09
-4.1361057692307695e-07,-126.09014423076923,3.2146126741946033e-19,3.384628959029715e-09
-4.131119505494506e-07,-125.96548763736264,5.491602691627255e-19,5.5789532707728385e-09
-4.126133241758242e-07,-125.84083104395604,9.421997426600337e-19,9.215304431955565e-09
-4.1211469780219785e-07,-125.71617445054945,1.6153206578541527e-18,1.5186397012141018e-08
-4.116160714285715e-07,-125.59151785714286,2.7420453855854954e-18,2.4963719704985625e-08
-4.111174450549451e-07,-125.46686126373626,4.62449520824315e-18,4.1085809644699147e-08
-4.1061881868131874e-07,-125.34220467032968,7.777722836839185e-18,6.760419562244561e-08
-4.1012019230769237e-07,-125.21754807692308,1.3090205652531881e-17,1.113800284939005e-07
-4.09621565934066e-07,-125.0928914835165,2.2079090693922207e-17,1.8352586424230651e-07
-4.0912293956043963e-07,-124.9682348901099,3.7365574435066e-17,3.027153256749278e-07
-4.086243131868132e-07,-124.8435782967033,6.321653815956236e-17,4.984854263137019e-07
-4.0812568681318684e-07,-124.71892170329672,1.0668898308969557e-16,8.207572227196117e-07
-4.076270604395605e-07,-124.59426510989012,1.8080958434973007e-16,1.3555188737834042e-06
-4.071284340659341e-07,-124.46960851648353,3.0746439652281755e-16,2.2359026253717943e-06
-4.0662980769230774e-07,-124.34495192307693,5.235843451786657e-16,3.690042741082653e-06
-4.0613118131868137e-07,-124.22029532967035,8.853992123282471e-16,6.060295955867402e-06
-4.05632554945055e-07,-124.09563873626375,1.488724568869363e-15,9.970565118947681e-06
-4.0513392857142863e-07,-123.97098214285717,2.4898729810127253e-15,1.63610001207398e-05
-4.0463530219780226e-07,-123.84632554945057,4.42416630840949e-15,2.796934549412565e-05
-4.041366758241759e-07,-123.72166895604397,7.560823092565221e-15,4.45162188706714e-05
-4.036380494505495e-07,-123.59701236263736,7.661078205005598e-15,5.3984702364673166e-05
-4.031394230769231e-07,-123.47235576923076,1.510303039147027e-14,0.0001363516524069036
-4.0264079670329674e-07,-123.34769917582418,8.162489852268028e-14,0.00039196777797432776
-4.0214217032967037e-07,-123.22304258241758,2.1768224404924493e-13,0.000579588225894713
-4.01643543956044e-07,-123.09838598901099,3.240393460831115e-13,0.0005389335390861491
-4.0114491758241763e-07,-122.9737293956044,4.5323259439570995e-13,0.0011002942714210936
-4.0064629120879126e-07,-122.84907280219781,1.3579228423668455e-12,0.0043192783509147
-4.001476648351649e-07,-122.72441620879121,4.918646638962076e-12,0.012763394851854864
-3.996490384615385e-07,-122.59975961538463,1.4159025070015855e-11,0.028634429171104196
-3.9915041208791216e-07,-122.47510302197803,3.2957784175529143e-11,0.053472435906780025
-3.986517857142858e-07,-122.35044642857143,6.574155908036013e-11,0.0883790724918251
-3.9815315934065937e-07,-122.22578983516485,1.1731538230894994e-10,0.13437320240863104
-3.97654532967033e-07,-122.10113324175825,1.9283930311926801e-10,0.1926878743265245
-3.9715590659340663e-07,-121.97647664835166,2.979239990954995e-10,0.26502393840929084
-3.9665728021978026e-07,-121.85182005494507,4.3885194304774774e-10,0.35382238486723955
-3.961586538461539e-07,-121.72716346153848,6.22973802537302e-10,0.46257613379518603
-3.956600274725275e-07,-121.60250686813188,8.593636339944271e-10,0.5961503795361918
-3.9516140109890115e-07,-121.47785027472528,1.1598442817737487e-09,0.7610449968744462
-3.946627747252748e-07,-121.3531936813187,1.5405085830922273e-09,0.965508044919353
-3.941641483516484e-07,-121.2285370879121,2.0238161339645767e-09,1.2193859218955052
-3.9366552197802205e-07,-121.10388049450552,2.6411394192113608e-09,1.533574657489668
-3.9316689560439563e-07,-120.97922390109889,3.435143314502711e-09,1.9189376532396336
-3.9266826923076926e-07,-120.8545673076923,4.460597462998608e-09,2.384614063523606
-3.921696428571429e-07,-120.72991071428571,5.781507678072986e-09,2.935797580429624
-3.916710164835165e-07,-120.60525412087912,7.462735301897984e-09,3.571325884262831
-3.9117239010989015e-07,-120.48059752747253,9.556584086524558e-09,4.281718725899323
-3.906737637362638e-07,-120.35594093406594,1.208886915089005e-08,5.0484722936369915
-3.901751373626374e-07,-120.23128434065934,1.5051843826276915e-08,5.845257786706373
-3.8967651098901105e-07,-120.10662774725274,1.8409174210196188e-08,6.64110582363856
-3.891778846153847e-07,-119.98197115384616,2.2110813747037494e-08,7.404881038876249
-3.886792582417583e-07,-119.85731456043956,2.610897734709341e-08,8.109783186943522
-3.8818063186813194e-07,-119.73265796703298,3.036671926612662e-08,8.736607246957622
-3.876820054945055e-07,-119.60800137362638,3.485719848742869e-08,9.275054034889873
-3.8718337912087915e-07,-119.4833447802198,3.9557953478488016e-08,9.723150700832473
-3.866847527472528e-07,-119.3586881868132,4.44456930052795e-08,10.085403243261657
-3.861861263736264e-07,-119.23403159340661,4.9494328404442647e-08,10.370468301516592
-3.8568750000000004e-07,-119.10937500000001,5.4675888516263164e-08,10.588972977182078
-3.851888736263737e-07,-118.98471840659342,5.99626499438164e-08,10.75182347771703
-3.846902472527473e-07,-118.86006181318683,6.53290702616285e-08,10.869087608141486
-3.8419162087912094e-07,-118.73540521978023,7.075289525190404e-08,10.949381941891215
-3.8369299450549457e-07,-118.61074862637365,7.621542566909859e-08,10.999639430136714
-3.831943681318682e-07,-118.48609203296705,8.170120643546962e-08,11.025144993978612
-3.826957417582418e-07,-118.36143543956044,8.71974450428778e-08,11.029771269582499
-3.821971153846154e-07,-118.23677884615384,9.269341588293414e-08,11.016392746091212
-3.8169848901098904e-07,-118.11212225274726,9.818004195414999e-08,10.987464446812549
-3.811998626373627e-07,-117.98746565934066,1.0364977083045065e-07,10.945670914705337
-3.807012362637363e-07,-117.86280906593407,1.0909673917363389e-07,10.894380769921076
-3.8020260989010994e-07,-117.73815247252747,1.1451704193956289e-07,10.837556335542352
-3.7970398351648357e-07,-117.61349587912088,1.1990880731543902e-07,10.779061626018573
-3.792053571428572e-07,-117.48883928571429,1.2527189530731187e-07,10.721843752914978
-3.7870673076923083e-07,-117.3641826923077,1.3060730839453027e-07,10.667508028461723
-3.7820810439560446e-07,-117.23952609890111,1.3591654885191777e-07,10.616426590193033
-3.7770947802197804e-07,-117.11486950549451,1.4120116978904748e-07,10.568404107153404
-3.7721085164835167e-07,-116.99021291208793,1.4646266027078877e-07,10.523360411396126
-3.767122252747253e-07,-116.86555631868133,1.5170249686098683e-07,10.48131258036488
-3.7621359890109894e-07,-116.74089972527474,1.569221499149379e-07,10.442211677999627
-3.7571497252747257e-07,-116.61624313186815,1.6212306499045894e-07,10.40600232697543
-3.752163461538462e-07,-116.49158653846155,1.6730666245147994e-07,10.372635547188441
-3.7471771978021983e-07,-116.36692994505496,1.7247433864383464e-07,10.342061712147949
-3.7421909340659346e-07,-116.24227335164836,1.7762746586177693e-07,10.314232338034927
-3.737204670329671e-07,-116.11761675824178,1.8276739293919464e-07,10.289100573425621
-3.732218406593407e-07,-115.99296016483518,1.878954458925855e-07,10.266620785410195
-3.7272321428571435e-07,-115.8683035714286,1.9301292844324428e-07,10.246748400254383
-3.7222458791208793e-07,-115.74364697802197,1.9812112249092804e-07,10.229439812784396
-3.7172596153846156e-07,-115.61899038461539,2.0322128853034507e-07,10.214652212947001
-3.712273351648352e-07,-115.49433379120879,2.0831466598745452e-07,10.202343414564211
-3.7072870879120883e-07,-115.36967719780219,2.1340247349003086e-07,10.19247174692917
-3.7023008241758246e-07,-115.2450206043956,2.184859090635907e-07,10.184995853498073
-3.697314560439561e-07,-115.12036401098901,2.2356615024137378e-07,10.179874539924871
-3.692328296703297e-07,-114.99570741758242,2.2864435410563838e-07,10.177066644170024
-3.6873420329670335e-07,-114.87105082417582,2.337216572531021e-07,10.176530857112851
-3.68235576923077e-07,-114.74639423076924,2.3879917567729985e-07,10.17822556405158
-3.677369505494506e-07,-114.62173763736264,2.43878004586121e-07,10.18210873906544
-3.672383241758242e-07,-114.49708104395606,2.489592181504476e-07,10.188137770975128
-3.667396978021978e-07,-114.37242445054946,2.540438691777652e-07,10.196269332934351
-3.6624107142857146e-07,-114.24776785714286,2.591329887231195e-07,10.206459258350334
-3.657424450549451e-07,-114.12311126373628,2.6422758563883146e-07,10.21866241643751
-3.652438186813187e-07,-113.99845467032968,2.6932864606117807e-07,10.232832581048646
-3.6474519230769235e-07,-113.8737980769231,2.744371328412465e-07,10.24892233522243
-3.64246565934066e-07,-113.7491414835165,2.7955398492283063e-07,10.266882951835122
-3.637479395604396e-07,-113.62448489010991,2.846801166698274e-07,10.286664307997043
-3.6324931318681325e-07,-113.49982829670331,2.89816417150122e-07,10.3082147940032
-3.627506868131869e-07,-113.37517170329673,2.9496374937489317e-07,10.331481223561337
-3.622520604395605e-07,-113.25051510989013,3.001229495059974e-07,10.35640879360118
-3.617534340659341e-07,-113.12585851648352,3.0529482602858285e-07,10.382940983432892
-3.612548076923077e-07,-113.00120192307692,3.104801588966507e-07,10.41101954535582
-3.6075618131868135e-07,-112.87654532967032,3.1567969865808154e-07,10.440584430503865
-3.60257554945055e-07,-112.75188873626374,3.208941655626526e-07,10.47157379334418
-3.597589285714286e-07,-112.62723214285714,3.261242486612961e-07,10.503923951169002
-3.5926030219780224e-07,-112.50257554945055,3.3137060489581924e-07,10.537569385346972
-3.587616758241759e-07,-112.37791895604396,3.3663385819096785e-07,10.572442748730126
-3.582630494505495e-07,-112.25326236263737,3.419145985532081e-07,10.60847488464698
-3.5776442307692314e-07,-112.12860576923077,3.472133811768798e-07,10.645594837039233
-3.5726579670329677e-07,-112.00394917582419,3.525307255708766e-07,10.683729922297296
-3.5676717032967035e-07,-111.87929258241759,3.578671147042565e-07,10.722805733371782
-3.56268543956044e-07,-111.75463598901099,3.6322299417939565e-07,10.762746245930593
-3.557699175824176e-07,-111.62997939560441,3.685987714402079e-07,10.80347385318084
-3.5527129120879124e-07,-111.50532280219781,3.739948150129388e-07,10.844909461843972
-3.5477266483516487e-07,-111.38066620879123,3.7941145379004553e-07,10.886972569413308
-3.542740384615385e-07,-111.25600961538463,3.848489763623919e-07,10.929581381149653
-3.5377541208791214e-07,-111.13135302197804,3.903076304001827e-07,10.972652889243882
-3.5327678571428577e-07,-111.00669642857144,3.9578762208657177e-07,11.016103005528022
-3.527781593406594e-07,-110.88203983516485,4.0128911561175285e-07,11.059846672216114
-3.5227953296703303e-07,-110.75738324175826,4.0681223272453274e-07,11.10379798256276
-3.5178090659340666e-07,-110.63272664835166,4.123570523502852e-07,11.147870327340234
-3.5128228021978024e-07,-110.50807005494505,4.179236102741124e-07,11.19197651098661
-3.5078365384615387e-07,-110.38341346153845,4.235118988909006e-07,11.236028904777033
-3.502850274725275e-07,-110.25875686813187,4.2912186702640675e-07,11.279939579632796
-3.4978640109890113e-07,-110.13410027472527,4.347534198315612e-07,11.323620468147801
-3.4928777472527477e-07,-110.00944368131869,4.404064187437823e-07,11.366983472580491
-3.487891483516484e-07,-109.88478708791209,4.460806815244997e-07,11.40994066355753
-3.4829052197802203e-07,-109.7601304945055,4.517759823720506e-07,11.45240438512302
-3.4779189560439566e-07,-109.6354739010989,4.574920521003682e-07,11.494287414673519
-3.472932692307693e-07,-109.5108173076923,4.632285783959256e-07,11.535503118155406
-3.467946428571429e-07,-109.38616071428572,4.6898520614482516e-07,11.57596557752636
-3.462960164835165e-07,-109.26150412087912,4.7476153782839485e-07,11.61558973926912
-3.4579739010989013e-07,-109.13684752747254,4.8055713398824e-07,11.654291545706839
-3.4529876373626376e-07,-109.01219093406594,4.863715137590003e-07,11.69198807646273
-3.448001373626374e-07,-108.88753434065936,4.92204155465632e-07,11.728597667067403
-3.44301510989011e-07,-108.76287774725276,4.980544972827053e-07,11.764040040226378
-3.4380288461538466e-07,-108.63822115384617,5.039219379559609e-07,11.798236425477324
-3.433042582417583e-07,-108.51356456043958,5.098058375785293e-07,11.831109659978958
-3.428056318681319e-07,-108.38890796703298,5.157055184218614e-07,11.862584308217334
-3.4230700549450555e-07,-108.2642513736264,5.216202658222863e-07,11.892586766539441
-3.418083791208792e-07,-108.1395947802198,5.275493291114714e-07,11.921045335894146
-3.413097527472528e-07,-108.01493818681321,5.334919225916858e-07,11.947890329677785
-3.408111263736264e-07,-107.89028159340658,5.394472265573313e-07,11.973054152588317
-3.403125e-07,-107.765625,5.454143883507621e-07,11.996471360316985
-3.3981387362637366e-07,-107.6409684065934,5.513925234530002e-07,12.018078740679039
-3.393152472527473e-07,-107.51631181318682,5.573807166087079e-07,12.037815370880418
-3.388166208791209e-07,-107.39165521978022,5.633780229766172e-07,12.055622663276266
-3.3831799450549455e-07,-107.26699862637363,5.693834693036105e-07,12.071444415279467
-3.378193681318682e-07,-107.14234203296704,5.753960551224793e-07,12.085226855263704
-3.373207417582418e-07,-107.01768543956044,5.814147539648231e-07,12.096918658249729
-3.3682211538461544e-07,-106.89302884615385,5.874385145891003e-07,12.106470991654227
-3.363234890109891e-07,-106.76837225274726,5.93466262220539e-07,12.11383751796169
-3.3582486263736265e-07,-106.64371565934067,5.994968997971275e-07,12.118974417040645
-3.353262362637363e-07,-106.51905906593407,6.055293092216441e-07,12.121840388788934
-3.348276098901099e-07,-106.39440247252749,6.115623526152347e-07,12.122396657283023
-3.3432898351648355e-07,-106.26974587912089,6.17594873570639e-07,12.12060696586332
-3.338303571428572e-07,-106.14508928571429,6.236256984001345e-07,12.116437561443808
-3.333317307692308e-07,-106.02043269230771,6.296536373788742e-07,12.109857192205919
-3.3283310439560444e-07,-105.89577609890111,6.35677485980374e-07,12.100837079015953
-3.3233447802197807e-07,-105.77111950549453,6.416960260987717e-07,12.089350891388142
-3.318358516483517e-07,-105.64646291208793,6.477080272605586e-07,12.075374729715543
-3.3133722527472534e-07,-105.52180631868134,6.537122478209616e-07,12.05888708198282
-3.308385989010989e-07,-105.39714972527472,6.597074361424034e-07,12.039868795483262
-3.3033997252747255e-07,-105.27249313186813,6.656923317562754e-07,12.018303038562255
-3.298413461538462e-07,-105.14783653846153,6.716656665044275e-07,11.994175257868253
-3.293427197802198e-07,-105.02317994505495,6.776261656592456e-07,11.967473135505376
-3.2884409340659344e-07,-104.89852335164835,6.83572549021619e-07,11.938186543484465
-3.2834546703296707e-07,-104.77386675824175,6.89503531995622e-07,11.906307496123326
-3.278468406593407e-07,-104.64921016483517,6.954178266386317e-07,11.871830099357476
-3.2734821428571433e-07,-104.52455357142857,7.01314142686321e-07,11.834750500834822
-3.2684958791208797e-07,-104.39989697802199,7.071911885519544e-07,11.79506683694258
-3.263509615384616e-07,-104.27524038461539,7.130476722991357e-07,11.752779179433217
-3.2585233516483523e-07,-104.1505837912088,7.188823025876799e-07,11.707889481123855
-3.253537087912088e-07,-104.0259271978022,7.24693789592626e-07,11.660401522564241
-3.2485508241758244e-07,-103.90127060439562,7.304808458955518e-07,11.610320854356381
-3.2435645604395607e-07,-103.77661401098902,7.362421873483782e-07,11.557654744526493
-3.238578296703297e-07,-103.65195741758242,7.419765339100009e-07,11.502412122206367
-3.2335920329670333e-07,-103.52730082417584,7.476826104552195e-07,11.44460352283449
-3.2286057692307696e-07,-103.40264423076924,7.533591475562395e-07,11.384241032938696
-3.223619505494506e-07,-103.27798763736266,7.590048822369615e-07,11.321338236160141
-3.218633241758242e-07,-103.15333104395606,7.646185587013778e-07,11.255910163302884
-3.2136469780219786e-07,-103.02867445054947,7.701989290343123e-07,11.187973231336853
-3.208660714285715e-07,-102.90401785714288,7.757447538764514e-07,11.11754520107467
-3.2036744505494507e-07,-102.77936126373626,7.812548030749267e-07,11.044645121420642
-3.198688186813187e-07,-102.65470467032966,7.867278563071501e-07,10.969293277658931
-3.1937019230769233e-07,-102.53004807692308,7.921627036810694e-07,10.891511148408016
-3.1887156593406596e-07,-102.40539148351648,7.975581463114021e-07,10.811321352207715
-3.183729395604396e-07,-102.28073489010988,8.029129968726759e-07,10.728747607641527
-3.178743131868132e-07,-102.1560782967033,8.082260801296582e-07,10.643814682399658
-3.1737568681318686e-07,-102.0314217032967,8.13496233445717e-07,10.556548355404603
-3.168770604395605e-07,-101.90676510989012,8.187223072701867e-07,10.466975370298265
-3.163784340659341e-07,-101.78210851648352,8.239031656049874e-07,10.375123398447393
-3.1587980769230775e-07,-101.65745192307693,8.290376864510461e-07,10.281020994711662
-3.153811813186814e-07,-101.53279532967034,8.341247622367155e-07,10.184697569083399
-3.1488255494505496e-07,-101.40813873626374,8.391633002278329e-07,10.086183341261803
-3.143839285714286e-07,-101.28348214285715,8.441522229179827e-07,9.985509306284037
-3.138853021978022e-07,-101.15882554945055,8.490904684055518e-07,9.882707215522773
-3.1338667582417585e-07,-101.03416895604397,8.539769907524722e-07,9.777809522158472
-3.128880494505495e-07,-100.90951236263737,8.588107603265973e-07,9.670849369428357
-3.123894230769231e-07,-100.78485576923079,8.635907641327967e-07,9.561860556950464
-3.1189079670329675e-07,-100.66019917582419,8.683160061262727e-07,9.450877502771647
-3.113921703296704e-07,-100.5355425824176,8.729855075156332e-07,9.337935239601991
-3.10893543956044e-07,-100.410885989011,8.775983070522202e-07,9.223069363465529
-3.1039491758241764e-07,-100.28622939560441,8.821534613062569e-07,9.106316031414318
-3.098962912087912e-07,-100.1615728021978,8.866500449347216e-07,8.98771193046544
-3.0939766483516485e-07,-100.0369162087912,8.910871509352717e-07,8.867294252268607
-3.088990384615385e-07,-99.91225961538461,8.954638908924077e-07,8.745100686786754
-3.084004120879121e-07,-99.78760302197801,8.99779395213163e-07,8.621169386415806
-3.0790178571428575e-07,-99.66294642857143,9.040328133536679e-07,8.495538964552127
-3.074031593406594e-07,-99.53828983516483,9.082233140378445e-07,8.36824846533659
-3.06904532967033e-07,-99.41363324175825,9.123500854669638e-07,8.23933735659534
-3.0640590659340664e-07,-99.28897664835165,9.16412335523376e-07,8.108845513189724
-3.0590728021978027e-07,-99.16432005494507,9.204092919655685e-07,7.976813198511869
-3.054086538461539e-07,-99.03966346153847,9.243402026165207e-07,7.84328105554733
-3.0491002747252753e-07,-98.91500686813187,9.282043355466126e-07,7.7082900935858225
-3.044114010989011e-07,-98.79035027472528,9.320009792502826e-07,7.571881676008871
-3.0391277472527474e-07,-98.66569368131869,9.357294428156329e-07,7.43409750379284
-3.034141483516484e-07,-98.5410370879121,9.393890560892213e-07,7.294979612200707
-3.02915521978022e-07,-98.4163804945055,9.429791698362062e-07,7.154570355067944
-3.0241689560439564e-07,-98.29172390109892,9.464991558941814e-07,7.012912394748259
-3.0191826923076927e-07,-98.16706730769232,9.499484073221267e-07,6.870048692181714
-3.014196428571429e-07,-98.04241071428574,9.533263385446961e-07,6.726022497622285
-3.0092101648351653e-07,-97.91775412087914,9.566323854917729e-07,6.58087734056943
-3.0042239010989016e-07,-97.79309752747254,9.598660057326646e-07,6.43465701789188
-2.999237637362638e-07,-97.66844093406596,9.630266786052977e-07,6.287405585219392
-2.994251373626374e-07,-97.54378434065933,9.661139053405014e-07,6.13916734544312
-2.98926510989011e-07,-97.41912774725274,9.691272091823836e-07,5.989986844051754
-2.9842788461538464e-07,-97.29447115384615,9.720661355028054e-07,5.839908849912543
-2.9792925824175827e-07,-97.16981456043956,9.749302519097256e-07,5.688978349268538
-2.974306318681319e-07,-97.04515796703296,9.77719148351538e-07,5.537240535408795
-2.9693200549450553e-07,-96.92050137362638,9.804324372152082e-07,5.384740793667589
-2.9643337912087916e-07,-96.79584478021978,9.830697534187886e-07,5.231524693480615
-2.959347527472528e-07,-96.67118818681318,9.856307544981332e-07,5.07763797269593
-2.954361263736264e-07,-96.5465315934066,9.881151206860123e-07,4.923126522428406
-2.9493750000000006e-07,-96.421875,9.905225549867374e-07,4.7680363835844375
-2.944388736263737e-07,-96.29721840659342,9.928527832431482e-07,4.612413719639499
-2.9394024725274727e-07,-96.17256181318682,9.951055541949563e-07,4.456304808589828
-2.934416208791209e-07,-96.04790521978023,9.972806395320918e-07,4.299756030535023
-2.9294299450549453e-07,-95.92324862637363,9.99377833939418e-07,4.142813845238783
-2.9244436813186816e-07,-95.79859203296705,1.001396955132488e-06,3.9855247782041903
-2.919457417582418e-07,-95.67393543956045,1.003337843887103e-06,3.8279354091456685
-2.914471153846154e-07,-95.54927884615385,1.0052003640585649e-06,3.6700923422538207
-2.9094848901098905e-07,-95.42462225274727,1.0069844025925137e-06,3.512042201255469
-2.904498626373627e-07,-95.29996565934067,1.0086898695276375e-06,3.3538316018209495
-2.899512362637363e-07,-95.17530906593409,1.0103166979887875e-06,3.1955071399960584
-2.8945260989010995e-07,-95.05065247252749,1.0118648441700412e-06,3.037115363439161
-2.8895398351648353e-07,-94.92599587912088,1.0133342873089318e-06,2.8787027639634406
-2.8845535714285716e-07,-94.80133928571428,1.0147250296514262e-06,2.720315747986385
-2.879567307692308e-07,-94.6766826923077,1.0160370964055683e-06,2.5620006200628946
-2.874581043956044e-07,-94.5520260989011,1.017270535686646e-06,2.403803565068205
-2.8695947802197805e-07,-94.42736950549451,1.0184254184517281e-06,2.2457706232104173
-2.864608516483517e-07,-94.30271291208791,1.0195018384236667e-06,2.0879476724110053
-2.859622252747253e-07,-94.17805631868131,1.0204999120058652e-06,1.9303804086820375
-2.8546359890109895e-07,-94.05339972527473,1.0214197781855991e-06,1.773114319888488
-2.849649725274726e-07,-93.92874313186813,1.0222615984273016e-06,1.6161946713255697
-2.844663461538462e-07,-93.80408653846155,1.023025556555611e-06,1.4596664794183685
-2.8396771978021984e-07,-93.67942994505495,1.0237118586271848e-06,1.3035744928563797
-2.834690934065934e-07,-93.55477335164836,1.0243207327919924e-06,1.1479631695218788
-2.8297046703296705e-07,-93.43011675824177,1.0248524291436371e-06,0.9928766556666438
-2.824718406593407e-07,-93.30546016483518,1.0253072195587324e-06,0.8383587629510284
-2.819732142857143e-07,-93.18080357142858,1.0256853975247154e-06,0.6844529451535467
-2.8147458791208794e-07,-93.05614697802199,1.0259872779566101e-06,0.5312022767472667
-2.809759615384616e-07,-92.9314903846154,1.0262131970021959e-06,0.37864942760672865
-2.804773351648352e-07,-92.8068337912088,1.0263635118356174e-06,0.22683664098458356
-2.7997870879120884e-07,-92.68217719780222,1.026438600439438e-06,0.0758057083882372
-2.7948008241758247e-07,-92.55752060439562,1.0264388613752804e-06,-0.07440205267699744
-2.789814560439561e-07,-92.43286401098904,1.0263647135431834e-06,-0.22374582254168005
-2.784828296703297e-07,-92.30820741758241,1.0262165959300271e-06,-0.3721853014448966
-2.779842032967033e-07,-92.18355082417582,1.0259949673473928e-06,-0.51968073028925
-2.7748557692307694e-07,-92.05889423076923,1.0257003061594065e-06,-0.666192911880514
-2.769869505494506e-07,-91.93423763736263,1.0253331100010958e-06,-0.8116832276674519
-2.764883241758242e-07,-91.80958104395604,1.0248938954879472e-06,-0.956113657460736
-2.7598969780219784e-07,-91.68492445054945,1.0243831979168884e-06,-1.0994467937111088
-2.7549107142857147e-07,-91.56026785714286,1.0238015709600096e-06,-1.241645856624942
-2.749924450549451e-07,-91.43561126373626,1.0231495863507183e-06,-1.3826747092013005
-2.7449381868131873e-07,-91.31095467032968,1.0224278335636162e-06,-1.5224978669489042
-2.7399519230769236e-07,-91.18629807692308,1.021636919488117e-06,-1.6610805133464666
-2.7349656593406594e-07,-91.0616414835165,1.0207774680957736e-06,-1.798388509145233
-2.7299793956043957e-07,-90.9369848901099,1.0198501201032797e-06,-1.9343884002052802
-2.724993131868132e-07,-90.8123282967033,1.0188555326294666e-06,-2.0690474339939517
-2.7200068681318683e-07,-90.68767170329672,1.0177943788476724e-06,-2.20233356102707
-2.7150206043956047e-07,-90.56301510989012,1.0166673476340253e-06,-2.3342154504230654
-2.710034340659341e-07,-90.43835851648353,1.0154751432109508e-06,-2.464662492999855
-2.7050480769230773e-07,-90.31370192307693,1.0142184847865039e-06,-2.5936448154639744
-2.7000618131868136e-07,-90.18904532967035,1.0128981061898431e-06,-2.721133281415492
-2.69507554945055e-07,-90.06438873626375,1.0115147555031598e-06,-2.8470995049931913
-2.690089285714286e-07,-89.93973214285717,1.0100691946893236e-06,-2.9715158543305877
-2.6851030219780225e-07,-89.81507554945057,1.008562199216672e-06,-3.0943554598155565
-2.6801167582417583e-07,-89.69041895604396,1.006994557679496e-06,-3.2155922232721985
-2.6751304945054946e-07,-89.56576236263736,1.005367071415629e-06,-3.335200820398027
-2.670144230769231e-07,-89.44110576923076,1.0036805541211331e-06,-3.453156710307244
-2.6651579670329673e-07,-89.31644917582418,1.0019358314604657e-06,-3.569436144255595
-2.6601717032967036e-07,-89.19179258241758,1.0001337406746911e-06,-3.684016164677091
-2.65518543956044e-07,-89.06713598901099,9.982751301864807e-07,-3.796874619571295
-2.650199175824176e-07,-88.9424793956044,9.96360859200778e-07,-3.907990165367393
