z_m,distance_from_right_GB_over_W,resultant_N,bulk_force_per_length_N_per_m
-4.305638736263737e-07,-130.3284684065934,6.4213578072563555e-25,-3.189943127973806e-14
-4.3006524725274733e-07,-130.20381181318683,-2.9086597308786297e-27,2.3563690513702744e-16
-4.295666208791209e-07,-130.07915521978023,-3.7205782269057586e-27,3.8794750569114276e-16
-4.2906799450549454e-07,-129.95449862637363,-4.1902417608882066e-27,6.396570805485698e-16
-4.2856936813186817e-07,-129.82984203296704,-3.358217243955829e-27,1.0544408829591749e-15
-4.280707417582418e-07,-129.70518543956047,9.880323257482083e-28,1.739754217301741e-15
-4.2757211538461543e-07,-129.58052884615387,1.447358118133786e-26,2.874596593149015e-15
-4.2707348901098906e-07,-129.45587225274727,4.488669392968226e-26,4.7365798957876454e-15
-4.265748626373627e-07,-129.33121565934067,1.0140605865204094e-25,7.789330720853754e-15
-4.2607623626373633e-07,-129.20655906593407,2.0038382129947583e-25,1.2806189336907297e-14
-4.2557760989010996e-07,-129.0819024725275,3.8865605263221807e-25,2.1120148030871912e-14
-4.250789835164836e-07,-128.9572458791209,7.414765394728263e-25,3.4770329202723435e-14
-4.2458035714285717e-07,-128.83258928571428,1.4019716357701075e-24,5.734028845264278e-14
-4.240817307692308e-07,-128.70793269230768,2.61147893966468e-24,9.442684102103227e-14
-4.2358310439560443e-07,-128.5832760989011,4.798901559113842e-24,1.5561446329531993e-13
-4.2308447802197806e-07,-128.4586195054945,8.783680772731204e-24,2.5657948506801404e-13
-4.225858516483517e-07,-128.3339629120879,1.6249182340717823e-23,4.2401738166470546e-13
-4.220872252747253e-07,-128.2093063186813,2.9453289089501644e-23,6.974272470777458e-13
-4.2158859890109896e-07,-128.08464972527472,5.184848763690333e-23,1.1470266149182012e-12
-4.210899725274726e-07,-127.95999313186813,9.036779950839124e-23,1.888859582955535e-12
-4.205913461538462e-07,-127.83533653846155,1.5739627735580544e-22,3.111679995669118e-12
-4.2009271978021985e-07,-127.71067994505495,2.74557288515573e-22,5.128377571495064e-12
-4.195940934065935e-07,-127.58602335164836,4.747154377861477e-22,8.434084336361366e-12
-4.1909546703296706e-07,-127.46136675824177,8.239783898354129e-22,1.3919777993875466e-11
-4.185968406593407e-07,-127.33671016483518,1.4270023743008416e-21,2.2906211488799124e-11
-4.180982142857143e-07,-127.21205357142858,2.492435893543238e-21,3.786742005675029e-11
