event,step,t,sigma_avg_MPa,sigma_particle_MPa,sigma_neighbor_MPa,r_tj_nm,z_tj_nm,n_components,mass_drift,cum_b
1,596,0.007275390625,23.46041229944061,45.09631253202972,1.8245120668514976,189.00062056295874,-0.11720353836620137,1,0.0,1.0
2,1061,0.012951660156250001,66.99170811501999,93.81248907358604,40.17092715645394,191.987083203731,-0.22677712026364708,1,0.0,2.000000000000002
3,1317,0.016076660156250002,85.02444525199863,104.02272757894896,66.02616292504833,194.3723873697774,-0.326876267603886,1,0.0,3.000000000000004
4,1536,0.018750000000000003,96.21499503988589,111.81089729593157,80.61909278384023,196.31926019121295,-0.2490293809829008,1,0.0,4.000000000000004
5,1735,0.02117919921875,108.6930542722922,109.58289752945288,107.80321101513151,197.95438007810463,-0.48842998466886944,1,-3.0142877308341537e-16,5.000000000000002
