event_number,avalanche_id,contact,start_time_s,end_time_s,duration_s,selected_stress_start_MPa,selected_stress_end_MPa,selected_stress_change_MPa,opposite_stress_start_MPa,opposite_stress_end_MPa,opposite_stress_change_MPa,center_volume_change_m3,quota_strain_change,geometric_strain_change,minimum_selected_transport_affinity_MPa
1,1,RIGHT,2.772296142578125,2.795217027252081,0.02292088467395592,53.795958676605494,52.19771266668844,-1.5982460099170506,53.79595864588849,53.79607817580287,0.00011952991437911988,7.869789690385566e-26,0.000480771022661464,2.4475364862608373e-06,104.295617329943
2,1,RIGHT,2.795218281075239,2.827121288748217,0.031903007672978045,52.16763990608351,44.61052823328772,-7.557111672795795,53.796078957039896,53.7964848285078,0.000405871467910707,8.155024633978606e-26,0.000480771022661464,2.4365953139593444e-06,66.76698709090499
3,1,RIGHT,2.8271285481682824,2.8824084780242507,0.0552799298559683,44.54216616146851,37.42050802168315,-7.121658139785357,53.796489390808915,53.79729705776961,0.0008076669606938958,8.280743207112722e-26,0.00048077102266146413,2.3941828636298013e-06,37.10762996904667
4,1,RIGHT,2.8824649296724503,2.996697219191428,0.11423228951897757,37.1760357268638,31.36729026406345,-5.808745462800354,53.79733258277916,53.798518546175345,0.0011859633961841464,8.484781610727481e-26,0.0004807710226614639,2.2934082976044934e-06,15.944613812839284
5,1,RIGHT,2.9976844730866135,3.4717844350330873,0.47409996194647386,31.014261355562805,26.611632815421597,-4.40262854014121,53.79913824419349,53.80027933745216,0.001141093258664012,9.221842853875214e-26,0.0004807710226614639,2.1571492168082074e-06,1.2039746902979613
6,1,RIGHT,3.4769800528150685,3.792948704495834,0.3159686516807656,29.599572454495377,25.17499817035248,-4.4245742841428966,53.80349538910485,53.80385242309837,0.0003570339935198426,1.0467989253215743e-25,0.00048077102266146435,2.1229256195187673e-06,0.7069613951919973
7,2,LEFT,9.160351719632551,9.183507722991603,0.02315600335905188,55.799299954314066,54.30478111889904,-1.494518835415028,55.817434294482815,55.81749323365529,5.8939172476530073e-05,1.0071067776371246e-25,0.0004807710226614639,1.8713209853915558e-06,100.6401765195346
8,2,LEFT,9.18351151850868,9.216061873175049,0.03255035466636791,54.217382098858195,46.88525309493294,-7.332129003925249,55.817494396315354,55.817681566589656,0.0001871702743023634,1.0370401178098952e-25,0.0004807710226614639,1.8690644855157146e-06,63.210899207116874
9,2,LEFT,9.216068092199578,9.274814925262481,0.05874683306290329,46.82469144169026,39.59948665919799,-7.2252047824922725,55.81768347627407,55.81806272667,0.0003792503959238529,1.0534062289616197e-25,0.00048077102266146435,1.8304124297374713e-06,33.037992686038535
10,2,LEFT,9.275171693784753,9.413286997616188,0.13811530383143555,38.683276191808915,33.56012692393781,-5.123149267871112,55.81817230713238,55.81864636402337,0.0004740568909943104,1.10604990080866e-25,0.0004807710226614635,1.7131217500132578e-06,10.95280332235922
11,2,LEFT,9.413470658127828,18.89902622139157,9.485555563263741,33.2445886785462,29.21706102539598,-4.027527653150216,55.818702672425374,55.81973825334226,0.0010355809168815613,1.059000151241002e-25,0.00048077102266146435,1.5397565210628628e-06,0.008405362308457493
12,2,LEFT,18.906961915015987,19.0401372167423,0.1331753017263111,33.78062604377085,30.85059429662102,-2.9300317471498327,55.822091593110514,55.822172656060324,8.10629498064518e-05,1.318607660885147e-25,0.00048077102266146435,1.5060993668880585e-06,9.329720395174279
