episode,avalanche_id,event_number,q_over_b,start_time_s,end_time_s,duration_s,recovery_steps,affinity_start_Pa,affinity_min_Pa,affinity_end_Pa,LEFT_sigma_local_Pa_start,LEFT_sigma_local_Pa_end,delta_LEFT_sigma_local_Pa,RIGHT_sigma_local_Pa_start,RIGHT_sigma_local_Pa_end,delta_RIGHT_sigma_local_Pa,V_center_m3_start,V_center_m3_end,delta_V_center_m3,center_span_m_start,center_span_m_end,delta_center_span_m,LEFT_TJ_radius_m_start,LEFT_TJ_radius_m_end,delta_LEFT_TJ_radius_m,RIGHT_TJ_radius_m_start,RIGHT_TJ_radius_m_end,delta_RIGHT_TJ_radius_m,LEFT_neck_radius_m_start,LEFT_neck_radius_m_end,delta_LEFT_neck_radius_m,RIGHT_neck_radius_m_start,RIGHT_neck_radius_m_end,delta_RIGHT_neck_radius_m,GB_LEFT_m_start,GB_LEFT_m_end,delta_GB_LEFT_m,GB_RIGHT_m_start,GB_RIGHT_m_end,delta_GB_RIGHT_m,centroid_strain_start,centroid_strain_end,delta_centroid_strain,quota_strain_start,quota_strain_end,delta_quota_strain,energy_J_start,energy_J_end,delta_energy_J
11,1,4,0.9499999999999911,326.2229603360055,326.2233498345847,0.00038949857923853415,1,9962.207635328174,9962.207635328174,294347.2441998571,-4331650.017024174,-4314962.544631855,16687.4723923197,24719401.24078524,24696593.228919163,-22808.01186607778,1.9547122912294838e-21,1.954727017905523e-21,1.472667603907996e-26,3.268648526229825e-08,3.268648733467861e-08,2.0723803622612965e-15,1.3951664236142095e-07,1.395005650263121e-07,-1.6077335108845418e-11,1.3587768745953191e-07,1.3587737371184545e-07,-3.137476864617791e-13,1.3951664236142095e-07,1.395005650263121e-07,-1.6077335108845418e-11,1.3587768745953191e-07,1.3587737371184545e-07,-3.137476864617791e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6286491022005356e-08,1.6286493094385714e-08,2.072380358952574e-15,9.305426510453074e-05,9.163052498328828e-05,-1.4237401212424672e-06,0.006138512103567824,0.006138512103567824,0.0,3.6204269434420127e-13,3.620321968327663e-13,-1.0497511434955467e-17
12,1,4,0.954999999999991,326.67979287997656,326.6801823785558,0.00038949857923853415,1,82010.4577459544,82010.4577459544,395772.58421216905,-4311552.993646999,-4267096.293066541,44456.70058045816,24720783.43959397,24704248.99965097,-16534.439943000674,1.9547290964513282e-21,1.954743636921229e-21,1.4540469900791515e-26,3.268635796904324e-08,3.268635914170472e-08,1.172661475996856e-15,1.3951075659450958e-07,1.3949536022305641e-07,-1.5396371453167666e-11,1.3587683247224487e-07,1.3587665344446265e-07,-1.7902778221826057e-13,1.3951075659450958e-07,1.3949536022305641e-07,-1.5396371453167666e-11,1.3587683247224487e-07,1.3587665344446265e-07,-1.7902778221826057e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6286363728750343e-08,1.6286364901411825e-08,1.172661482614301e-15,9.216364248842979e-05,9.0754592737885e-05,-1.4090497505447885e-06,0.006146282372053353,0.006146282372053353,0.0,3.620425334851785e-13,3.6203212034452683e-13,-1.0413140651690154e-17
13,1,4,0.9624999999999908,327.2372424246253,327.23763192320456,0.00038949857923853415,1,84392.87792088091,84392.87792088091,377141.1146182865,-4262894.879863061,-4242459.3228491815,20435.55701387953,24740389.025838543,24719077.52234177,-21311.50349677354,1.9547467582224716e-21,1.9547613161026674e-21,1.4557880195769792e-26,3.268616517358603e-08,3.268616684092707e-08,1.667341038875772e-15,1.3951063365762879e-07,1.394949425080757e-07,-1.5691149553099057e-11,1.3587583573681093e-07,1.3587558244998486e-07,-2.5328682607309136e-13,1.3951063365762879e-07,1.394949425080757e-07,-1.5691149553099057e-11,1.3587583573681093e-07,1.3587558244998486e-07,-2.5328682607309136e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6286170933293137e-08,1.6286172600634173e-08,1.6673410355670496e-15,9.155400679594639e-05,9.014430652998229e-05,-1.4097002659640978e-06,0.006157937774781645,0.006157937774781645,0.0,3.620476187595071e-13,3.6203723836831e-13,-1.0380391197131835e-17
14,1,4,0.9699999999999906,327.8823351538958,327.882724652475,0.00038949857923853415,1,66181.33965557814,66181.33965557814,348731.35308232903,-4238322.775555769,-4222047.2188233975,16275.55673237145,24755197.48255053,24732649.05379528,-22548.428755249828,1.9547644384994294e-21,1.954778960982872e-21,1.4522483442429357e-26,3.2685972933017866e-08,3.268597464799926e-08,1.7149813945250204e-15,1.3951021408340621e-07,1.394944902449734e-07,-1.572383843280269e-11,1.3587476476659828e-07,1.358745043692519e-07,-2.603973463751064e-13,1.3951021408340621e-07,1.394944902449734e-07,-1.572383843280269e-11,1.3587476476659828e-07,1.358745043692519e-07,-2.603973463751064e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.628597869272497e-08,1.6285980407706367e-08,1.7149813978337428e-15,9.094356128436232e-05,8.953656310350944e-05,-1.4069981808528809e-06,0.006169593177509939,0.006169593177509939,0.0,3.620527415295291e-13,3.6204239444928635e-13,-1.0347080242740777e-17
15,1,4,0.9774999999999904,328.77984797139254,328.7802374699718,0.00038949857923853415,1,38246.25355707109,38246.25355707109,315979.40038587153,-4217935.169133208,-4203414.089284195,14521.079849013127,24768758.743713997,24745537.205037788,-23221.538676209748,1.9547820844551013e-21,1.9547965678160695e-21,1.448336096820755e-26,3.268578079855641e-08,3.268578250765937e-08,1.709102959401296e-15,1.395097604197168e-07,1.3949404695052552e-07,-1.5713469191278843e-11,1.3587368691292384e-07,1.3587342739781318e-07,-2.595151106591549e-13,1.395097604197168e-07,1.3949404695052552e-07,-1.5713469191278843e-11,1.3587368691292384e-07,1.3587342739781318e-07,-2.595151106591549e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6285786558263516e-08,1.6285788267366482e-08,1.7091029660187409e-15,9.033566143190619e-05,8.893166976331468e-05,-1.4039916685915088e-06,0.006181248580238231,0.006181248580238231,0.0,3.6205790218963046e-13,3.6204758803016075e-13,-1.0314159469707193e-17
16,1,4,0.9849999999999902,332.12159285636966,332.1219823549489,0.00038949857923853415,1,6194.50622305274,6194.50622305274,280809.0251288265,-4199319.565228041,-4185852.2708868347,13467.29434120655,24781639.045836274,24757981.914277405,-23657.131558869034,1.95479969235596e-21,1.95481413498915e-21,1.4442633189999694e-26,3.268558871627309e-08,3.268559039795186e-08,1.6816787721913905e-15,1.3950931579418043e-07,1.39493627891967e-07,-1.5687902213432467e-11,1.358726102032305e-07,1.3587235478452112e-07,-2.5541870937493164e-13,1.3950931579418043e-07,1.39493627891967e-07,-1.5687902213432467e-11,1.358726102032305e-07,1.3587235478452112e-07,-2.5541870937493164e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6285594475980196e-08,1.628559615765897e-08,1.6816787721913905e-15,8.97306127237707e-05,8.832974617656308e-05,-1.4008665472076132e-06,0.006192903982966525,0.006192903982966525,0.0,3.6206310036363024e-13,3.620528185433374e-13,-1.0281820292845194e-17
17,1,4,0.9899999999999903,332.6287315563332,332.62912105491245,0.00038949857923853415,1,70636.76346819103,70636.76346819103,374158.7460497618,-4182563.5411588373,-4141305.795816415,41257.74534242228,24782160.2202904,24764771.19424119,-17389.02604921162,1.954816217037859e-21,1.954830479653788e-21,1.426261592903409e-26,3.268546119918011e-08,3.268546200288081e-08,8.037007004364609e-16,1.395038090641526e-07,1.3948877737647512e-07,-1.5031687677486096e-11,1.3587181457422531e-07,1.3587169057620144e-07,-1.2399802387195702e-13,1.395038090641526e-07,1.3948877737647512e-07,-1.5031687677486096e-11,1.3587181457422531e-07,1.3587169057620144e-07,-1.2399802387195702e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.628546695888721e-08,1.6285467762587915e-08,8.037007037451833e-16,8.886239015737374e-05,8.747558809885092e-05,-1.386802058522818e-06,0.006200674251452053,0.006200674251452053,0.0,3.620631549415777e-13,3.620529501701274e-13,-1.0204771450334162e-17
18,1,4,0.9974999999999905,333.27747902901444,333.2778685275937,0.00038949857923853415,1,65962.68331997097,65962.68331997097,348695.9696728885,-4137275.5197515683,-4119963.2226783046,17312.297073263675,24800891.5895919,24778733.831372708,-22157.758219193667,1.9548336069347743e-21,1.95484789236668e-21,1.4285431905748523e-26,3.268526829092412e-08,3.2685269607664e-08,1.3167398811181261e-15,1.3950403766865477e-07,1.3948869155442545e-07,-1.5346114229329592e-11,1.3587087441413273e-07,1.3587067345000133e-07,-2.0096413139843908e-13,1.3950403766865477e-07,1.3948869155442545e-07,-1.5346114229329592e-11,1.3587087441413273e-07,1.3587067345000133e-07,-2.0096413139843908e-13,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.6285274050631224e-08,1.6285275367371105e-08,1.3167398811181261e-15,8.827428269875259e-05,8.688627466224563e-05,-1.3880080365069603e-06,0.006212329654180348,0.006212329654180348,0.0,3.620684483693447e-13,3.6205827071724207e-13,-1.0177652102619729e-17
19,1,5,0.10750000000000003,334.3498039502327,334.3517514431289,0.0019474928961926707,5,104353.27912221849,-688995.5266205668,313956.6295682788,-3571819.8456363315,-3761909.276997312,-190089.4313609805,25184015.240100168,24921276.919051133,-262738.3210490346,1.95505438396906e-21,1.95512563405379e-21,7.125008472987712e-26,3.268241649423815e-08,3.268243515971143e-08,1.8665473280397906e-14,1.3955918699249333e-07,1.3946929036582467e-07,-8.98966266686599e-11,1.3586120712408094e-07,1.3585841187574007e-07,-2.795248340876041e-12,1.3955918699249333e-07,1.3946929036582467e-07,-8.98966266686599e-11,1.3586120712408094e-07,1.3585841187574007e-07,-2.795248340876041e-12,-1.6399994240292897e-08,-1.6399994240292894e-08,3.308722450212111e-24,1.628242225394525e-08,1.628244091941853e-08,1.8665473280397906e-14,8.283459094660106e-05,7.586686428318057e-05,-6.967726663420493e-06,0.006383275560861998,0.006383275560861998,0.0,3.621685399757123e-13,3.6211839611934583e-13,-5.01438563664875e-17
20,1,5,0.11500000000000003,336.00377800375554,336.0041675023348,0.00038949857923853415,1,15478.592087969184,15478.592087969184,326300.3894918263,-3758000.3741098093,-3732971.746821006,25028.62728880346,24957403.961913828,24937571.03256453,-19832.92934929952,1.9551287804660873e-21,1.9551421864687133e-21,1.340600262596592e-26,3.2682242269974353e-08,3.268224252814221e-08,2.5816785359046294e-16,1.3948451235329954e-07,1.3946995865377438e-07,-1.455369952516075e-11,1.358576013720878e-07,1.3585755816109024e-07,-4.3210997545450934e-14,1.3948451235329954e-07,1.3946995865377438e-07,-1.455369952516075e-11,1.358576013720878e-07,1.3585755816109024e-07,-4.3210997545450934e-14,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6282248029681457e-08,1.6282248287849314e-08,2.581678568991854e-16,7.666320909771596e-05,7.534098185002502e-05,-1.3222272476909325e-06,0.006394930963590293,0.006394930963590293,0.0,3.621339084363508e-13,3.6212432656978746e-13,-9.581866563361494e-18
21,1,5,0.12250000000000004,337.1104580142279,337.11084751280714,0.00038949857923853415,1,28093.09047484398,28093.09047484398,305256.13475455344,-3729242.963158382,-3717409.9995994177,11832.963558964431,24973642.283476874,24950410.393613495,-23231.8898633793,1.955145333886794e-21,1.9551587079178406e-21,1.3374031046496663e-26,3.268204970521029e-08,3.2682050292399e-08,5.871887095821027e-16,1.394851791620463e-07,1.3947042067077895e-07,-1.4758491267343014e-11,1.3585674692779365e-07,1.3585665478572381e-07,-9.214206983478016e-14,1.394851791620463e-07,1.3947042067077895e-07,-1.4758491267343014e-11,1.3585674692779365e-07,1.3585665478572381e-07,-9.214206983478016e-14,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6282055464917397e-08,1.6282056052106106e-08,5.871887095821027e-16,7.613716220078448e-05,7.481650264395956e-05,-1.3206595568249213e-06,0.0064065863663185845,0.0064065863663185845,0.0,3.621398486432506e-13,3.621302835090511e-13,-9.565134199490739e-18
22,1,5,0.13000000000000003,340.06358897740216,340.0639784759814,0.00038949857923853415,1,7260.341156244278,7260.341156244278,271680.3766916245,-3713717.05008024,-3706408.88571102,7308.164369219914,24986459.046289384,24961661.35390704,-24797.692382343113,1.9551618563028816e-21,1.955175193572607e-21,1.333726972552317e-26,3.26818575303096e-08,3.2681858251980723e-08,7.216711247660431e-16,1.3948564118877601e-07,1.3947082309871254e-07,-1.4818090063470114e-11,1.3585584355690085e-07,1.3585573144243284e-07,-1.1211446801525477e-13,1.3948564118877601e-07,1.3947082309871254e-07,-1.4818090063470114e-11,1.3585584355690085e-07,1.3585573144243284e-07,-1.1211446801525477e-13,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6281863290016705e-08,1.6281864011687827e-08,7.216711214573207e-16,7.561252689036735e-05,7.429407683468003e-05,-1.3184500556873147e-06,0.006418241769046878,0.006418241769046878,0.0,3.6214581445929995e-13,3.6213626651475455e-13,-9.547944545398297e-18
23,1,5,0.13500000000000004,340.5846441032767,340.5850336018559,0.00038949857923853415,1,69295.58731207252,69295.58731207252,358793.92283160985,-3703388.364523096,-3669571.2107322924,33817.153790803626,24985799.329325266,24966739.387368895,-19059.94195637107,1.9551772913867894e-21,1.9551904534085708e-21,1.3162021781424277e-26,3.268172974031877e-08,3.268172967790001e-08,-6.241875785567585e-17,1.394809731206354e-07,1.394667625645845e-07,-1.4210556050908346e-11,1.3585519510750573e-07,1.358552000754432e-07,4.967937465273509e-15,1.394809731206354e-07,1.394667625645845e-07,-1.4210556050908346e-11,1.3585519510750573e-07,1.358552000754432e-07,4.967937465273509e-15,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.628173550002588e-08,1.6281735437607116e-08,-6.241876447312075e-17,7.482477621156836e-05,7.351954771916969e-05,-1.305228492398669e-06,0.006426012037532407,0.006426012037532407,0.0,3.62146617899894e-13,3.621371295496373e-13,-9.488350256673629e-18
24,1,5,0.14250000000000004,341.2681018632079,341.26849136178714,0.00038949857923853415,1,62227.6437612921,62227.6437612921,329718.8101991266,-3665933.937382656,-3656503.8931508856,9430.04423177056,25002794.5373158,24978735.817398254,-24058.719917546958,1.9551936033183976e-21,1.9552067930348323e-21,1.318971643472434e-26,3.268153699229433e-08,3.268153750065275e-08,5.083584170581339e-16,1.3948197596371652e-07,1.3946742590368584e-07,-1.4550060030680103e-11,1.3585438961276373e-07,1.3585430927609696e-07,-8.033666676997552e-14,1.3948197596371652e-07,1.3946742590368584e-07,-1.4550060030680103e-11,1.3585438961276373e-07,1.3585430927609696e-07,-8.033666676997552e-14,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6281542752001435e-08,1.6281543260359852e-08,5.083584170581339e-16,7.43153369430205e-05,7.300814481492335e-05,-1.3071921280971566e-06,0.0064376674402607005,0.0064376674402607005,0.0,3.6215265536193704e-13,3.6214318022539063e-13,-9.475136546412312e-18
25,1,5,0.15000000000000005,342.2628849225078,342.26327442108703,0.00038949857923853415,1,33419.14219908416,33419.14219908416,290114.09996524453,-3652917.4179564975,-3647659.1993545974,5258.218601900153,25014767.580367748,24989386.3807678,-25381.19959994778,1.955209943954962e-21,1.9552231084403405e-21,1.316448537834699e-26,3.268134487702635e-08,3.268134549237179e-08,6.153454413250403e-16,1.3948263945784062e-07,1.3946801986749512e-07,-1.4619590345500242e-11,1.3585349875714578e-07,1.358534025145694e-07,-9.624257639653116e-14,1.3948263945784062e-07,1.3946801986749512e-07,-1.4619590345500242e-11,1.3585349875714578e-07,1.358534025145694e-07,-9.624257639653116e-14,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6281350636733458e-08,1.6281351252078896e-08,6.153454380163178e-16,7.380377588228626e-05,7.24980291806343e-05,-1.3057467016519553e-06,0.006449322842988995,0.006449322842988995,0.0,3.621587159013511e-13,3.621492551643671e-13,-9.460736983986582e-18
26,1,5,0.15500000000000005,342.70379833136377,342.704187829943,0.00038949857923853415,1,88846.70756308734,88846.70756308734,371967.0735580474,-3644703.4532466186,-3612549.2638495658,32154.18939705286,25013514.246373378,24994001.41827161,-19512.82810176909,1.9552252079489265e-21,1.955238204911201e-21,1.2996962274555824e-26,3.268121707336646e-08,3.268121689223836e-08,-1.81128102690206e-16,1.3947816553509805e-07,1.394641417260702e-07,-1.4023809027842889e-11,1.3585286666773088e-07,1.3585288929698191e-07,2.262925103603185e-14,1.3947816553509805e-07,1.394641417260702e-07,-1.4023809027842889e-11,1.3585286666773088e-07,1.3585288929698191e-07,2.262925103603185e-14,-1.6399994240292894e-08,-1.6399994240292894e-08,0.0,1.6281222833073566e-08,1.6281222651945464e-08,-1.81128102690206e-16,7.302846631207505e-05,7.173537757021453e-05,-1.2930887418605153e-06,0.006457093111474524,0.006457093111474524,0.0,3.621596103264004e-13,3.6215020593520365e-13,-9.404391196752198e-18
