avalanche_id,event_number,active_contact,event_kind,start_time_s,end_time_s,event_duration_s,q_start,q_end,quota_strain_increment,centroid_strain_increment,extent_strain_increment_nearest_frames,transport_affinity_min_Pa,transport_affinity_max_Pa,accepted_transfer_clock_s,fixed_q_recovery_s,source_amplitude_h,descendant_barrier_lowering_eV,intended_conservative_transfer_volume_m3,V_left_m3_before,V_left_m3_after,delta_V_left_m3,V_center_m3_before,V_center_m3_after,delta_V_center_m3,V_right_m3_before,V_right_m3_after,delta_V_right_m3,LEFT_sigma_local_Pa_before,LEFT_sigma_local_Pa_after,delta_LEFT_sigma_local_Pa,RIGHT_sigma_local_Pa_before,RIGHT_sigma_local_Pa_after,delta_RIGHT_sigma_local_Pa,energy_J_before,energy_J_after,delta_energy_J,delta_LEFT_negative_sigma_local_Pa,delta_LEFT_positive_sigma_local_Pa,GB_LEFT_m_before,GB_LEFT_m_after,delta_GB_LEFT_m,TJ_LEFT_m_before,TJ_LEFT_m_after,delta_TJ_LEFT_m,LEFT_TJ_radius_m_before,LEFT_TJ_radius_m_after,delta_LEFT_TJ_radius_m,LEFT_neck_radius_m_before,LEFT_neck_radius_m_after,delta_LEFT_neck_radius_m,LEFT_contact_angle_mean_rad_before,LEFT_contact_angle_mean_rad_after,delta_LEFT_contact_angle_mean_rad,delta_RIGHT_negative_sigma_local_Pa,delta_RIGHT_positive_sigma_local_Pa,GB_RIGHT_m_before,GB_RIGHT_m_after,delta_GB_RIGHT_m,TJ_RIGHT_m_before,TJ_RIGHT_m_after,delta_TJ_RIGHT_m,RIGHT_TJ_radius_m_before,RIGHT_TJ_radius_m_after,delta_RIGHT_TJ_radius_m,RIGHT_neck_radius_m_before,RIGHT_neck_radius_m_after,delta_RIGHT_neck_radius_m,RIGHT_contact_angle_mean_rad_before,RIGHT_contact_angle_mean_rad_after,delta_RIGHT_contact_angle_mean_rad,delta_outer_centroid_separation_m,source_vs_fast_relaxation_separable,delta_V_left_m3_source_window,delta_V_left_m3_following_reload,delta_V_center_m3_source_window,delta_V_center_m3_following_reload,delta_V_right_m3_source_window,delta_V_right_m3_following_reload
1,1,LEFT,root,305.9864776179182,306.1374189027304,0.1509412848122338,0.0,1.0,0.0015540536971057816,9.403589733070206e-05,-3.9109394833758415e-08,64683793.41511667,120714391.69904757,0.1509412848122338,0.0,1.0,1.5,1.4863055346703986e-23,7.270542452569737e-21,7.270178647430942e-21,-3.6380513879445006e-25,1.9493304332989192e-21,1.9499425071064924e-21,6.120738075732249e-25,7.270542426419049e-21,7.270294157749811e-21,-2.4826866923844015e-25,18507104.399993353,6621575.413108372,-11885528.986884981,18507089.13016435,19252727.016386762,745637.886222411,3.5905928674308277e-13,3.5951290645156763e-13,4.536197084848638e-16,-11612434.751988195,-12158623.221781762,-1.639999424029289e-08,-1.6399994240292887e-08,3.308722450212111e-24,-1.639999424029289e-08,-1.6399994240292887e-08,3.308722450212111e-24,1.3686044271631447e-07,1.3812209558969613e-07,1.261652873381664e-09,1.3686044271631447e-07,1.3812209558969613e-07,1.261652873381664e-09,2.8713252924538706,2.922169369374723,0.050844076920852466,6188668.240791526,-4697392.468346704,1.639999424029289e-08,1.6368335218498997e-08,-3.165902179389341e-11,1.639999424029289e-08,1.6368335218498997e-08,-3.165902179389341e-11,1.3686044488609228e-07,1.3663325719419327e-07,-2.271876918990046e-10,1.3686044488609228e-07,1.3663325719419327e-07,-2.271876918990046e-10,2.8713252524067325,2.8844886883681937,0.01316343596146119,-1.5127517393030537e-11,False,1.2438042271474416e-29,nan,2.0799939354026167e-28,nan,-2.2043743656405247e-28,nan
1,2,LEFT,descendant,306.1374238486241,306.4192622662633,0.2818384176391646,0.0,1.0,0.0015540536971057816,3.7843369679713135e-05,-1.471157704546755e-07,36965690.61129473,64685937.457746804,0.2818384176391646,0.0,1.0,1.5,1.506204314214759e-23,7.270178659868985e-21,7.26983232883626e-21,-3.463310327241184e-25,1.949942715105886e-21,1.9511880704493615e-21,1.2453553434755193e-24,7.270293937312374e-21,7.269394913001259e-21,-8.99024311115522e-25,6617856.784185764,358263.8040445633,-6259592.980141201,19251288.10992694,21180666.682265595,1929378.5723386556,3.595127662979402e-13,3.602792353785684e-13,7.664690806282277e-16,-6140741.133386974,-6378444.826895428,-1.6399994240292887e-08,-1.6399994240292887e-08,0.0,-1.6399994240292887e-08,-1.6399994240292887e-08,0.0,1.3812168000129803e-07,1.3879167984267297e-07,6.699998413749409e-10,1.3812168000129803e-07,1.3879167984267297e-07,6.699998413749409e-10,2.922013865953598,2.900302801810895,-0.021711064142702963,4817668.169311486,-958911.024634175,1.6368335301182723e-08,1.6338502076867223e-08,-2.983322431550089e-11,1.6368335301182723e-08,1.6338502076867223e-08,-2.983322431550089e-11,1.366331937073625e-07,1.3633086583760687e-07,-3.0232786975563177e-10,1.366331937073625e-07,1.3633086583760687e-07,-3.0232786975563177e-10,2.8844495441443954,2.87080904600464,-0.01364049813975532,-6.087847825033697e-12,False,1.2302687162666496e-28,nan,4.554258914720864e-27,nan,-4.677285786723687e-27,nan
1,3,LEFT,descendant,306.4193603152915,306.9630367902512,0.5436764749596819,0.0,1.0,0.0015540536971057816,-6.252331839262659e-06,-2.2427434354099773e-07,16594034.08286941,37060926.63377595,0.5436764749596819,0.0,0.7,1.0499999999999998,1.5179156986349694e-23,7.269832451863132e-21,7.269476439255248e-21,-3.560126078841426e-25,1.9511926247082762e-21,1.952905949841372e-21,1.7133251330959095e-24,7.269390235715472e-21,7.268032923189867e-21,-1.3573125256052284e-24,361255.45202393644,-2780392.4732544897,-3141647.925278426,21173929.232370824,23164489.055822287,1990559.8234514631,3.6027646405879635e-13,3.611437021245885e-13,8.672380657921408e-16,-3062574.278593663,-3220721.571963189,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,1.3878622219927532e-07,1.3923154496956209e-07,4.453227702867645e-10,1.3878622219927532e-07,1.3923154496956209e-07,4.453227702867645e-10,2.899006770322222,2.8833180327129275,-0.015688737609294456,3098350.1152239963,882769.5316789337,1.6338502991756436e-08,1.631108174681611e-08,-2.742124494032508e-11,1.6338502991756436e-08,1.631108174681611e-08,-2.742124494032508e-11,1.3633026397898454e-07,1.360674903371836e-07,-2.6277364180094466e-10,1.3633026397898454e-07,1.360674903371836e-07,-2.6277364180094466e-10,2.870430878892553,2.85422822904917,-0.016202649843383377,1.0058101356025384e-12,False,5.186483749861924e-29,nan,2.5990494632637983e-27,nan,-2.6509143000101012e-27,nan
1,4,LEFT,descendant,306.9630960213904,333.3992163928857,26.436120371495292,0.0,1.0,0.0015540536971057816,-3.5717559742964866e-05,-2.975063149168733e-07,5785.085223421454,16638440.671561152,26.429109397069,0.007010974426293615,0.48999999999999994,0.7349999999999999,1.5262025070333304e-23,7.269476491120085e-21,7.269115508420469e-21,-3.609826996162979e-25,1.9529085488908354e-21,1.954848934019256e-21,1.9403851284206972e-24,7.268030272275567e-21,7.26645086984645e-21,-1.5794024291162345e-24,-2777447.9700767826,-4117992.174834721,-1340544.2047579382,23160689.331915237,24790891.260055322,1630201.9281400852,3.6114201763940786e-13,3.6206342975878544e-13,9.214121193775845e-16,-1219590.5498042423,-1461497.859711634,-1.6399994240292884e-08,-1.6399994240292894e-08,-9.926167350636332e-24,-1.6399994240292884e-08,-1.6399994240292894e-08,-9.926167350636332e-24,1.3922862783828617e-07,1.394937825491353e-07,2.6515471084911967e-10,1.3922862783828617e-07,1.394937825491353e-07,2.6515471084911967e-10,2.8826836741177804,2.8613443858488967,-0.02133928826888365,1613036.8156343326,1647367.0406458378,1.6311082849722676e-08,1.6285210773874477e-08,-2.5872075848199142e-11,1.6311082849722676e-08,1.6285210773874477e-08,-2.5872075848199142e-11,1.3606732189487021e-07,1.3587040637267957e-07,-1.9691552219064483e-10,1.3606732189487021e-07,1.3587040637267957e-07,-1.9691552219064483e-10,2.8540576954851993,2.8391089209787275,-0.014948774506471807,5.745869626235868e-12,False,1.76075308180517e-27,nan,1.5292781413091178e-25,nan,-1.5468856721196463e-25,nan
1,5,LEFT,descendant,333.40385575160536,558.5901750011026,225.18631924949722,0.0,1.0,0.0015540536971057816,-8.874385827428721e-05,-6.442713111898257e-07,-688995.5266205668,4692494.855922058,225.11543050807535,0.07088874142186796,0.3429999999999999,0.5144999999999998,1.5262652099709297e-23,7.269117269173551e-21,7.26877242484084e-21,-3.4484433271157986e-25,1.955001861833387e-21,1.9572264088769026e-21,2.2245470435155992e-24,7.266296181279239e-21,7.264416478568424e-21,-1.879702710814928e-24,-2802594.9890382215,-291958.1171237659,2510636.8719144557,24841055.07266874,25540708.568176664,699653.4955079257,3.619516162504018e-13,3.62624928555096e-13,6.733123046941755e-16,2523274.0728783235,2497999.670950588,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,1.393593489186434e-07,1.392748196815136e-07,-8.452923712981422e-11,1.393593489186434e-07,1.392748196815136e-07,-8.452923712981422e-11,2.8514966773829746,2.8378970592683723,-0.013599618114602308,-1400798.421875339,2800105.412891198,1.628517139220849e-08,1.625938536827486e-08,-2.578602393362827e-11,1.628517139220849e-08,1.625938536827486e-08,-2.578602393362827e-11,1.358762352186013e-07,1.3582549568183324e-07,-5.0739536768071954e-11,1.358762352186013e-07,1.3582549568183324e-07,-5.0739536768071954e-11,2.8356601867129205,2.8244383529454344,-0.011221833767486089,1.427618917537027e-11,False,-8.942890789010642e-28,2.3169834397321454e-24,1.388679195821484e-25,-1.430124588172116e-23,-1.379736305055043e-25,1.1984262441969831e-23
2,6,LEFT,root,578.4216420421227,578.5823541694829,0.1607121273601706,0.0,1.0,0.0015540536971057816,9.213166086663449e-05,-4.172570533533815e-08,58775211.4301345,115040476.37322854,0.1607121273601706,0.0,1.0,1.5,1.4817858653244988e-23,7.271088513991493e-21,7.270687965116263e-21,-4.0054887523009386e-25,1.9430640309147636e-21,1.943694986088346e-21,6.309551735823569e-25,7.276262767379888e-21,7.276032361082426e-21,-2.304062974622728e-25,18649809.662667297,6807861.64172494,-11841948.020942356,18642303.51264582,19307452.599759266,665149.0871134475,3.591071250741466e-13,3.5964169178510045e-13,5.345667109538576e-16,-11579491.128185302,-12104404.913699407,-1.6399994240292923e-08,-1.6399994240292867e-08,5.624828165360588e-23,-1.6399994240292923e-08,-1.6399994240292867e-08,5.624828165360588e-23,1.3664741392850048e-07,1.3792557220326638e-07,1.278158274765905e-09,1.3664741392850048e-07,1.3792557220326638e-07,1.278158274765905e-09,2.867053669012517,2.9214317658420335,0.054378096829516664,5919903.992172461,-4589605.817945562,1.6256323534425122e-08,1.6223148497878422e-08,-3.3175036546699525e-11,1.6256323534425122e-08,1.6223148497878422e-08,-3.3175036546699525e-11,1.366945444974002e-07,1.3647345647927948e-07,-2.2108801812072214e-10,1.366945444974002e-07,1.3647345647927948e-07,-2.2108801812072214e-10,2.867536577443145,2.879667193644435,0.012130616201289968,-1.4821183630631408e-11,False,1.2755078928343167e-29,nan,1.875233190170735e-28,nan,-2.0027839832157485e-28,nan
2,7,LEFT,descendant,578.5823587276474,578.9131110889314,0.33075236128399865,0.0,1.0,0.0015540536971057825,3.927449631224711e-05,-1.4173333395817167e-07,29401162.67770593,58775738.04744919,0.33075236128399865,0.0,1.0,1.5,1.50229534411408e-23,7.270687977871341e-21,7.270295632571796e-21,-3.9234529954512578e-25,1.943695173611665e-21,1.9449144970299653e-21,1.2193234183003599e-24,7.276032160804027e-21,7.275205182686966e-21,-8.269781170617699e-25,6804146.32259086,184254.26408318523,-6619892.058507674,19306000.48397966,21199283.711280525,1893283.2273008637,3.5964156257401294e-13,3.6049430603765437e-13,8.527434636414315e-16,-6467175.440257764,-6772608.676757583,-1.6399994240292867e-08,-1.6399994240292887e-08,-1.9852334701272664e-23,-1.6399994240292867e-08,-1.6399994240292887e-08,-1.9852334701272664e-23,1.3792517436358895e-07,1.3862858649764093e-07,7.034121340519789e-10,1.3792517436358895e-07,1.3862858649764093e-07,7.034121340519789e-10,2.921278534883026,2.8986663795767758,-0.02261215530625016,4907821.417416755,-1121254.962815024,1.6223148504680557e-08,1.6192458628577318e-08,-3.0689876103239306e-11,1.6223148504680557e-08,1.6192458628577318e-08,-3.0689876103239306e-11,1.364733979150951e-07,1.3617789608539372e-07,-2.9550182970139043e-10,1.364733979150951e-07,1.3617789608539372e-07,-2.9550182970139043e-10,2.8796300160355024,2.86647756695037,-0.013152449085132467,-6.318072597072003e-12,False,2.0413197800560435e-29,nan,6.849501709918258e-28,nan,-7.053633710493354e-28,nan
2,8,LEFT,descendant,578.9131256570763,579.7266144860613,0.8134888289849869,0.0,1.0,0.0015540536971057808,-5.811571715197417e-06,-2.1851185327825817e-07,8835787.60793154,29413667.271060646,0.8134888289849869,0.0,0.7,1.0499999999999998,1.5147498526897856e-23,7.270295652984994e-21,7.269879108521009e-21,-4.165444639849371e-25,1.9449151819801363e-21,1.9466202444940067e-21,1.7050625138704435e-24,7.275204477323595e-21,7.273915959274758e-21,-1.2885180488367774e-24,182932.04282252397,-3070786.7450815905,-3253718.7879041145,21197890.467291456,23235498.228471614,2037607.7611801587,3.6049389199993825e-13,3.6145837612247483e-13,9.644841225365825e-16,-3159088.601413913,-3348348.974394316,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,-1.6399994240292887e-08,-1.6399994240292884e-08,3.308722450212111e-24,1.386276948380357e-07,1.3910257747805923e-07,4.748826400235259e-10,1.386276948380357e-07,1.3910257747805923e-07,4.748826400235259e-10,2.898431070521144,2.8820842724702933,-0.016346798050850708,3272799.7894044034,802415.732955914,1.6192459946636393e-08,1.61660384627712e-08,-2.6421483865193705e-11,1.6192459946636393e-08,1.61660384627712e-08,-2.6421483865193705e-11,1.3617779410981002e-07,1.3591661128773905e-07,-2.6118282207096895e-10,1.3617779410981002e-07,1.3591661128773905e-07,-2.6118282207096895e-10,2.866414496903814,2.849704297920038,-0.016710198983775904,9.349052297752109e-13,False,1.1598205702022086e-27,nan,8.986376515299356e-26,nan,-9.102358572169114e-26,nan
2,9,LEFT,descendant,579.728727737146,817.2133709034931,237.48464316634715,0.0,1.0,0.0015540536971057825,-5.4868206619484994e-05,-3.6170111950006856e-07,558.7190265357494,11517640.9672347,237.45465177574613,0.02999139060102607,0.48999999999999994,0.7349999999999999,1.5221588422217256e-23,7.26988026834158e-21,7.269439244245261e-21,-4.410240963182792e-25,1.9467101082591597e-21,1.948847129539477e-21,2.1370212803173906e-24,7.273824935689036e-21,7.27212893850533e-21,-1.695997183705708e-24,-2392367.4434644813,-2272703.176414215,119664.26705026627,23264682.44543963,25047285.396214873,1782602.9507752433,3.614018239683103e-13,3.6228612143086575e-13,8.842974625554655e-16,163546.59288947098,75781.94121106155,-1.6399994240292884e-08,-1.639999424029288e-08,3.308722450212111e-24,-1.6399994240292884e-08,-1.639999424029288e-08,3.308722450212111e-24,1.390166167620303e-07,1.392110062446395e-07,1.9438948260921422e-10,1.390166167620303e-07,1.392110062446395e-07,1.9438948260921422e-10,2.8713067704081805,2.8562537566222725,-0.015053013785907954,369013.4071710035,3196192.4943794757,1.6166079353118744e-08,1.614113072299504e-08,-2.4948630123703102e-11,1.6166079353118744e-08,1.614113072299504e-08,-2.4948630123703102e-11,1.3591335178419386e-07,1.3574295277215993e-07,-1.7039901203392844e-10,1.3591335178419386e-07,1.3574295277215993e-07,-1.7039901203392844e-10,2.846342078319408,2.832889008605706,-0.013453069713702082,8.826626570534761e-12,False,3.4590669881918364e-28,nan,5.259548522653329e-26,nan,-5.294139192760943e-26,nan
2,10,LEFT,descendant,817.2151272088114,3431.486743464081,2614.2716162552697,0.0,1.0,0.0015540536971057808,-0.00010593251378687718,-7.995974968810771e-07,-291191.525493145,1334331.104787901,2614.1843685735175,0.08724768175181907,0.3429999999999999,0.5144999999999998,1.5199064595074162e-23,7.26943959015196e-21,7.26900961185707e-21,-4.299782948902631e-25,1.9488997250247037e-21,1.9511972072505194e-21,2.2974822258157223e-24,7.272075997113403e-21,7.270208493182479e-21,-1.8675039309235783e-24,-1925702.0195786254,1369383.0305257859,3295085.0501044113,25028100.501984663,25253931.67870026,225831.1767155975,3.622504167242731e-13,3.628470730242255e-13,5.96656299952395e-16,3339723.4169936646,3250446.683215158,-1.639999424029288e-08,-1.6399994240292884e-08,-3.308722450212111e-24,-1.639999424029288e-08,-1.6399994240292884e-08,-3.308722450212111e-24,1.3916196302014383e-07,1.3899967157215147e-07,-1.6229144799235936e-10,1.3916196302014383e-07,1.3899967157215147e-07,-1.6229144799235936e-10,2.8507269059929263,2.835145929527173,-0.015580976465753515,-2583037.943517849,3034700.2969490364,1.614107270704499e-08,1.6116639058424477e-08,-2.4433648620511733e-11,1.614107270704499e-08,1.6116639058424477e-08,-2.4433648620511733e-11,1.357450590036473e-07,1.357489877271456e-07,3.928723498308619e-12,1.357450590036473e-07,1.357489877271456e-07,3.928723498308619e-12,2.8313987943910086,2.8196040197052223,-0.011794774685786269,1.7041321349486297e-11,False,1.4690793394303257e-27,nan,3.914936371188228e-26,nan,-4.061844305056029e-26,nan
