frame,time_s,phase,avalanche_id,event_number,q_over_b,active_contact,V_left_m3,V_center_m3,V_right_m3,R_left_m,R_center_m,R_right_m,V_center_over_source,centroid_left_m,centroid_center_m,centroid_right_m,outer_centroid_separation_m,GB_LEFT_m,GB_RIGHT_m,center_span_m,near_axis_low_m,near_axis_high_m,near_axis_extent_m,near_axis_extent_strain,center_max_radius_m,center_envelope_aspect_ratio,center_second_moment_aspect_ratio,surface_area_proxy_m2,LEFT_stress_Pa,RIGHT_stress_Pa,quota_strain,centroid_strain,mirror_error,left_outer_curvature_rms,left_outer_curvature_p95,left_outer_curvature_grad_max,left_outer_curvature_grad_z,left_outer_curvature_kappa_max,left_outer_curvature_kappa_z,center_curvature_rms,center_curvature_p95,center_curvature_grad_max,center_curvature_grad_z,center_curvature_kappa_max,center_curvature_kappa_z,right_outer_curvature_rms,right_outer_curvature_p95,right_outer_curvature_grad_max,right_outer_curvature_grad_z,right_outer_curvature_kappa_max,right_outer_curvature_kappa_z,LEFT_TJ_radius_m,LEFT_TJ_z_m,RIGHT_TJ_radius_m,RIGHT_TJ_z_m,morphology_departure_max_fraction
9,306.1591021712383,ACTIVE_ONE_B,1,2,0.10000000000000002,LEFT,7.27014399438785e-21,1.9500359922749797e-21,7.270235325624185e-21,1.2017610787151746e-07,7.75029094192681e-08,1.2017661110715064e-07,1.00035850536581,-8.041598134079531e-08,-7.321284741354334e-11,8.043778001531211e-08,1.6085376135610742e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079983430039503e-07,1.8079983289343892e-07,3.61599667193834e-07,-1.7560138600991593e-06,1.3833890065836947e-07,8.435301783124215,7.255087435430552,3.179897219780806e-13,5696164.2065538205,19371695.82675082,0.00170945906681636,9.846988468087403e-05,0.18720825599809282,7356132.768957005,10769225.742858646,1929311669496592.0,-1.79157512837139e-07,11620735.795194862,-5.441816270642641e-08,3300631.814646454,3999245.5026417747,2274383281180460.5,-2.7333323733821485e-09,4040699.55062925,2.7333323733821485e-09,7353216.472545191,7960691.837466007,1929323718761713.0,1.79157512837139e-07,8640937.827305108,3.006665610720363e-08,1.382081073461694e-07,-1.6399994240292884e-08,1.3660411465566344e-07,1.6365273826228437e-08,0.004484576598566381
10,306.1820527898699,ACTIVE_ONE_B,1,2,0.2000000000000001,LEFT,7.270109461706012e-21,1.95013658285044e-21,7.270169267730384e-21,1.2017591759514554e-07,7.750424203197243e-08,1.2017624712820077e-07,1.0004101078173133,-8.041443110054175e-08,-7.884876393554217e-11,8.04383811951368e-08,1.6085281229567855e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.807998363188001e-07,1.8079983491182105e-07,3.6159967123062116e-07,-1.7671775713878901e-06,1.3841610008541902e-07,8.440009066914588,7.254980575523404,3.1800392673266147e-13,4860048.033007408,19520096.73430855,0.0018648644365269382,0.0001043694481537294,0.19814960000756243,7401191.138707569,10736210.423892384,1929294350229324.0,-1.79157512837139e-07,11768244.194864059,-5.491513222885953e-08,3885826.113781357,4836257.5489910375,2306122645402191.5,-2.7333323733821485e-09,5071256.5050521055,2.7333323733821485e-09,7356404.958045364,7995356.897362925,1929306399731142.0,1.79157512837139e-07,8891196.080257693,3.006665610720363e-08,1.382883598525786e-07,-1.6399994240292884e-08,1.3657428781671517e-07,1.636223160788149e-08,0.005045124885595165
11,306.2063143375363,ACTIVE_ONE_B,1,2,0.30000000000000016,LEFT,7.270075000210468e-21,1.9502444006109657e-21,7.270095911465294e-21,1.2017572771041206e-07,7.750567033873578e-08,1.2017584293264642e-07,1.0004654177778467,-8.041291883914522e-08,-8.428102135552475e-11,8.043904767067691e-08,1.6085196650982214e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.807998385376737e-07,1.8079983713067172e-07,3.615996756683454e-07,-1.7794500717371875e-06,1.3848908902737014e-07,8.44445961371855,7.254975343684497,3.1801919392890086e-13,4090658.821420108,19691721.58249666,0.0020202698062375163,0.0001096270347021866,0.2084953135620759,7445582.893270702,10757097.817216363,1929275310596415.0,-1.79157512837139e-07,11900413.980742814,-5.5412101751292644e-08,4358418.6072651725,5544995.779385987,2903878948598470.5,-2.2363628509490305e-09,5931083.13154322,2.7333323733821485e-09,7360877.162848345,8001902.8373364145,1929287360370389.0,1.79157512837139e-07,9150062.587004112,3.006665610720363e-08,1.3836307778874794e-07,-1.6399994240292884e-08,1.3654393450398003e-07,1.635920769423206e-08,0.005575100663219867
12,306.2319400375582,ACTIVE_ONE_B,1,2,0.40000000000000024,LEFT,7.270040555425694e-21,1.9503594205897988e-21,7.270015336271267e-21,1.201755379171562e-07,7.75071939982508e-08,1.2017539895741083e-07,1.0005244224395906,-8.04114443308223e-08,-8.951209878977099e-11,8.043977840846682e-08,1.608512227392891e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079984094948251e-07,1.8079983954245623e-07,3.6159968049193875e-07,-1.792789690702179e-06,1.3855834558835522e-07,8.448682576237337,7.255062184810006,3.180351514757659e-13,3397954.0062075593,19880835.390144855,0.002175675175948095,0.00011425047208857286,0.21828526535234422,7488264.136312376,10905877.30678972,1929254615211390.0,-1.79157512837139e-07,12020531.448153185,-5.590907127372576e-08,4731618.549800342,6200523.928105819,2874875155663738.5,-2.2363628509490305e-09,6643505.515304932,2.7333323733821485e-09,7366587.378178094,8062682.517594325,1929266665304092.0,1.79157512837139e-07,9412907.886225276,3.006665610720363e-08,1.3843368721387845e-07,-1.6399994240292884e-08,1.3651324236706478e-07,1.6356201336166256e-08,0.006077975465655694
13,306.2590027387346,ACTIVE_ONE_B,1,2,0.5000000000000003,LEFT,7.270006087523264e-21,1.9504815118991698e-21,7.269927712864346e-21,1.2017534799592034e-07,7.750881126551779e-08,1.201749161422812e-07,1.0005870546577877,-8.041000720254234e-08,-9.454529942490196e-11,8.04405715848559e-08,1.6085057878739822e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079984354669245e-07,1.8079984213964004e-07,3.6159968568633246e-07,-1.8071547560616352e-06,1.386242605578479e-07,8.45270178310576,7.255232321258072,3.1805160107294924e-13,2768845.3824136276,20082856.957551673,0.0023310805456586733,0.00011825341535565137,0.22753142826926426,7528620.278499914,10825160.891295739,1929232328671927.0,-1.79157512837139e-07,12132091.069919003,-5.640604079615888e-08,5026202.108860986,6742603.755506851,3064803856054727.0,-1.7393933285159125e-09,7228363.740409244,2.7333323733821485e-09,7373468.265544417,8128820.037168783,1929244379097958.0,1.79157512837139e-07,9675828.526046302,3.006665610720363e-08,1.3850061133323657e-07,-1.6399994240292884e-08,1.364823910685618e-07,1.6353211817043553e-08,0.006556586831708566
14,306.28758340145276,ACTIVE_ONE_B,1,2,0.5999999999999992,LEFT,7.269971606670651e-21,1.9506107208894564e-21,7.269832984726686e-21,1.2017515800272715e-07,7.751052274275146e-08,1.2017439417489748e-07,1.0006533382099452,-8.040860858124307e-08,-9.93754646272664e-11,8.04414274428327e-08,1.6085003602407579e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079984633656942e-07,1.8079984492948808e-07,3.615996912660575e-07,-1.8225854527820218e-06,1.3868688201330794e-07,8.456520165877272,7.255481473314252,3.1806826984892387e-13,2209567.1563501833,20298475.069411434,0.0024864859153692492,0.00012162734874787695,0.23625177207339987,7565856.911479477,11010784.205091368,1963448192390536.8,-3.006665610720363e-08,12236977.696786884,-5.6903010318591994e-08,5238173.920154342,7151838.005044563,3491396825236014.5,-1.7393933285159125e-09,7687191.664197658,2.7333323733821485e-09,7381514.696532106,8196625.922276363,1929220439353916.0,1.79157512837139e-07,9937905.563608093,3.006665610720363e-08,1.3856412876770594e-07,-1.6399994240292884e-08,1.3645156782508362e-07,1.6350239310654102e-08,0.007011283853836314
15,306.3177682794772,ACTIVE_ONE_B,1,2,0.6999999999999971,LEFT,7.26993699690887e-21,1.950746563306264e-21,7.269731752071651e-21,1.201749672986265e-07,7.75123220035697e-08,1.2017383636155733e-07,1.0007230246760317,-8.04072465094589e-08,-1.0401752729439475e-10,8.044234037512281e-08,1.608495868845817e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079984930027976e-07,1.8079984789316504e-07,3.6159969719344477e-07,-1.838977607526715e-06,1.3874738367444962e-07,8.46020929285227,7.255796716730022,3.180851984270545e-13,1681029.9825519258,20517136.185352817,0.0026418912850798243,0.00012441929631290538,0.24449582100149347,7600193.027901338,11128238.731109433,2070541331542393.0,-3.006665610720363e-08,12346766.955549384,-5.789694936345823e-08,5393435.936621401,7465157.222419473,3307839677749222.0,-1.7393933285159125e-09,8052284.678653089,2.7333323733821485e-09,7390557.042218643,8240704.1065496355,1929195007648838.0,1.79157512837139e-07,10192323.918342164,3.006665610720363e-08,1.3862460132534522e-07,-1.6399994240292884e-08,1.364208496454477e-07,1.6347282981295387e-08,0.007450588960253635
16,306.34970326020346,ACTIVE_ONE_B,1,2,0.7999999999999949,LEFT,7.269902258590562e-21,1.9508884076309127e-21,7.269624646065317e-21,1.2017477588555477e-07,7.751420067175061e-08,1.2017324617917142e-07,1.0007957900901894,-8.04059188099487e-08,-1.0848374099393841e-10,8.044330452789905e-08,1.6084922333784775e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079985242114364e-07,1.8079985101398856e-07,3.615997034351322e-07,-1.8562389574316995e-06,1.3880462796948834e-07,8.463699799873186,7.256167541254413,3.1810216687352247e-13,1206055.0920621771,20738326.89139632,0.002797296654790399,0.00012667918089637187,0.25231960300483713,7631949.451496683,11234787.135866422,2165555726636329.5,-3.006665610720363e-08,12448796.388803534,-5.789694936345823e-08,5509866.569803457,7694853.336487785,3571859485735045.0,-1.2424238060827948e-09,8336767.742605267,2.7333323733821485e-09,7400451.545939584,8269843.245414537,1929168227114879.0,1.79157512837139e-07,10437902.847294236,3.006665610720363e-08,1.3868267230369633e-07,-1.639999424029289e-08,1.363904225159622e-07,1.6344341897678556e-08,0.00786624219438381
17,306.38348548220716,ACTIVE_ONE_B,1,2,0.8999999999999928,LEFT,7.26986736574345e-21,1.9510357085655186e-21,7.269512237977812e-21,1.2017458362039348e-07,7.751615151404437e-08,1.2017262677468328e-07,1.0008713547173886,-8.040462388542414e-08,-1.1278486425350348e-10,8.044431465541785e-08,1.60848938540842e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079985568733066e-07,1.807998542801196e-07,3.615997099674503e-07,-1.8743040448576664e-06,1.388596989538359e-07,8.467057787902977,7.25658605529491,3.1811910912020035e-13,778939.0802020002,20959952.4232243,0.002952702024500974,0.00012844954025548194,0.2597567100132736,7661393.973147127,11386385.918523835,2250543878468559.0,-3.006665610720363e-08,12527323.660910483,-5.789694936345823e-08,5593418.812266317,7852882.243601177,4011113325882385.0,-1.2424238060827948e-09,8552246.121113608,2.7333323733821485e-09,7411070.798027254,8267282.529248637,1929140199304385.0,1.79157512837139e-07,10672792.481528409,3.006665610720363e-08,1.387386801634279e-07,-1.639999424029289e-08,1.3636040587856338e-07,1.6341415089299633e-08,0.008266114928169754
18,306.4192622662633,ACTIVE_ONE_B,1,2,1.0,LEFT,7.269832328836214e-21,1.9511880704493494e-21,7.269394913001212e-21,1.201743905608189e-07,7.751816927985545e-08,1.2017198026975448e-07,1.0009495155856944,-8.040336092661924e-08,-1.1692625933582555e-10,8.04453672317169e-08,1.6084872815833614e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079985909321219e-07,1.8079985768590792e-07,3.615997167791201e-07,-1.8931416776446497e-06,1.3891279603724316e-07,8.470295416077066,7.257047622318095,3.181361319328628e-13,358263.8040445633,21180666.682265595,0.0031081073942115633,0.00012975732309961074,0.26682676597339033,7688648.526468797,11530059.136441724,2327936863151823.5,-3.006665610720363e-08,12574355.853746366,-5.789694936345823e-08,5641772.93261809,7947616.781741068,3778121141667533.5,-1.2424238060827948e-09,8706794.869016673,2.7333323733821485e-09,7422303.935366146,8273767.581774425,1929110972636111.0,1.79157512837139e-07,10896229.046962278,3.006665610720363e-08,1.3879167984267297e-07,-1.6399994240292887e-08,1.3633086583760687e-07,1.6338502076867223e-08,0.008651655084200627
19,306.4193603152915,CHILD_CROSSING,1,2,0.0,LEFT,7.269832451863085e-21,1.9511926247082645e-21,7.269390235715427e-21,1.2017439123871987e-07,7.751822959140685e-08,1.2017195449599922e-07,1.0009518518972595,-8.04033831013446e-08,-1.1680291725009622e-10,8.044540914843776e-08,1.6084879224978237e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079985923202553e-07,1.8079985782471626e-07,3.6159971705674177e-07,-1.8939094388326083e-06,1.3890890634129667e-07,8.470058239411667,7.257111806626614,3.1813601958432955e-13,361255.45202393644,21173929.232370824,0.0031081073942115633,0.00012935891690368795,0.26642345492238534,7684448.110114928,11535310.888744254,2346359922414316.0,-3.006665610720363e-08,12565065.969085908,-5.789694936345823e-08,5629720.7454715585,7905513.216030778,3755991071697023.0,-1.2424238060827948e-09,8668218.43677526,2.7333323733821485e-09,7422757.614557796,8273777.51469841,1929109781445857.0,1.79157512837139e-07,10904549.136777243,3.006665610720363e-08,1.3878622219927532e-07,-1.6399994240292887e-08,1.3633026397898454e-07,1.6338502991756436e-08,0.008623411838321937
20,306.45766688302365,ACTIVE_ONE_B,1,3,0.10000000000000006,LEFT,7.269797167865241e-21,1.951345107255459e-21,7.269273037166081e-21,1.2017419681700753e-07,7.752024884688793e-08,1.201713086805103e-07,1.0010300746652547,-8.040212910974284e-08,-1.2091297469412385e-10,8.04464589332055e-08,1.6084858804294836e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.807998626352945e-07,1.8079986122782066e-07,3.6159972386311515e-07,-1.9127324244472277e-06,1.389640340366927e-07,8.473419685433432,7.257548594981919,3.181531126190363e-13,-40452.13754349947,21399699.58670511,0.0032635127639221414,0.00013062831044519108,0.273546750565938,7713822.188917572,11676544.983719237,2398885699856620.0,-3.006665610720363e-08,12594184.909736745,-5.789694936345823e-08,5668934.374831713,7983913.235100049,3693037522366329.5,-7.454542836496768e-10,8805366.226046225,2.7333323733821485e-09,7434050.937617042,8284393.160511361,1929080577335917.0,1.79157512837139e-07,11107656.843947645,3.006665610720363e-08,1.3884243291917922e-07,-1.6399994240292884e-08,1.363018607488507e-07,1.633560196075242e-08,0.009023696353416266
