frame,time_s,phase,avalanche_id,event_number,q_over_b,active_contact,V_left_m3,V_center_m3,V_right_m3,R_left_m,R_center_m,R_right_m,V_center_over_source,centroid_left_m,centroid_center_m,centroid_right_m,outer_centroid_separation_m,GB_LEFT_m,GB_RIGHT_m,center_span_m,near_axis_low_m,near_axis_high_m,near_axis_extent_m,near_axis_extent_strain,center_max_radius_m,center_envelope_aspect_ratio,center_second_moment_aspect_ratio,surface_area_proxy_m2,LEFT_stress_Pa,RIGHT_stress_Pa,quota_strain,centroid_strain,mirror_error,left_outer_curvature_rms,left_outer_curvature_p95,left_outer_curvature_grad_max,left_outer_curvature_grad_z,left_outer_curvature_kappa_max,left_outer_curvature_kappa_z,center_curvature_rms,center_curvature_p95,center_curvature_grad_max,center_curvature_grad_z,center_curvature_kappa_max,center_curvature_kappa_z,right_outer_curvature_rms,right_outer_curvature_p95,right_outer_curvature_grad_max,right_outer_curvature_grad_z,right_outer_curvature_kappa_max,right_outer_curvature_kappa_z,LEFT_TJ_radius_m,LEFT_TJ_z_m,RIGHT_TJ_radius_m,RIGHT_TJ_z_m,morphology_departure_max_fraction
-1,305.76900020092603,POST_TRANSIENT_NEW_TRAJECTORY,0,0,0.0,,7.270539097300522e-21,1.9493371444489102e-21,7.270539070538172e-21,1.201782848604999e-07,7.749364989594144e-08,1.2017828471304393e-07,0.9999999999999938,-8.043480087643429e-08,1.2714897295190766e-15,8.043480129084713e-08,1.608696021672814e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.80799516812253e-07,1.8079951540866861e-07,3.615990322209216e-07,0.0,1.3772127903329215e-07,8.397641914710366,7.263612561076353,3.180476561511622e-13,18506938.035943095,18506922.67906852,0.0,0.0,4.528288709467156e-05,7367833.126741766,7939877.176602813,1932034071128007.0,-1.79157512837139e-07,8314292.973929325,-7.529088264861736e-08,7763854.713728312,7781189.781091232,31325295109213.0,-2.7333323733821485e-09,7781191.133377418,2.4848476121655894e-10,7367832.575944318,7939867.141104458,1932046078864777.0,1.79157512837139e-07,8314291.7870437205,7.529088264861736e-08,1.3686070706822664e-07,-1.639999424029289e-08,1.368607092318786e-07,1.639999424029289e-08,0.0
0,306.02964897696233,ACTIVE_ONE_B,1,1,0.36250000000000027,LEFT,7.270405865809162e-21,1.9494901244323332e-21,7.270519322046117e-21,1.201775507732605e-07,7.749567702384758e-08,1.2017817590212787e-07,1.0000784779502339,-8.04284271658854e-08,-2.599763244605696e-11,8.043518293467308e-08,1.6086361010055847e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079982541656557e-07,1.8079982400971113e-07,3.615996494262767e-07,-1.706877784890537e-06,1.3766547309969046e-07,8.394239112685925,7.259364696268077,3.1795652479250555e-13,15244274.050229907,19344950.121203095,0.0005633444652008463,3.724797377635536e-05,0.08148097176478847,7247253.394687396,8895959.213172669,1929387896874482.0,-1.79157512837139e-07,10001258.542885419,-5.292725413912706e-08,5466683.062162155,6120251.12171234,987782348959301.0,-2.7333323733821485e-09,6123405.722714058,1.2424238060827948e-09,7366107.154457755,7930739.898568934,1929399944849036.0,1.79157512837139e-07,8314423.341240121,7.529088264861736e-08,1.37431273325102e-07,-1.639999424029289e-08,1.367995279311469e-07,1.638834348715895e-08,0.00040520923123432695
1,306.03474366223844,ACTIVE_ONE_B,1,1,0.4000000000000003,LEFT,7.27039211162842e-21,1.9495105487363906e-21,7.2705126519228e-21,1.2017747498910084e-07,7.749594765696053e-08,1.2017813915081007e-07,1.00008895551391,-8.042776134967788e-08,-2.8599300991212014e-11,8.04352444337616e-08,1.6086300578343948e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.807998256390981e-07,1.807998242322412e-07,3.6159964987133925e-07,-1.7081086027825876e-06,1.3769173576618043e-07,8.39584049535138,7.2590048096969975,3.1795330189783067e-13,14587014.598666761,19313781.08611254,0.0006216214788423132,4.100453878863597e-05,0.08813852882421602,7234712.207321768,9081052.595884359,1929385987483029.0,-1.79157512837139e-07,10187131.823638609,-5.292725413912706e-08,4913103.064256175,5561348.288236743,934526620490139.0,-2.2363628509490305e-09,5576657.645333453,1.2424238060827948e-09,7364624.8980000075,7926775.157745054,1929398035475813.0,1.79157512837139e-07,8314424.098817398,7.529088264861736e-08,1.3747927935154193e-07,-1.639999424029289e-08,1.3679076745044733e-07,1.6387143620823398e-08,0.00029666702931685496
2,306.04906064186076,ACTIVE_ONE_B,1,1,0.5000000000000003,LEFT,7.2703557681606e-21,1.9495685815177965e-21,7.270490962609193e-21,1.2017727473976966e-07,7.749671661249295e-08,1.20178019645989e-07,1.0001187260344027,-8.042599850499955e-08,-3.5446570039900816e-11,8.043544398372769e-08,1.6086144248872723e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079982634598194e-07,1.8079982493911742e-07,3.615996512850994e-07,-1.7120183479768514e-06,1.377849639655691e-07,8.401525143652025,7.258115435320843,3.1794805366174344e-13,12956592.549919674,19228830.053943917,0.0007770268485528913,5.072231449732012e-05,0.1051070741906246,7211211.715928216,9417068.475773623,1929379922199711.0,-1.79157512837139e-07,10583716.419400163,-5.292725413912706e-08,3388731.9159526625,3961521.5478495536,719296510007715.8,-2.2363628509490305e-09,3969315.912845644,1.2424238060827948e-09,7360355.939701508,7911067.615098978,1929391970271208.0,1.79157512837139e-07,8314426.716272553,7.529088264861736e-08,1.3760288891575213e-07,-1.639999424029289e-08,1.3676667010885654e-07,1.6383949650232697e-08,0.0004624189720279226
3,306.0648396508301,ACTIVE_ONE_B,1,1,0.6024999999999984,LEFT,7.27031887945057e-21,1.9496336571589425e-21,7.270462775678039e-21,1.2017707148551915e-07,7.74975788703375e-08,1.2017786433992776e-07,1.0001521095059747,-8.042421373078718e-08,-4.2321294740805346e-11,8.043570261895781e-08,1.6085991634974497e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079982724041771e-07,1.8079982583354358e-07,3.615996530739613e-07,-1.7169654351611996e-06,1.3788683163903947e-07,8.407736589337786,7.257310765974633,3.1794713318417105e-13,11465288.737803508,19156449.40027865,0.0009363173525062309,6.020912220827679e-05,0.12137616118828548,7204665.915074481,9757375.65603564,1929372247626110.0,-1.79157512837139e-07,10848850.835106626,-5.292725413912706e-08,1879862.0841786298,2288890.519348322,461762802101571.25,-1.7393933285159125e-09,2292990.5774856047,1.7393933285159125e-09,7356351.6381233055,7911082.730786173,1929384295818190.0,1.79157512837139e-07,8314417.719123063,7.529088264861736e-08,1.377233921366578e-07,-1.639999424029289e-08,1.3674097874027982e-07,1.6380703300397053e-08,0.0012020844339333259
4,306.0813465249663,ACTIVE_ONE_B,1,1,0.7024999999999985,LEFT,7.27028316381194e-21,1.9497026596253052e-21,7.270429488850247e-21,1.2017687469415615e-07,7.749849313799548e-08,1.201776809336301e-07,1.000187507418829,-8.042249760512161e-08,-4.8878244109290235e-11,8.043600748211394e-08,1.6085850508723555e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079982828096667e-07,1.8079982687408105e-07,3.615996551550477e-07,-1.722720667451938e-06,1.3798484580928582e-07,8.413713065232242,7.256634496716326,3.179502787825982e-13,10090199.059727743,19118481.77830518,0.0010917227222168092,6.898183308967631e-05,0.13634464927923334,7214751.775768556,10109113.566831505,1929363319284951.0,-1.79157512837139e-07,11019673.848112399,-5.292725413912706e-08,538280.3188847236,734292.557285141,232177710180640.25,-7.454542836496768e-10,736270.277128945,1.7393933285159125e-09,7353324.510869706,7911120.9487908995,1929375367657695.0,1.79157512837139e-07,8314349.8866522005,7.529088264861736e-08,1.3783324723503829e-07,-1.639999424029289e-08,1.3671509452870617e-07,1.6377558489568226e-08,0.0019137694468400746
5,306.0990042021534,ACTIVE_ONE_B,1,1,0.8024999999999985,LEFT,7.270247728716685e-21,1.9497773335763612e-21,7.270390249994341e-21,1.2017667944793604e-07,7.749948252728756e-08,1.2017746473167597e-07,1.000225814774367,-8.042080962776345e-08,-5.527258141641101e-11,8.043636637897062e-08,1.6085717600673407e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079982950368657e-07,1.8079982809678655e-07,3.615996576004731e-07,-1.7294834770975598e-06,1.3808062060232225e-07,8.419552993687896,7.256071934582834,3.179567334171892e-13,8816721.901808213,19122484.13029593,0.0012471280919273875,7.724368295802808e-05,0.15037933990278124,7238496.652895288,10394074.2416648,1929352827794295.0,-1.79157512837139e-07,11124681.597135812,-5.292725413912706e-08,703602.0658830493,754650.1292523395,306069916877230.56,-2.7333323733821485e-09,769567.3953626452,2.7333323733821485e-09,7351416.047995992,7925547.516057177,1929364876396348.0,1.79157512837139e-07,8314182.837276131,7.529088264861736e-08,1.379362148903938e-07,-1.639999424029289e-08,1.3668839765853301e-07,1.6374439230809046e-08,0.0026091942476313967
6,306.117857419244,ACTIVE_ONE_B,1,1,0.9024999999999986,LEFT,7.270212607501452e-21,1.949857891125655e-21,7.270344813660167e-21,1.201764859305586e-07,7.750054984273549e-08,1.2017721438129886e-07,1.000267140385754,-8.041915245781256e-08,-6.149176935833454e-11,8.043678149853193e-08,1.608559339563445e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079983091691888e-07,1.80799829510002e-07,3.615996604269209e-07,-1.737300001858344e-06,1.3817166776691762e-07,8.425104652015413,7.255625884366773,3.1796587427522666e-13,7650857.578696817,19169287.893873103,0.0014025334616379658,8.49645349579875e-05,0.16353841140634506,7272520.1706281295,10496346.96373965,1929340701602420.0,-1.79157512837139e-07,11290101.077497264,-5.392119318399329e-08,1739513.670684656,2018150.5365306314,894784932505282.8,-2.7333323733821485e-09,2022873.5396616915,2.7333323733821485e-09,7350749.1460226355,7924836.122041355,1929352750424419.0,1.79157512837139e-07,8313908.246506586,7.529088264861736e-08,1.3803313310106152e-07,-1.6399994240292887e-08,1.3666088282958463e-07,1.6371338955274662e-08,0.003270291539454684
7,306.1374189027304,ACTIVE_ONE_B,1,1,1.0,LEFT,7.2701786474309e-21,1.9499425071064796e-21,7.270294157749766e-21,1.2017629881047853e-07,7.750167089711437e-08,1.2017693527026636e-07,1.0003105479517902,-8.04175693086033e-08,-6.737399601630682e-11,8.043724379133895e-08,1.6085481309994224e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079983248756575e-07,1.807998310806303e-07,3.6159966356819606e-07,-1.7459871797242954e-06,1.3825696657129995e-07,8.430305800450745,7.255304180844579,3.1797686553055145e-13,6621575.413108372,19252727.016386762,0.0015540536971057816,9.193201910107085e-05,0.17558594869063476,7312098.393780711,10668173.81845737,1929327224637212.0,-1.79157512837139e-07,11459601.792131186,-5.441816270642641e-08,2583795.2422684357,3061647.7025981294,1583780564308276.0,-2.7333323733821485e-09,3062192.0067049614,2.7333323733821485e-09,7351331.6634948505,7938357.138276082,1929339273681913.0,1.79157512837139e-07,8404661.468574723,3.006665610720363e-08,1.3812209558969613e-07,-1.6399994240292887e-08,1.3663325719419327e-07,1.6368335218498997e-08,0.0038896497459794954
8,306.1374238486241,CHILD_CROSSING,1,1,0.0,LEFT,7.270178659868941e-21,1.949942715105874e-21,7.27029393731233e-21,1.2017629887901228e-07,7.750167365280248e-08,1.2017693405566645e-07,1.0003106546544174,-8.041757020384264e-08,-6.73686086199924e-11,8.043724580231848e-08,1.6085481600616112e-07,-1.639999424029289e-08,1.639999424029289e-08,3.279998848058578e-08,-1.8079983249456772e-07,1.8079983108763215e-07,3.6159966358219984e-07,-1.7460259071899742e-06,1.3825676410560689e-07,8.430293454977319,7.2553079000889165,3.1797690982968333e-13,6617856.784185764,19251288.10992694,0.0015540536971057816,9.191395341989761e-05,0.17554835119124979,7311961.710720958,10668383.367618933,1929327164554652.0,-1.79157512837139e-07,11458426.91451696,-5.441816270642641e-08,2586394.0386771807,3065398.7158653582,1588650223099552.5,-2.7333323733821485e-09,3065581.7291039885,2.2363628509490305e-09,7351336.48422596,7938354.928586326,1929339213599608.0,1.79157512837139e-07,8405573.805677185,3.006665610720363e-08,1.3812168000129803e-07,-1.6399994240292887e-08,1.366331937073625e-07,1.6368335301182723e-08,0.003888179634065736
