decision,time_s,avalanche_id,event_number,selected,LEFT_rate_per_s,RIGHT_rate_per_s,LEFT_hazard,RIGHT_hazard,LEFT_threshold,RIGHT_threshold,LEFT_eligible,RIGHT_eligible,selection_semantics
root,305.9864776179182,1,1,LEFT,0.06607334333143214,0.06607330320994087,0.01436940466270246,0.014369416392815661,0.01436940466270246,1.7253649906994264,True,True,first independent root clock to cross
descendant,306.1374238486241,1,2,LEFT,239594.6956277525,459840.63739808445,1.1851754238434709,nan,1.1851754238434709,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,306.4193603152915,1,3,LEFT,6173.873905020336,28496.73576771304,0.6050125786242021,nan,0.6050125786242021,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,306.9630960213904,1,4,LEFT,623.8190907029701,4150.945186272151,0.03694990210444378,nan,0.03694990210444378,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,333.40385575160536,1,5,LEFT,154.26380383404646,1086.0012437777634,0.7160085971740784,nan,0.7160085971740784,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
root,578.4216420421227,2,6,LEFT,0.06635488499850561,0.06635753395284279,1.2889021877392424,1.3367690973359094,1.2889021877392424,1.7253649906994264,True,True,first independent root clock to cross
descendant,578.5823587276474,2,7,LEFT,242563.35096085948,460304.7147906225,1.1057954779913572,nan,1.1057954779913572,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,578.9131256570763,2,8,LEFT,5694.484497992959,28490.55245206873,0.0829882604251833,nan,0.0829882604251833,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,579.728727737146,2,9,LEFT,622.8691671214312,4161.643152843621,1.3166625892553827,nan,1.3166625892553827,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,817.2151272088114,2,10,LEFT,154.04530755258403,1091.9024589905703,0.2705961948337651,nan,0.2705961948337651,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,3431.489960697156,2,11,LEFT,107.57705747283718,412.9566803831521,0.333233282215392,nan,0.333233282215392,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,5096.866037749246,2,12,LEFT,86.5070030664635,199.0721928208097,0.6446688410215764,nan,0.6446688410215764,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
descendant,6341.104410884363,2,13,LEFT,50.24473214486212,122.02579956176699,0.15818612608386456,nan,0.15818612608386456,nan,True,False,serialized descendant remains on root-selected contact; opposite hypothetical rate is diagnostic only
