case,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,maximum_tangent_residual
moment_q05,0.007315101513907026,0.008505673996975983,0.01672478387955264,0.021121710069089444,0.025259919621614786,1.1701844869612885e-16
moment_q0_a,0.0073362398365203465,0.008474364924120322,0.016724311506641217,0.0211165441991013,0.02523120858455317,1.3123716726521316e-16
moment_q0_b,0.007336904114073697,0.008473769397722257,0.016724190595313854,0.02111675024752525,0.025226795038006528,7.144214690321671e-17
volume_q05_h16,0.015933281374132212,0.019179368126883707,0.02434090729694069,0.03153545485898484,0.04005073685087401,2.508572776588336e-17
volume_q05_h8,0.012795147321191531,0.019907109385903395,0.026704446287177573,0.03392302537042993,0.04061933461266646,2.72889663408102e-17
volume_q0_h16,0.013968096550051568,0.018019436758134943,0.026385181255862943,0.03112236496280997,0.03919503536162661,7.985826626713544e-17
volume_q0_h8,0.011957520823247754,0.020306626415249166,0.025140657327951815,0.03358391899658226,0.041157414453627784,1.6373146870425626e-17
