case,u_over_b,domain,active_cells,energy_J,projected_KKT_residual
q000,0.0,h8_t1e-3,21443,2.857592020258483e-13,9.388331929341583e-08
q000,0.0,h12_t5e-4,24594,2.8256102212794863e-13,8.678330683890563e-09
q000,0.0,h16_t1e-4,27746,2.7959130012565483e-13,1.4903526365125344e-08
q050,0.5,h8_t1e-3,18931,2.842978190727408e-13,9.315074118998456e-08
q050,0.5,h12_t5e-4,20988,2.821721905893224e-13,3.853277584598487e-08
q050,0.5,h16_t1e-4,25242,2.773792820940611e-13,6.139335842180187e-09
