case,u_over_b,energy_J,projected_KKT_residual,normalized_volume_residual,active_cells,f_min,f_max,state_sha256
q000_h8,0.0,2.8575933794693366e-13,9.483957846889767e-08,1.5058468596504056e-15,21443,1.1102230246251565e-16,0.9999999999999987,96797826b06886510617ba8fbf3070244368f0e09dd415599ae3d5477d56276b
q025_h8,0.25,2.8449760693751036e-13,1.1893877419318966e-08,8.834301576615713e-15,19002,1.1102139829230958e-16,0.9999999999999987,d0bd2318dee44a51a9339b3f9c26f9917098eb15e632078a63ffcefd1759ee30
q050_tj_gaussian_h8,0.5,2.842978190727387e-13,9.315074118998456e-08,1.4054570690070451e-15,18931,1.1102011772375216e-16,0.9999999999999987,c7d6944f241dda01d44cc75f5474462737d40b32c47a8853a62845d41cbb9c45
q050_broad_tj_h8,0.5,2.842978188916623e-13,7.993589831939776e-08,2.2085753941539283e-15,18931,1.1102092400799246e-16,0.9999999999999987,ad0d97e61f741e21034430f6eb42099348740a75e883961fcc75bd5af8895268
q050_distributed_neck_h8,0.5,2.842978178733338e-13,9.600960737196629e-08,3.814812044447694e-15,18931,1.1101664647983696e-16,0.9999999999999987,d1d57690bece62f96fee1a5b08d60a3ba72145225239df236bad92ce2cdc8c94
q050_uniform_moving_surface_h8,0.5,2.8429782896046486e-13,8.241891952850532e-08,4.7183201602379375e-15,18931,1.1095727773780269e-16,0.9999999999999987,22bd4b4ff85295fd7309beb0df31e241abbf9a106c721b9731318b39ccc5dcad
q075_h8,0.75,2.8410273238166874e-13,8.578706413048687e-08,1.2046774877203245e-15,18988,1.1101854071604856e-16,0.9999999999999987,08831061a986e477c23301b50f42d1a16c6467e088539235861466d42e304c5b
q100_h8,1.0,2.8391089359886446e-13,9.226382879272757e-08,1.094248718012628e-14,19042,1.1101664986071648e-16,0.9999999999999987,9a47d2b856205a41125c469c8d250cceb6b6ddbe95832f73f8328a197cb88132
