half_width_over_b,lower_energy_J,upper_energy_J,virtual_work_force_N
0.1,2.8430347122774545e-13,2.842849939398615e-13,3.695457576788894e-07
0.05,2.842969897386426e-13,2.84291371371558e-13,2.247346833842613e-07
0.025,2.842937709039356e-13,2.842945820961748e-13,-6.489537913433635e-08
