case,moving_moment_multiplier_J,moment_target_force_contribution_N,KKT_Linf
q04_common,-2.599140737058077e-18,1.124425409549423e-07,8.259397113073372e-08
q045_common,-2.5976292647358423e-18,1.1237715250326211e-07,7.019561696020244e-08
q0475_common,-2.5968875923110174e-18,1.1234506669474298e-07,8.230741349406472e-08
q05_tj_gaussian,-2.596156466939463e-18,1.1231343716681396e-07,9.672983807824497e-08
q0525_common,-2.59902780310913e-18,1.1243765527099351e-07,9.220010368030107e-08
q055_common,-2.599079582324877e-18,1.124398953138293e-07,8.686038810261365e-08
q06_common,-2.6029711009447197e-18,1.1260824796805451e-07,9.625301321865981e-08
