design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_over_W,theta0_deg,mean_curvature0_per_um,curvature_radius_min_over_W,sigma0_MPa,sigma20_MPa,stress_reserve_MPa,minimum_minus_dF_dx_fJ,minimum_xdot_per_s,maximum_flux_closure_relative,x10,sigma_x10_MPa,rTJ_x10_over_W,t10_s,x50,sigma_x50_MPa,rTJ_x50_over_W,t50_s,hazard_amplification_x50,x90,sigma_x90_MPa,rTJ_x90_over_W,t90_s,rTJ20_over_W,resolution_margin
Ro100_q0.65_L8W_r1.60_th140_km+5,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,140.0,5.0,44.006668042480825,22.106517907285806,24.378769586234657,2.2722516789488516,4.826588549630562,9.277682905032985e-05,7.24944814726225e-06,0.0005474189300081136,22.111899160205922,25.99247003923228,1.1412191913691327,0.00358478890700625,22.141827882816987,25.950650520663412,7.509776570395343,0.999395492745609,0.011755593931275161,22.2229443801606,25.837816248575304,24.964330586013357,23.08605955621993,1.0
Ro100_q0.65_L8W_r1.60_th160_km-10,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,160.0,-10.0,22.64163676759056,38.40791595227522,42.90651712286802,4.498601170592799,3.7838984230604287,7.335616088375319e-05,1.4700325349739406e-05,0.00032576212001028833,38.414134778109684,25.99551911778333,0.6916031651874407,0.002137127545472051,38.44876442011355,25.97059072522226,4.550035419603231,0.9999394639502625,0.007039903075460929,38.54296674477297,25.902997397043617,15.115938819701364,23.08605955621993,1.0
Ro100_q0.65_L8W_r1.60_th160_km-5,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,160.0,-5.0,45.63567939835274,33.40791595227522,37.34308233814621,3.9351663858709927,0.7236269500712024,1.406541987556941e-05,9.515628456258547e-06,0.0003404402018716134,33.413595726557126,25.995317219674412,0.7930131834024632,0.0022318664715274077,33.44520068308576,25.969286203034095,5.217326459915447,0.9998832386572575,0.007337837234235276,33.53096853576924,25.898884027173448,17.333903590996652,23.08605955621993,1.0
Ro100_q0.65_L8W_r1.60_th170_km-20,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,170.0,-20.0,11.143904678287155,48.736385521877274,54.764365241610584,6.02797971973331,4.372263591715712,8.482636300637609e-05,1.850240918266073e-05,0.00025783804356475595,48.74292339472462,25.9964534185124,0.5379840396142254,0.00169282018167942,48.77935070878427,25.97670756275076,3.5391995764795885,1.000075559623522,0.005586871864779536,48.878614692357054,25.92304831789967,11.755942817407357,23.08605955621993,1.0
Ro100_q0.75_L12W_r1.40_th140_km+5,100.00000000000001,0.75,75.00000000000001,12.0,1.4,26.25,140.0,5.0,43.99936197285018,21.848360593883093,24.107665190500995,2.259304596617902,1.5391167045925565,2.2237846052299492e-05,7.774645309534184e-06,0.0003926723828335346,21.852195229517505,26.244521141610324,1.1411404190423213,0.002573460960426648,21.873526793646803,26.214073219967123,7.508690424914921,0.9995602593624334,0.008454982433115717,21.93136960769325,26.131779156643372,24.955969606387495,23.293306441980278,1.5
Ro100_q0.75_L12W_r1.40_th160_km-10,100.00000000000001,0.75,75.00000000000001,12.0,1.4,26.25,160.0,-10.0,22.628324198001305,38.137364371777366,42.62874413114849,4.491379759371121,0.5359204006821815,7.824555313412287e-06,1.3760225544273124e-05,0.0002332294597181351,38.14180585579377,26.246745808368605,0.689906583925593,0.0015311881445577824,38.166546141689494,26.22862980517972,4.538837393540489,0.9999542612208594,0.005050260496635048,38.233867572988146,26.179449465444165,15.07848521155338,23.293306441980278,1.5
Ro120_q0.55_L8W_r1.60_th120_km-10,120.00000000000001,0.55,66.00000000000001,8.0,1.6,26.400000000000002,120.0,-10.0,25.000000000000007,34.60299442569427,36.50806209844798,1.9050676727537095,2.0040458766319973,2.665413489080025e-05,8.78040629506111e-06,0.00018167070762893937,34.60463899776093,26.39742362014201,0.7550936580509643,0.00119353927705292,34.613801157862774,26.38307033157738,4.9681457595998735,0.9996608206380224,0.003944798993006075,34.63873890359599,26.344004504766783,16.510208216171453,23.392787349950414,1.0
Ro150_q0.65_L12W_r1.60_th140_km+5,150.00000000000003,0.65,97.50000000000001,12.0,1.6,39.00000000000001,140.0,4.999999999999999,44.808530368236575,13.071011938190537,14.460523103572386,1.3895111653818493,6.823423692328189,1.1525656403077111e-05,4.099804291500058e-06,0.00010049122120946818,13.0716129510505,38.99792660365468,1.1169592540373707,0.0006608485264481693,13.0749649681991,38.986364090632755,7.348472128872942,0.999848346825064,0.0021899216671743852,13.084124759636618,38.954795652686514,24.41523328606346,34.6290893343299,1.5
Ro150_q0.65_L12W_r1.60_th160_km-5,150.00000000000003,0.65,97.50000000000001,12.0,1.6,39.00000000000001,160.0,-4.999999999999999,45.400135854861475,23.938610634850146,26.74986648700474,2.811255852154595,5.119713494889711,8.728354621667286e-06,1.1889125846627547e-05,6.346154177673045e-05,23.939367386252258,38.998690622651374,0.7124672095120258,0.0004175016464363745,23.943589161174568,38.991385850649756,4.6871888812551505,0.9999532552185567,0.001384642257383564,23.955133202945465,38.97142428119996,15.57130470012772,34.6290893343299,1.5
Ro150_q0.65_L12W_r1.60_th170_km-10,150.00000000000003,0.65,97.50000000000001,12.0,1.6,39.00000000000001,170.0,-9.999999999999998,22.29507248956898,29.157590347918173,32.76695792551116,3.609367577592984,3.423516893388693,5.857374736810722e-06,1.2859364243642111e-05,5.2412442802185935e-05,29.158386001039972,38.99891859442002,0.5999944803014491,0.0003448116851722715,29.162824801400426,38.99288563439417,3.947251774309124,0.9999800876185233,0.0011439512932388013,29.17496557955127,38.9763929940982,13.112747642675352,34.6290893343299,1.5
