discussion_role,design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_over_W,theta0_deg,mean_curvature0_per_um,curvature_radius_min_over_W,sigma0_MPa,sigma20_MPa,stress_reserve_MPa,minimum_minus_dF_dx_fJ,minimum_xdot_per_s,maximum_flux_closure_relative,x10,sigma_x10_MPa,rTJ_x10_over_W,t10_s,x50,sigma_x50_MPa,rTJ_x50_over_W,t50_s,hazard_amplification_x50,x90,sigma_x90_MPa,rTJ_x90_over_W,t90_s,rTJ20_over_W,resolution_margin
largest shrinkage before median nucleation,Ro100_q0.65_L8W_r1.60_th140_km+5,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,140.0,5.0,44.006668042480825,22.106517907285806,24.378769586234657,2.2722516789488516,4.826588549630562,9.277682905032985e-05,7.24944814726225e-06,0.0005474189300081136,22.111899160205922,25.99247003923228,1.1412191913691327,0.00358478890700625,22.141827882816987,25.950650520663412,7.509776570395343,0.999395492745609,0.011755593931275161,22.2229443801606,25.837816248575304,24.964330586013357,23.08605955621993,1.0
highest stress at median nucleation,Ro100_q0.65_L8W_r1.60_th170_km-20,100.00000000000001,0.65,65.00000000000001,8.0,1.6,26.000000000000007,170.0,-20.0,11.143904678287155,48.736385521877274,54.764365241610584,6.02797971973331,4.372263591715712,8.482636300637609e-05,1.850240918266073e-05,0.00025783804356475595,48.74292339472462,25.9964534185124,0.5379840396142254,0.00169282018167942,48.77935070878427,25.97670756275076,3.5391995764795885,1.000075559623522,0.005586871864779536,48.878614692357054,25.92304831789967,11.755942817407357,23.08605955621993,1.0
largest hazard amplification at median,Ro150_q0.65_L12W_r1.60_th170_km-10,150.00000000000003,0.65,97.50000000000001,12.0,1.6,39.00000000000001,170.0,-9.999999999999998,22.29507248956898,29.157590347918173,32.76695792551116,3.609367577592984,3.423516893388693,5.857374736810722e-06,1.2859364243642111e-05,5.2412442802185935e-05,29.158386001039972,38.99891859442002,0.5999944803014491,0.0003448116851722715,29.162824801400426,38.99288563439417,3.947251774309124,0.9999800876185233,0.0011439512932388013,29.17496557955127,38.9763929940982,13.112747642675352,34.6290893343299,1.5
largest resolution margin,Ro100_q0.75_L12W_r1.40_th140_km+5,100.00000000000001,0.75,75.00000000000001,12.0,1.4,26.25,140.0,5.0,43.99936197285018,21.848360593883093,24.107665190500995,2.259304596617902,1.5391167045925565,2.2237846052299492e-05,7.774645309534184e-06,0.0003926723828335346,21.852195229517505,26.244521141610324,1.1411404190423213,0.002573460960426648,21.873526793646803,26.214073219967123,7.508690424914921,0.9995602593624334,0.008454982433115717,21.93136960769325,26.131779156643372,24.955969606387495,23.293306441980278,1.5
least concave thermodynamic candidate,Ro150_q0.65_L12W_r1.60_th140_km+5,150.00000000000003,0.65,97.50000000000001,12.0,1.6,39.00000000000001,140.0,4.999999999999999,44.808530368236575,13.071011938190537,14.460523103572386,1.3895111653818493,6.823423692328189,1.1525656403077111e-05,4.099804291500058e-06,0.00010049122120946818,13.0716129510505,38.99792660365468,1.1169592540373707,0.0006608485264481693,13.0749649681991,38.986364090632755,7.348472128872942,0.999848346825064,0.0021899216671743852,13.084124759636618,38.954795652686514,24.41523328606346,34.6290893343299,1.5
