design_id,reason
Ro80_q0.45_L8W_r0.60_th120_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th120_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th120_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th120_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th120_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th120_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th140_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th160_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.60_th170_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th120_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th140_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th160_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km-30,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km-20,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km-10,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km-5,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km+0,TJ radius below 6W
Ro80_q0.45_L8W_r0.80_th170_km+5,TJ radius below 6W
Ro80_q0.45_L8W_r1.20_th120_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th120_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th120_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th120_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th120_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th120_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th140_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th160_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.20_th160_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th120_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th140_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th160_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km-30,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km-20,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km-10,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km-5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km+0,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.40_th170_km+5,center profile is not monotone from midplane to GB
Ro80_q0.45_L8W_r1.60_th120_km-30,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th120_km-20,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th120_km-10,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th120_km-5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th120_km+0,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th120_km+5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km-30,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km-20,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km-10,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km-5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km+0,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th140_km+5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km-30,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km-20,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km-10,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km-5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km+0,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th160_km+5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km-30,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km-20,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km-10,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km-5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km+0,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L8W_r1.60_th170_km+5,center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r0.60_th120_km-30,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th120_km-20,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th120_km-10,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th120_km-5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th120_km+0,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th120_km+5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km-30,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km-20,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km-10,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km-5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km+0,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th140_km+5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km-30,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km-20,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km-10,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km-5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km+0,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th160_km+5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km-30,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km-20,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km-10,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km-5,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km+0,TJ radius below 6W
Ro80_q0.45_L12W_r0.60_th170_km+5,TJ radius below 6W
Ro80_q0.45_L12W_r0.80_th120_km-30,TJ radius below 6W
Ro80_q0.45_L12W_r0.80_th120_km-20,TJ radius below 6W
