Ro_nm,Rc_over_Ro,Lc_over_W,rTJ_over_Rc,theta0_deg,mean_curvature0_per_um,design_id,x,free_energy_J,dF_dx_J,minus_dF_dx_J,zeta_J_s,xdot_per_s,flux_closure_relative,r_TJ_nm,r_TJ_over_W,center_curvature_per_um,outer_curvature_per_um,center_theta_deg,outer_theta_deg,sigma_GB_MPa,sigma_kappa_MPa,sigma_TJ_MPa,Gamma_per_contact_s,G_fit_eV,G_root_eV,elapsed_s,cumulative_scaled_hazard,survival,event_probability,hazard_amplification,dlnGamma_dx_site,dlnGamma_dx_barrier,dlnGamma_dx_total
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.0,1.687989735685945e-13,8.553132952919301e-15,-8.553132952919301e-15,1.212731648945992e-12,-0.00705278283151346,1.535040547336009e-06,36.00000000000001,9.0,-29.999999999999996,-30.000000000000007,119.99999999999999,119.99999999999999,102.16878364870321,30.0,72.16878364870321,0.10807721660655582,4.8018734831964345,5.78222421147545,nan,nan,nan,nan,1.0,-0.7498835938871196,0.523111402487757,-0.22677219139936255
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.01,1.6888466370930135e-13,8.584807903093438e-15,-8.584807903093438e-15,1.2159491715542047e-12,-0.007060170033357964,1.3302969035497105e-06,35.72897983430258,8.932244958575643,-29.964006838190155,-29.964006838190166,119.62432707223414,119.62432707223414,102.54219752360873,29.96400683819016,72.57819068541859,0.10782761400739835,4.801046346588545,5.78139707486756,nan,nan,nan,nan,0.9976905160310879,-0.7614801871177121,0.5258213904808144,-0.2356587966368977
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.02,1.6897066917321546e-13,8.61610926010211e-15,-8.61610926010211e-15,1.2192119309318854e-12,-0.007066949593838475,1.1246236973591162e-06,35.45588808646598,8.863972021616496,-29.923804096996257,-29.92380409699627,119.24145074337343,119.24145074337343,102.9184494062192,29.923804096996264,72.99464530922293,0.10756902820179005,4.8002149360552115,5.780565664334227,nan,nan,nan,nan,0.9952979136517202,-0.7733852544039621,0.528483643747137,-0.24490161065682514
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.05,1.6923053265453577e-13,8.707385366606018e-15,-8.707385366606018e-15,1.2292610192501179e-12,-0.007083430801310007,4.85404700023025e-07,34.62369131100843,8.655922827752105,-29.775592912087127,-29.775592912087134,118.04719376264262,118.04719376264262,104.0639755631416,29.77559291208713,74.28838265105446,0.10673549449837576,4.797695964292519,5.778046692571534,nan,nan,nan,nan,0.9875855231073866,-0.8119061841156778,0.5359776133847447,-0.27592857073093313
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.1,1.6966951681174275e-13,8.849972646709216e-15,-8.849972646709216e-15,1.2469363942152268e-12,-0.007097372959652079,6.412541776781258e-07,33.1903600462544,8.297590011563598,-29.420179359188097,-29.420179359188115,115.88840393175931,115.88840393175931,106.02660598867504,29.420179359188108,76.60642662948693,0.10512726136515708,4.7934225619122035,5.773773290191219,nan,nan,nan,nan,0.9727051146021113,-0.8846535407953979,0.5466379707231681,-0.3380155700722298
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.15,1.701153196466938e-13,8.980026033939565e-15,-8.980026033939565e-15,1.2658923670415593e-12,-0.007093830619206783,1.857965688427504e-06,31.692270350986224,7.923067587746555,-28.892416341381182,-28.892416341381203,113.48420482111574,113.48420482111574,108.04836469904411,28.892416341381193,79.15594835766292,0.1031879624119858,4.789074930039824,5.7694256583188395,nan,nan,nan,nan,0.9547614719541783,-0.9707800722047892,0.5537619160271561,-0.41701815617763316
80.0,0.45,8.0,1.0,120.0,-30.0,Ro80_q0.45_L8W_r1.00_th120_km-30,0.2,1.7056728703717844e-13,9.096337980443835e-15,-9.096337980443835e-15,1.2863042836286125e-12,-0.007071684434404146,3.1789443183740644e-06,30.119760955226727,7.529940238806681,-28.135408131034662,-28.13540813103467,110.78355959584567,110.78355959584567,110.11363760402877,28.135408131034666,81.9782294729941,0.10083341650510222,4.7846891758292855,5.765039904108301,nan,nan,nan,nan,0.9329756971090037,-1.0648738139940548,0.5585963980532824,-0.5062774159407724
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.0,1.6917987614377344e-13,8.96174158995757e-15,-8.96174158995757e-15,1.2342460119745154e-12,-0.0072609038255029915,8.840504169648423e-06,36.00000000000001,9.0,-19.999999999999996,-19.999999999999996,119.99999999999999,119.99999999999999,92.16878364870321,19.999999999999996,72.16878364870321,0.09344983579252833,4.824807873026325,5.80515860130534,nan,nan,nan,nan,1.0,-0.7498835938871196,0.5315851411328367,-0.21829845275428283
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.01,1.6926963781123947e-13,8.990520554755832e-15,-8.990520554755832e-15,1.2376664245157654e-12,-0.007264090207725685,9.055949798744278e-06,35.72897983430258,8.932244958575643,-19.94541956482571,-19.94541956482571,119.62432707223414,119.62432707223414,92.5236102502443,19.94541956482571,72.57819068541859,0.09324224912418322,4.823966808411675,5.80431753669069,nan,nan,nan,nan,0.9977786299292598,-0.7614801871177121,0.5350104452516007,-0.22646974186611146
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.02,1.6935968565531172e-13,9.018953971971516e-15,-9.018953971971516e-15,1.2411335673318306e-12,-0.007266706992189665,9.274012232618985e-06,35.45588808646598,8.863972021616496,-19.886973707196805,-19.886973707196805,119.24145074337343,119.24145074337343,92.88161901641973,19.886973707196805,72.99464530922293,0.0930275217243167,4.823120341745627,5.803471070024642,nan,nan,nan,nan,0.9954808474019236,-0.7733852544039621,0.538418338535422,-0.23496691586854013
