design_id,event_probability_percent,center_loss_fraction,stress_MPa,rTJ_over_W,elapsed_s,hazard_amplification
Ro100_q0.65_L8W_r1.60_th140_km+5,10,0.0005474189300081136,22.111899160205922,25.99247003923228,1.1412191913691327,
Ro100_q0.65_L8W_r1.60_th140_km+5,50,0.00358478890700625,22.141827882816987,25.950650520663412,7.509776570395343,0.999395492745609
Ro100_q0.65_L8W_r1.60_th140_km+5,90,0.011755593931275161,22.2229443801606,25.837816248575304,24.964330586013357,
Ro100_q0.65_L8W_r1.60_th160_km-10,10,0.00032576212001028833,38.414134778109684,25.99551911778333,0.6916031651874407,
Ro100_q0.65_L8W_r1.60_th160_km-10,50,0.002137127545472051,38.44876442011355,25.97059072522226,4.550035419603231,0.9999394639502625
Ro100_q0.65_L8W_r1.60_th160_km-10,90,0.007039903075460929,38.54296674477297,25.902997397043617,15.115938819701364,
Ro100_q0.65_L8W_r1.60_th160_km-5,10,0.0003404402018716134,33.413595726557126,25.995317219674412,0.7930131834024632,
Ro100_q0.65_L8W_r1.60_th160_km-5,50,0.0022318664715274077,33.44520068308576,25.969286203034095,5.217326459915447,0.9998832386572575
Ro100_q0.65_L8W_r1.60_th160_km-5,90,0.007337837234235276,33.53096853576924,25.898884027173448,17.333903590996652,
Ro100_q0.65_L8W_r1.60_th170_km-20,10,0.00025783804356475595,48.74292339472462,25.9964534185124,0.5379840396142254,
Ro100_q0.65_L8W_r1.60_th170_km-20,50,0.00169282018167942,48.77935070878427,25.97670756275076,3.5391995764795885,1.000075559623522
Ro100_q0.65_L8W_r1.60_th170_km-20,90,0.005586871864779536,48.878614692357054,25.92304831789967,11.755942817407357,
Ro100_q0.75_L12W_r1.40_th140_km+5,10,0.0003926723828335346,21.852195229517505,26.244521141610324,1.1411404190423213,
Ro100_q0.75_L12W_r1.40_th140_km+5,50,0.002573460960426648,21.873526793646803,26.214073219967123,7.508690424914921,0.9995602593624334
Ro100_q0.75_L12W_r1.40_th140_km+5,90,0.008454982433115717,21.93136960769325,26.131779156643372,24.955969606387495,
Ro100_q0.75_L12W_r1.40_th160_km-10,10,0.0002332294597181351,38.14180585579377,26.246745808368605,0.689906583925593,
Ro100_q0.75_L12W_r1.40_th160_km-10,50,0.0015311881445577824,38.166546141689494,26.22862980517972,4.538837393540489,0.9999542612208594
Ro100_q0.75_L12W_r1.40_th160_km-10,90,0.005050260496635048,38.233867572988146,26.179449465444165,15.07848521155338,
Ro120_q0.55_L8W_r1.60_th120_km-10,10,0.00018167070762893937,34.60463899776093,26.39742362014201,0.7550936580509643,
Ro120_q0.55_L8W_r1.60_th120_km-10,50,0.00119353927705292,34.613801157862774,26.38307033157738,4.9681457595998735,0.9996608206380224
Ro120_q0.55_L8W_r1.60_th120_km-10,90,0.003944798993006075,34.63873890359599,26.344004504766783,16.510208216171453,
Ro150_q0.65_L12W_r1.60_th140_km+5,10,0.00010049122120946818,13.0716129510505,38.99792660365468,1.1169592540373707,
Ro150_q0.65_L12W_r1.60_th140_km+5,50,0.0006608485264481693,13.0749649681991,38.986364090632755,7.348472128872942,0.999848346825064
Ro150_q0.65_L12W_r1.60_th140_km+5,90,0.0021899216671743852,13.084124759636618,38.954795652686514,24.41523328606346,
Ro150_q0.65_L12W_r1.60_th160_km-5,10,6.346154177673045e-05,23.939367386252258,38.998690622651374,0.7124672095120258,
Ro150_q0.65_L12W_r1.60_th160_km-5,50,0.0004175016464363745,23.943589161174568,38.991385850649756,4.6871888812551505,0.9999532552185567
Ro150_q0.65_L12W_r1.60_th160_km-5,90,0.001384642257383564,23.955133202945465,38.97142428119996,15.57130470012772,
Ro150_q0.65_L12W_r1.60_th170_km-10,10,5.2412442802185935e-05,29.158386001039972,38.99891859442002,0.5999944803014491,
Ro150_q0.65_L12W_r1.60_th170_km-10,50,0.0003448116851722715,29.162824801400426,38.99288563439417,3.947251774309124,0.9999800876185233
Ro150_q0.65_L12W_r1.60_th170_km-10,90,0.0011439512932388013,29.17496557955127,38.9763929940982,13.112747642675352,
